threshold,n_edges,density
0.05,45,0.42857142857142855
0.1,24,0.22857142857142856
0.15,14,0.13333333333333333
0.2,9,0.08571428571428572
0.25,7,0.06666666666666667
0.3,6,0.05714285714285714
