year,window,industry_level,analysis_month_count,market_r2_median,raw_mean_corr,residual_mean_corr,raw_same_cross_gap,residual_same_cross_gap,gap_retention_ratio,raw_top1_same_enrichment,residual_top1_same_enrichment,raw_residual_top1_overlap
2015,60,industry_id1,9,0.5768189466692125,0.5419563242545897,0.003591609409520534,0.03583639570198041,0.051085004559251856,1.4677611545495464,2.3963199288364314,3.3233624418207053,0.2606167545660048
2015,60,industry_id2,9,0.5768189466692125,0.5419563242545897,0.003591609409520534,0.04515936039992156,0.07643079284415909,1.7583052859021864,3.7576561875372767,5.192287435146141,0.2606167545660048
2015,120,industry_id1,6,0.6599534776850838,0.6247936930059915,0.006177440974387504,0.03552287581676052,0.05259975083894954,1.504579358568665,2.805387278214699,3.4853961155156163,0.23270558888407858
2015,120,industry_id2,6,0.6599534776850838,0.6247936930059915,0.006177440974387504,0.042070073307131896,0.0758878131357504,1.8236256689110715,4.923850389842679,5.6640289717213195,0.23270558888407858
2016,60,industry_id1,12,0.48767092683930446,0.4607721609804527,0.0036609587861845404,0.028995598713878055,0.042416991262984864,1.5029388733004303,2.2426175043247922,2.90953242843309,0.24336962590731437
2016,60,industry_id2,12,0.48767092683930446,0.4607721609804527,0.0036609587861845404,0.03556768603916663,0.06003879446486807,1.7815954009243093,3.290207392720823,4.733915132070106,0.24336962590731437
2016,120,industry_id1,12,0.5303649131377369,0.5089588442404203,0.0035604427282412364,0.033944930985929746,0.04909494139270482,1.449208160264486,3.042031901247092,4.075164176958315,0.23019143554857843
2016,120,industry_id2,12,0.5303649131377369,0.5089588442404203,0.0035604427282412364,0.04247825591121015,0.07235910084417949,1.735511206775918,4.483419099307047,6.586017224562656,0.23019143554857843
2016,252,industry_id1,12,0.6149898015219262,0.5922787625936285,0.005998571281701704,0.033748645846456225,0.04881033393955737,1.4564587210031148,3.050129247148877,3.6954070367354004,0.20156110016112072
2016,252,industry_id2,12,0.6149898015219262,0.5922787625936285,0.005998571281701704,0.04333928619648422,0.07473192374857503,1.734667783419174,4.546305407321458,6.30492031914081,0.20156110016112072
2017,60,industry_id1,12,0.3134215912529789,0.28542133529304925,0.0025989161581149254,0.043819793284141643,0.042221950151759356,0.9578617904512651,2.5901129569956494,3.319255175612062,0.2931386097152429
2017,60,industry_id2,12,0.3134215912529789,0.28542133529304925,0.0025989161581149254,0.05559062067905619,0.057343965013150915,1.026920457270578,3.6551186350424225,4.970736959048517,0.2931386097152429
2017,120,industry_id1,12,0.2987779159750776,0.28260906331251395,0.0038856994910148337,0.041739881569360475,0.03998069334297581,0.9573916520708156,2.58721172977805,3.9319073622303535,0.2417841873969503
2017,120,industry_id2,12,0.2987779159750776,0.28260906331251395,0.0038856994910148337,0.055214771633005845,0.05752199095120889,1.0486130578984727,4.00756191776654,6.8403527115395635,0.2417841873969503
2017,252,industry_id1,12,0.32834679160317487,0.31767486597741657,0.004885228978199984,0.03903701691144872,0.04195485492955603,1.0847814553538473,3.4562205160853203,5.246628768756994,0.22089058211260792
2017,252,industry_id2,12,0.32834679160317487,0.31767486597741657,0.004885228978199984,0.051834132542609,0.05905968571426367,1.150025834156062,5.506860247775847,8.653789311872044,0.22089058211260792
2018,60,industry_id1,12,0.4300733545547684,0.39809536329425804,0.0024069243639939807,0.03831266960171291,0.05540899543723213,1.5878344620746512,2.1739200122203566,3.8903182625783796,0.21510259631490788
2018,60,industry_id2,12,0.4300733545547684,0.39809536329425804,0.0024069243639939807,0.04982596321173516,0.07501739430444133,1.6057920014130584,3.1922621001907334,6.124112248612832,0.21510259631490788
2018,120,industry_id1,12,0.3890646685649899,0.3668957024898783,0.0016829973037581535,0.04878514643207671,0.05862075682964502,1.2504185488953963,2.821068265488494,5.255395436561698,0.22434178468098065
2018,120,industry_id2,12,0.3890646685649899,0.3668957024898783,0.0016829973037581535,0.0658136710736651,0.07893817446280454,1.2341213049895952,4.673647762183944,8.752718596139609,0.22434178468098065
2018,252,industry_id1,12,0.34613811663694394,0.3301802594507406,0.0022660802622725676,0.04982408555340132,0.05583995331000827,1.1361949767615098,3.3434200674625276,6.206415841020206,0.2480790869179513
2018,252,industry_id2,12,0.34613811663694394,0.3301802594507406,0.0022660802622725676,0.06847787797397399,0.07886168182554391,1.1674159057826288,5.131181989302696,9.894062863366326,0.2480790869179513
2019,60,industry_id1,12,0.371669074152062,0.3515677346751522,0.002882166637221446,0.0399411932524266,0.061636875249628624,1.5589418832471222,2.501478076423349,3.9320528628814184,0.2520833333333333
2019,60,industry_id2,12,0.371669074152062,0.3515677346751522,0.002882166637221446,0.049960332705949434,0.07816851114924507,1.5829310313416196,3.868302983972848,6.032313757902223,0.2520833333333333
2019,120,industry_id1,12,0.3863770164345959,0.3721951114868935,0.0013109608338939028,0.03875078032920116,0.059045893786244384,1.5342885808782356,2.8507004372075637,5.053285492047119,0.2500439698492462
2019,120,industry_id2,12,0.3863770164345959,0.3721951114868935,0.0013109608338939028,0.04889010767811588,0.07446333672343254,1.5420293504613796,4.129056680364706,7.75558575565308,0.2500439698492462
2019,252,industry_id1,12,0.39543094321830313,0.3847747329490027,0.0012577852356427627,0.03767803912790272,0.058273458213553335,1.5534911045985902,3.257096518493322,6.192879809835728,0.24045226130653266
2019,252,industry_id2,12,0.39543094321830313,0.3847747329490027,0.0012577852356427627,0.04591059230012454,0.07384569754454363,1.6286922062862086,4.93378543541735,9.696153413089016,0.24045226130653266
2020,60,industry_id1,12,0.3127976443687072,0.2956260999174624,0.0036589928867120976,0.05577518587224534,0.07820719686743983,1.410104946390825,3.013963870835436,4.8305768011983945,0.37083333333333335
2020,60,industry_id2,12,0.3127976443687072,0.2956260999174624,0.0036589928867120976,0.06986253362227994,0.08772496674905528,1.2619351683455522,4.568215320633036,6.809791804835889,0.37083333333333335
2020,120,industry_id1,12,0.31974618398796045,0.3036653295371794,0.0026251744541211774,0.05529177617010128,0.07984349869747821,1.4523969290714307,4.018207615729231,6.195640223421422,0.4170833333333333
2020,120,industry_id2,12,0.31974618398796045,0.3036653295371794,0.0026251744541211774,0.07156360024585523,0.09387840829121452,1.314594307870704,6.381863362438454,8.851932339954239,0.4170833333333333
2020,252,industry_id1,12,0.33230566884853424,0.31904205953671017,0.002021835883687147,0.04909789489520449,0.07644736673181365,1.5750621326934728,3.9002629847218357,7.284887592734374,0.39958333333333335
2020,252,industry_id2,12,0.33230566884853424,0.31904205953671017,0.002021835883687147,0.06420777547164624,0.08618971185237585,1.3651111099799431,6.045998380711687,10.005789910546614,0.39958333333333335
2021,60,industry_id1,12,0.1530950372978477,0.1501761855381367,0.003658769794244813,0.08129936408360496,0.08745287205418749,1.07358459871911,4.314261861322389,5.57330649726499,0.47333333333333333
2021,60,industry_id2,12,0.1530950372978477,0.1501761855381367,0.003658769794244813,0.10406063192912356,0.10926254186431857,1.048527794079173,6.620159042375646,8.381462693270027,0.47333333333333333
2021,120,industry_id1,12,0.15417347099320824,0.1522758367315786,0.002057494296795952,0.07513977237561224,0.07984251470415403,1.0608160265169182,4.93268473618034,6.608380804032112,0.48208333333333336
2021,120,industry_id2,12,0.15417347099320824,0.1522758367315786,0.002057494296795952,0.09288707182865948,0.09710742992281995,1.0445457761060324,8.156574563438236,10.529956788513145,0.48208333333333336
2021,252,industry_id1,12,0.19027498451106442,0.18680199910875953,0.0014670937175849464,0.06786622833218589,0.07580499164206993,1.1290368228025063,5.961569739784984,7.744811271491383,0.49
2021,252,industry_id2,12,0.19027498451106442,0.18680199910875953,0.0014670937175849464,0.08724712425396026,0.09315405924843873,1.0758221791077742,10.168766859413193,11.626639682931357,0.49
2022,60,industry_id1,12,0.29838077930420354,0.28561214178914934,0.0032846930578686244,0.10852486794645742,0.13390075193415654,1.2428812825220448,4.64975560996155,6.840491621501272,0.33666666666666667
2022,60,industry_id2,12,0.29838077930420354,0.28561214178914934,0.0032846930578686244,0.12904778217890703,0.16547498011692918,1.2953666439918945,7.268861005806478,11.421647975165088,0.33666666666666667
2022,120,industry_id1,12,0.2710784177795424,0.2631925418540434,0.0017834999684580466,0.10002151463199953,0.11778885224279569,1.1790259568259254,5.1419646263581145,7.865554007630848,0.3545833333333333
2022,120,industry_id2,12,0.2710784177795424,0.2631925418540434,0.0017834999684580466,0.12117891015113234,0.15033293732537353,1.2391841910993486,8.27136757508602,13.81867984200887,0.3545833333333333
2022,252,industry_id1,12,0.22275766096939986,0.2183327492100261,0.0016265733274648936,0.09423868956765706,0.10797224529740791,1.143942338623665,6.654706123257856,9.337161441814777,0.4458333333333333
2022,252,industry_id2,12,0.22275766096939986,0.2183327492100261,0.0016265733274648936,0.11793055903174966,0.13546084748776552,1.1453751054157575,11.086066727164747,16.551523942861824,0.4458333333333333
2023,60,industry_id1,12,0.2039757296957673,0.19682784725314287,0.0033272384293889148,0.14074018887467227,0.16422351054400872,1.1719832373709262,6.283765656437467,8.248654234445493,0.44375000000000003
2023,60,industry_id2,12,0.2039757296957673,0.19682784725314287,0.0033272384293889148,0.16696037585763734,0.19591992250737264,1.1767353889901109,9.10336142706842,12.989472178854726,0.44375000000000003
2023,120,industry_id1,12,0.18959658128330503,0.1881518602478859,0.002990299020567031,0.13709487819657182,0.15566808223489914,1.1367486280799532,7.1415848502306085,9.352398479639495,0.4708333333333334
