industry_level,window,month_count,corr_market_r2_residual_gap,corr_raw_mean_residual_gap,corr_market_r2_residual_top1_enrichment,corr_raw_gap_residual_gap,share_residual_gap_positive,share_residual_top1_enrichment_gt_1
industry_id1,60,138,-0.36298821151950145,-0.36826456422029996,-0.48338711709572474,0.947767840171918,1.0,1.0
industry_id1,120,135,-0.3911735482167799,-0.39488928133903534,-0.5900962218222815,0.9521929318814594,1.0,1.0
industry_id1,252,129,-0.4492862534198324,-0.45679540614137915,-0.7605884265665737,0.9561202426165343,1.0,1.0
industry_id2,60,138,-0.3195957846730132,-0.32257778042865815,-0.39977647105156305,0.9332746397954788,1.0,1.0
industry_id2,120,135,-0.32957422862706637,-0.33297532671326224,-0.5260187306927429,0.9250130001254212,1.0,1.0
industry_id2,252,129,-0.3776330127860972,-0.38458493314314274,-0.6307925804863168,0.9448166355229277,1.0,1.0
