alpha,n_edges,density,n_components,n_isolated,mean_degree,max_degree,mean_abs_partial,max_abs_partial,n_iter
0.008757013491334861,83,0.7904761904761904,1,0,11.066666666666666,13,0.09192944545137881,0.7710187694277284,4
0.010281398715165454,80,0.7619047619047619,1,0,10.666666666666666,12,0.09417859954996415,0.7699409478558366,2
0.012071142706906185,79,0.7523809523809524,1,0,10.533333333333333,12,0.09406286193617826,0.7687314864315746,4
0.014172438039540557,76,0.7238095238095238,1,0,10.133333333333333,12,0.0965995150919469,0.767400261810069,5
0.016639518300922806,73,0.6952380952380952,1,0,9.733333333333333,12,0.09949589656467153,0.7658808783629913,4
0.019536057840879483,72,0.6857142857142857,1,0,9.6,12,0.0998206264200987,0.7640787215758603,4
0.02293681518058262,71,0.6761904761904762,1,0,9.466666666666667,12,0.1004759994019955,0.7619312292270968,3
0.0269295624999297,69,0.6571428571428571,1,0,9.2,12,0.10266246293918785,0.7593445081112222,4
0.031617351002223966,69,0.6571428571428571,1,0,9.2,11,0.10195107080577037,0.7560577882958448,4
0.037121170624307115,70,0.6666666666666666,1,0,9.333333333333334,12,0.0996688851598884,0.7521380340809548,4
0.04358307273819348,69,0.6571428571428571,1,0,9.2,12,0.10012253615068435,0.7474736928250407,3
0.05116983643987971,67,0.638095238095238,1,0,8.933333333333334,12,0.10190334754655606,0.7419009318292996,4
0.060077273050770534,65,0.6190476190476191,1,0,8.666666666666666,12,0.10394634750211539,0.7352268391899394,6
0.07053527992917158,62,0.5904761904761905,1,0,8.266666666666667,12,0.10780576877351043,0.7272154214768811,7
0.08281377402869287,62,0.5904761904761905,1,0,8.266666666666667,12,0.10658273559303065,0.7177494489735045,7
0.09722965834632023,59,0.5619047619047619,1,0,7.866666666666666,12,0.11040531202910091,0.7066218643635278,6
0.11415500106137808,58,0.5523809523809524,1,0,7.733333333333333,11,0.11031107550493995,0.693414844460127,6
0.13402663846567364,57,0.5428571428571428,1,0,7.6,11,0.10971029048904854,0.6777288030333031,6
0.1573574495325885,56,0.5333333333333333,1,0,7.466666666666667,11,0.10835680919604493,0.6589640903861687,6
0.18474959311721384,54,0.5142857142857142,1,0,7.2,11,0.10800937288795592,0.6361858318406378,6
0.21691004943434414,50,0.47619047619047616,1,0,6.666666666666667,11,0.11108312226671192,0.6091467785694992,5
0.25466886693362784,48,0.45714285714285713,1,0,6.4,10,0.10829028795722817,0.5775799734193607,4
0.29900058551638914,47,0.44761904761904764,1,0,6.266666666666667,10,0.09943010345237006,0.5405114437175287,2
0.351049389018735,40,0.38095238095238093,1,0,5.333333333333333,8,0.09849600391989245,0.49583414698487516,4
0.412158636136424,29,0.2761904761904762,2,1,3.8666666666666667,7,0.10609015504852044,0.43968981857915507,3
0.48390553197279934,18,0.17142857142857143,5,3,2.4,7,0.12537866886581842,0.37012560351015283,3
0.5681418350684995,13,0.12380952380952381,7,5,1.7333333333333334,5,0.1133044258657389,0.28623428031497156,2
0.6670416505450198,6,0.05714285714285714,10,7,0.8,2,0.1277548518924774,0.192631348421831,2
0.7831575428839503,4,0.0380952380952381,12,10,0.5333333333333333,2,0.05306760515367244,0.09229472766892503,2
0.9194864165901604,0,0.0,15,15,0.0,0,0.0,0.0,1
