alpha,mean_test_score,std_test_score,selected
0.0,-17.430803449086646,2.112022873988152,False
0.0087570134913348,-17.217464860451987,2.03850117927878,False
0.0102813987151654,-17.206939643304864,2.031151032055137,False
0.0120711427069061,-17.196738310281027,2.0230849346547903,False
0.0141724380395405,-17.187080814062906,2.014203966944968,False
0.0166395183009228,-17.177703524262355,2.005248605291101,False
0.0195360578408794,-17.167334289274446,1.9912111725856398,False
0.0229368151805826,-17.15821963921966,1.9757856758316992,False
0.0269295624999297,-17.15105417647232,1.958868183150565,False
0.0316173510022239,-17.147454401387407,1.939321678292792,True
0.0371211706243071,-17.147631050262472,1.9166239288244002,False
0.0435830727381934,-17.154003404360342,1.8902320187701147,False
0.0511698364398797,-17.167052597640737,1.8609763166829556,False
0.0600772730507705,-17.18790729603994,1.8284533833687064,False
0.0705352799291715,-17.218388447857617,1.7928915939102201,False
0.0828137740286928,-17.26145582821693,1.7550204170775436,False
0.0972296583463202,-17.31848924250832,1.7171795507758474,False
0.114155001061378,-17.39537664123128,1.6807322144187966,False
0.1340266384656736,-17.49542469475864,1.6465411548095854,False
0.1573574495325885,-17.619545218499375,1.6142562638911087,False
0.1847495931172138,-17.779598936234407,1.5929640025207994,False
0.2169100494343441,-17.978404575549135,1.586568645039036,False
0.2546688669336278,-18.227660350316228,1.597839445787883,False
0.2990005855163891,-18.54488579517709,1.6326339084769337,False
0.351049389018735,-18.922985340348436,1.6946587454196602,False
0.412158636136424,-19.352732499423094,1.764275403779069,False
0.4839055319727993,-19.79411157678403,1.8614443104908434,False
0.5681418350684995,-20.230699759551513,1.9721093291262566,False
0.6670416505450198,-20.666682702132444,2.0802880980389338,False
0.7831575428839503,-21.06351321902992,2.1899489510521972,False
0.9194864165901604,-21.355309117223307,2.2303866053187127,False
