stock_1,name_1,industry_1,stock_2,name_2,industry_2,partial,glasso_cv_partial,glasso_1se_partial,abs_partial,abs_glasso_cv,abs_glasso_1se,in_partial_network,in_glasso_cv,in_glasso_1se,main_edge_type,sign_same_partial_1se,abs_shrinkage_partial_to_1se,same_industry
000001,平安银行,银行,600036,招商银行,银行,0.4857991994186942,0.4638481801930362,0.3934889799654335,0.4857991994186942,0.4638481801930362,0.3934889799654335,True,True,True,Common,True,0.09231021945326068,True
000001,平安银行,银行,601398,工商银行,银行,0.0936527535203694,0.0793732896445613,0.0627891824765439,0.0936527535203694,0.0793732896445613,0.0627891824765439,False,True,True,GLasso-1SE-only,,0.030863571043825505,True
000001,平安银行,银行,601288,农业银行,银行,0.0292755970699821,0.0289470987284893,0.0119895858881251,0.0292755970699821,0.0289470987284893,0.0119895858881251,False,True,True,GLasso-1SE-only,,0.017286011181857,True
000001,平安银行,银行,600519,贵州茅台,食品饮料,-0.139334776221196,-0.0,0.0,0.139334776221196,0.0,0.0,False,False,False,Neither,,0.139334776221196,False
000001,平安银行,银行,000858,五粮液,食品饮料,0.1323545153127578,0.0685372772571296,0.069855532352943,0.1323545153127578,0.0685372772571296,0.069855532352943,False,True,True,GLasso-1SE-only,,0.06249898295981479,False
000001,平安银行,银行,000568,泸州老窖,食品饮料,0.0178909781759854,0.0,0.0131243680681849,0.0178909781759854,0.0,0.0131243680681849,False,False,True,GLasso-1SE-only,,0.004766610107800502,False
000001,平安银行,银行,600887,伊利股份,食品饮料,0.0868660093794139,0.0675285632264388,0.0663728686382652,0.0868660093794139,0.0675285632264388,0.0663728686382652,False,True,True,GLasso-1SE-only,,0.02049314074114869,False
000001,平安银行,银行,002460,赣锋锂业,新能源,0.0693285296387243,0.0400571838206285,0.0,0.0693285296387243,0.0400571838206285,0.0,False,True,False,Neither,,0.0693285296387243,False
000001,平安银行,银行,002415,海康威视,电子,0.008406827097383,0.0069719546176093,0.0,0.008406827097383,0.0069719546176093,0.0,False,True,False,Neither,,0.008406827097383,False
000001,平安银行,银行,000725,京东方A,电子,0.0461881940481366,0.0295633802382112,0.0,0.0461881940481366,0.0295633802382112,0.0,False,True,False,Neither,,0.0461881940481366,False
000001,平安银行,银行,603501,韦尔股份,电子,0.0050176225202357,0.0,0.0,0.0050176225202357,0.0,0.0,False,False,False,Neither,,0.0050176225202357,False
000001,平安银行,银行,002475,立讯精密,电子,-0.0163006346998772,0.0,0.0,0.0163006346998772,0.0,0.0,False,False,False,Neither,,0.0163006346998772,False
000001,平安银行,银行,601318,中国平安,非银金融,0.3068538321021976,0.2994696071754109,0.265847234663409,0.3068538321021976,0.2994696071754109,0.265847234663409,True,True,True,Common,True,0.041006597438788595,False
000001,平安银行,银行,600030,中信证券,非银金融,0.0006533578157411,0.0014134708278922,0.0125730250246158,0.0006533578157411,0.0014134708278922,0.0125730250246158,False,True,True,GLasso-1SE-only,,-0.0119196672088747,False
600036,招商银行,银行,601398,工商银行,银行,0.193962146618405,0.191020621799566,0.1487281506662537,0.193962146618405,0.191020621799566,0.1487281506662537,False,True,True,GLasso-1SE-only,,0.0452339959521513,True
600036,招商银行,银行,601288,农业银行,银行,-0.0112885775197259,0.0026754642318631,0.0295835964574941,0.0112885775197259,0.0026754642318631,0.0295835964574941,False,True,True,GLasso-1SE-only,,-0.0182950189377682,True
600036,招商银行,银行,600519,贵州茅台,食品饮料,0.1036356104864553,0.0666174878915222,0.0639817906832881,0.1036356104864553,0.0666174878915222,0.0639817906832881,False,True,True,GLasso-1SE-only,,0.03965381980316719,False
600036,招商银行,银行,000858,五粮液,食品饮料,-0.0131458314388094,0.0092506289162113,0.009164273518973,0.0131458314388094,0.0092506289162113,0.009164273518973,False,True,True,GLasso-1SE-only,,0.0039815579198364,False
600036,招商银行,银行,000568,泸州老窖,食品饮料,0.0183988167521748,0.0031561739899394,0.0,0.0183988167521748,0.0031561739899394,0.0,False,True,False,Neither,,0.0183988167521748,False
600036,招商银行,银行,600887,伊利股份,食品饮料,0.0060569207697651,0.0299039984755501,0.0217219658665312,0.0060569207697651,0.0299039984755501,0.0217219658665312,False,True,True,GLasso-1SE-only,,-0.0156650450967661,False
600036,招商银行,银行,002460,赣锋锂业,新能源,-0.0269027299371955,0.0,0.0,0.0269027299371955,0.0,0.0,False,False,False,Neither,,0.0269027299371955,False
600036,招商银行,银行,002415,海康威视,电子,0.0068583669537098,0.0,0.0,0.0068583669537098,0.0,0.0,False,False,False,Neither,,0.0068583669537098,False
600036,招商银行,银行,000725,京东方A,电子,-0.0071376858854925,0.0,0.0,0.0071376858854925,0.0,0.0,False,False,False,Neither,,0.0071376858854925,False
600036,招商银行,银行,603501,韦尔股份,电子,-0.0138786277378063,0.0,0.0,0.0138786277378063,0.0,0.0,False,False,False,Neither,,0.0138786277378063,False
600036,招商银行,银行,002475,立讯精密,电子,0.0511719082116402,0.0,0.0,0.0511719082116402,0.0,0.0,False,False,False,Neither,,0.0511719082116402,False
600036,招商银行,银行,601318,中国平安,非银金融,0.1467231576121829,0.1614734438282812,0.1663857955532125,0.1467231576121829,0.1614734438282812,0.1663857955532125,False,True,True,GLasso-1SE-only,,-0.019662637941029598,False
600036,招商银行,银行,600030,中信证券,非银金融,-0.0092912745062151,0.0,0.0,0.0092912745062151,0.0,0.0,False,False,False,Neither,,0.0092912745062151,False
601398,工商银行,银行,601288,农业银行,银行,0.7812533953479511,0.756057788295845,0.6091467785694997,0.7812533953479511,0.756057788295845,0.6091467785694997,True,True,True,Common,True,0.1721066167784514,True
601398,工商银行,银行,600519,贵州茅台,食品饮料,0.0506124954911195,0.0,0.0,0.0506124954911195,0.0,0.0,False,False,False,Neither,,0.0506124954911195,False
601398,工商银行,银行,000858,五粮液,食品饮料,-0.0005041059144529,-0.0,0.0,0.0005041059144529,0.0,0.0,False,False,False,Neither,,0.0005041059144529,False
601398,工商银行,银行,000568,泸州老窖,食品饮料,-0.0892927619791599,-0.0235371237819553,0.0,0.0892927619791599,0.0235371237819553,0.0,False,True,False,Neither,,0.0892927619791599,False
601398,工商银行,银行,600887,伊利股份,食品饮料,0.0760641131369452,0.0,0.0,0.0760641131369452,0.0,0.0,False,False,False,Neither,,0.0760641131369452,False
601398,工商银行,银行,002460,赣锋锂业,新能源,-0.0899035287318193,-0.0859469340757745,-0.0,0.0899035287318193,0.0859469340757745,0.0,False,True,False,Neither,,0.0899035287318193,False
601398,工商银行,银行,002415,海康威视,电子,-9.520564754514842e-05,-0.0,-0.0,9.520564754514842e-05,0.0,0.0,False,False,False,Neither,,9.520564754514842e-05,False
601398,工商银行,银行,000725,京东方A,电子,-0.0579349697285963,-0.0133353888960988,-0.0,0.0579349697285963,0.0133353888960988,0.0,False,True,False,Neither,,0.0579349697285963,False
601398,工商银行,银行,603501,韦尔股份,电子,0.0027943883997423,-0.0250478272560068,-0.0,0.0027943883997423,0.0250478272560068,0.0,False,True,False,Neither,,0.0027943883997423,False
601398,工商银行,银行,002475,立讯精密,电子,-0.0165278518137955,-0.0077686369292211,-0.0,0.0165278518137955,0.0077686369292211,0.0,False,True,False,Neither,,0.0165278518137955,False
601398,工商银行,银行,601318,中国平安,非银金融,-0.0097133009327741,0.0,0.0,0.0097133009327741,0.0,0.0,False,False,False,Neither,,0.0097133009327741,False
601398,工商银行,银行,600030,中信证券,非银金融,-0.0446563649476015,-0.0,0.0,0.0446563649476015,0.0,0.0,False,False,False,Neither,,0.0446563649476015,False
601288,农业银行,银行,600519,贵州茅台,食品饮料,-0.0047150973799805,0.0,0.0,0.0047150973799805,0.0,0.0,False,False,False,Neither,,0.0047150973799805,False
601288,农业银行,银行,000858,五粮液,食品饮料,-0.0414660451819957,-0.0140821099123817,0.0,0.0414660451819957,0.0140821099123817,0.0,False,True,False,Neither,,0.0414660451819957,False
601288,农业银行,银行,000568,泸州老窖,食品饮料,0.0338885875922597,-0.0001494700501375,-0.0,0.0338885875922597,0.0001494700501375,0.0,False,True,False,Neither,,0.0338885875922597,False
601288,农业银行,银行,600887,伊利股份,食品饮料,-0.068803418315752,-0.0,0.0,0.068803418315752,0.0,0.0,False,False,False,Neither,,0.068803418315752,False
601288,农业银行,银行,002460,赣锋锂业,新能源,-0.0303195785401181,-0.0247109017002977,-0.0,0.0303195785401181,0.0247109017002977,0.0,False,True,False,Neither,,0.0303195785401181,False
601288,农业银行,银行,002415,海康威视,电子,-0.0230188375462845,-0.0065751522525893,-0.0,0.0230188375462845,0.0065751522525893,0.0,False,True,False,Neither,,0.0230188375462845,False
601288,农业银行,银行,000725,京东方A,电子,0.0451142683984476,-0.0,-0.0,0.0451142683984476,0.0,0.0,False,False,False,Neither,,0.0451142683984476,False
601288,农业银行,银行,603501,韦尔股份,电子,-0.0903803348973549,-0.0682152499914039,-0.0,0.0903803348973549,0.0682152499914039,0.0,False,True,False,Neither,,0.0903803348973549,False
601288,农业银行,银行,002475,立讯精密,电子,-0.0259845352189509,-0.0196115974684155,-0.0,0.0259845352189509,0.0196115974684155,0.0,False,True,False,Neither,,0.0259845352189509,False
601288,农业银行,银行,601318,中国平安,非银金融,0.0469680089443625,0.0253787962916584,0.0,0.0469680089443625,0.0253787962916584,0.0,False,True,False,Neither,,0.0469680089443625,False
601288,农业银行,银行,600030,中信证券,非银金融,0.047925436481448,0.0,0.0,0.047925436481448,0.0,0.0,False,False,False,Neither,,0.047925436481448,False
600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,0.3996769422222184,0.3671971714845812,0.3125447449771941,0.3996769422222184,0.3671971714845812,0.3125447449771941,True,True,True,Common,True,0.0871321972450243,True
600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,0.2113950042075789,0.2253747963436563,0.2434292968846772,0.2113950042075789,0.2253747963436563,0.2434292968846772,True,True,True,Common,True,-0.032034292677098314,True
600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,0.2048254770260849,0.1932744647761906,0.1702187120237568,0.2048254770260849,0.1932744647761906,0.1702187120237568,True,True,True,Common,True,0.034606765002328094,True
600519,贵州茅台,食品饮料,002460,赣锋锂业,新能源,-0.0097165395112041,0.0,0.0,0.0097165395112041,0.0,0.0,False,False,False,Neither,,0.0097165395112041,False
600519,贵州茅台,食品饮料,002415,海康威视,电子,0.0003097633663572,0.0,0.0,0.0003097633663572,0.0,0.0,False,False,False,Neither,,0.0003097633663572,False
600519,贵州茅台,食品饮料,000725,京东方A,电子,-0.0809004927918581,-0.0365643078475726,0.0,0.0809004927918581,0.0365643078475726,0.0,False,True,False,Neither,,0.0809004927918581,False
600519,贵州茅台,食品饮料,603501,韦尔股份,电子,-0.0484163490327349,-0.0,0.0,0.0484163490327349,0.0,0.0,False,False,False,Neither,,0.0484163490327349,False
600519,贵州茅台,食品饮料,002475,立讯精密,电子,0.0095572800237094,-0.0,0.0,0.0095572800237094,0.0,0.0,False,False,False,Neither,,0.0095572800237094,False
600519,贵州茅台,食品饮料,601318,中国平安,非银金融,0.1158490467622926,0.0741584419351855,0.078611731748341,0.1158490467622926,0.0741584419351855,0.078611731748341,False,True,True,GLasso-1SE-only,,0.0372373150139516,False
600519,贵州茅台,食品饮料,600030,中信证券,非银金融,0.0367520588063298,0.0017902839953492,0.0103498492810278,0.0367520588063298,0.0017902839953492,0.0103498492810278,False,True,True,GLasso-1SE-only,,0.026402209525302,False
000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,0.5863163764238997,0.5605139570284464,0.4273231414013985,0.5863163764238997,0.5605139570284464,0.4273231414013985,True,True,True,Common,True,0.15899323502250118,True
000858,五粮液,食品饮料,600887,伊利股份,食品饮料,0.1000755809016634,0.117712668778115,0.1287809470495945,0.1000755809016634,0.117712668778115,0.1287809470495945,False,True,True,GLasso-1SE-only,,-0.028705366147931108,True
000858,五粮液,食品饮料,002460,赣锋锂业,新能源,0.0496386720962966,0.052571430282099,0.0403598469911016,0.0496386720962966,0.052571430282099,0.0403598469911016,False,True,True,GLasso-1SE-only,,0.009278825105194996,False
000858,五粮液,食品饮料,002415,海康威视,电子,0.0412879342820085,0.0492899562440322,0.0429722115902544,0.0412879342820085,0.0492899562440322,0.0429722115902544,False,True,True,GLasso-1SE-only,,-0.001684277308245899,False
000858,五粮液,食品饮料,000725,京东方A,电子,0.0176146530375321,0.0,0.0,0.0176146530375321,0.0,0.0,False,False,False,Neither,,0.0176146530375321,False
