code,degree_partial,strength_partial,betweenness_partial,closeness_partial,degree_cv,strength_cv,betweenness_cv,closeness_cv,degree_1se,strength_1se,betweenness_1se,closeness_1se,name,industry,degree_change_1se_minus_partial,strength_change_1se_minus_partial
600030,1,0.3319269735708819,0.0,0.10714285714285714,11,0.9631534416386865,0.05202773417059131,0.8235294117647058,11,0.8236566543092249,0.25686813186813184,0.8235294117647058,中信证券,非银金融,10,0.49172968073834294
000858,2,0.985993318646118,0.0,0.1607142857142857,10,1.2835578924153228,0.01998953427524856,0.7777777777777778,9,1.1157363151079878,0.07536630036630036,0.7368421052631579,五粮液,食品饮料,7,0.1297429964618697
000568,2,0.7977113806314786,0.0,0.1607142857142857,9,0.9817066510209239,0.0250261643118786,0.7368421052631579,8,0.8879769517831156,0.03296703296703297,0.7,泸州老窖,食品饮料,6,0.09026557115163703
002415,0,0.0,0.0,0.0,11,0.835422912293197,0.03969126111983255,0.8235294117647058,8,0.6540135311262463,0.04945054945054944,0.6363636363636364,海康威视,电子,8,0.6540135311262463
601318,2,0.6387808056730795,0.02197802197802198,0.1607142857142857,11,1.1038913922082674,0.030167451596023027,0.8235294117647058,8,0.9766356970512821,0.03553113553113554,0.7,中国平安,非银金融,6,0.33785489137820257
000001,2,0.7926530315208917,0.02197802197802198,0.1607142857142857,10,1.0857100057294073,0.026596023024594455,0.7777777777777778,8,0.8960407770775204,0.18250915750915753,0.7,平安银行,银行,6,0.10338774555662866
600036,1,0.4857991994186942,0.0,0.10714285714285714,8,0.9279459993259694,0.017961800104657245,0.7,7,0.8330545527111861,0.06959706959706959,0.5833333333333334,招商银行,银行,6,0.3472553532924919
002460,0,0.0,0.0,0.0,11,0.7350184047599674,0.03923338566195709,0.8235294117647058,7,0.385532451008205,0.0260989010989011,0.6086956521739131,赣锋锂业,新能源,7,0.385532451008205
600887,1,0.2048254770260849,0.0,0.12857142857142856,9,0.6584112325835247,0.014298796441653584,0.7368421052631579,7,0.6029726269753235,0.010347985347985348,0.6666666666666666,伊利股份,食品饮料,6,0.3981471499492386
600519,3,0.8158974234558822,0.02197802197802198,0.21428571428571427,7,0.9649769542740576,0.01043956043956044,0.6666666666666666,6,0.879136125598285,0.008516483516483516,0.6363636363636364,贵州茅台,食品饮料,3,0.06323870214240279
000725,0,0.0,0.0,0.0,9,0.7347077133030153,0.0338042909471481,0.7368421052631579,5,0.4350890206560189,0.0,0.5384615384615384,京东方A,电子,5,0.4350890206560189
002475,1,0.2864220299177501,0.0,0.07142857142857142,7,0.7208099698886355,0.006344845630559916,0.6666666666666666,5,0.4846557435175676,0.0,0.5384615384615384,立讯精密,电子,4,0.1982337135998175
603501,1,0.2864220299177501,0.0,0.07142857142857142,7,0.9454439621532229,0.006344845630559916,0.6666666666666666,5,0.6624277071218092,0.0,0.5384615384615384,韦尔股份,电子,4,0.3760056772040591
601288,1,0.7812533953479511,0.0,0.07142857142857142,10,0.9464036289230814,0.04224228152799581,0.7777777777777778,3,0.650719960915119,0.0,0.4666666666666667,农业银行,银行,2,-0.13053343443283216
601398,1,0.7812533953479511,0.0,0.07142857142857142,8,1.1820876106790288,0.03143642072213501,0.7,3,0.8206641117122974,0.0,0.4666666666666667,工商银行,银行,2,0.03941071636434623
