stock_1,name_1,industry_1,stock_2,name_2,industry_2,precision,partial_correlation,abs_partial_correlation,sign
000568,泸州老窖,食品饮料,002415,海康威视,电子,-0.046024495064751196,0.01922465351267626,0.01922465351267626,positive
600887,伊利股份,食品饮料,002415,海康威视,电子,-0.02862338409894914,0.017176930048011182,0.017176930048011182,positive
000725,京东方A,电子,601318,中国平安,非银金融,-0.027259047158118204,0.014697787323354333,0.014697787323354333,positive
601288,农业银行,银行,000858,五粮液,食品饮料,0.05354167380518641,-0.014082109912381773,0.014082109912381773,negative
601398,工商银行,银行,000725,京东方A,电子,0.02866560755568574,-0.013335388896098884,0.013335388896098884,negative
600036,招商银行,银行,000858,五粮液,食品饮料,-0.03227638065181571,0.009250628916211387,0.009250628916211387,positive
601398,工商银行,银行,002475,立讯精密,电子,0.017107914424544606,-0.0077686369292211815,0.0077686369292211815,negative
000001,平安银行,银行,002415,海康威视,电子,-0.014516905033850634,0.006971954617609363,0.006971954617609363,positive
601288,农业银行,银行,002415,海康威视,电子,0.014288126438691718,-0.006575152252589323,0.006575152252589323,negative
600036,招商银行,银行,000568,泸州老窖,食品饮料,-0.010006973001652325,0.0031561739899394876,0.0031561739899394876,positive
600036,招商银行,银行,601288,农业银行,银行,-0.007699808083535284,0.0026754642318631266,0.0026754642318631266,positive
600519,贵州茅台,食品饮料,600030,中信证券,非银金融,-0.0043700854419723555,0.0017902839953492771,0.0017902839953492771,positive
000001,平安银行,银行,600030,中信证券,非银金融,-0.003267370312610174,0.0014134708278922459,0.0014134708278922459,positive
601288,农业银行,银行,000568,泸州老窖,食品饮料,0.0005164242376607865,-0.00014947005013754534,0.00014947005013754534,negative
