resample,valid,converged,reason,n_iter,dual_gap,n_edges
77,True,True,,6,4.2629119817227945e-05,54
78,True,True,,5,3.0563962615914875e-05,54
79,True,True,,4,-4.335854977322029e-05,48
80,True,True,,5,2.9071575581074427e-05,45
81,True,True,,5,7.306827447894904e-05,44
82,True,True,,3,1.3125835423011267e-05,45
83,True,True,,5,6.334432393551026e-05,48
84,True,True,,4,5.564276903058385e-05,47
85,True,True,,5,4.896730041936692e-05,44
86,True,True,,6,2.9523901569739053e-05,48
87,True,True,,6,5.628761958353934e-05,48
88,True,True,,5,2.7393078216420008e-05,52
89,True,True,,5,8.515108648055048e-05,49
90,True,True,,5,4.960428599698474e-05,55
91,True,True,,6,3.4209271631002736e-05,43
92,True,True,,5,6.482151839115602e-05,49
93,True,True,,3,-1.2810074951019601e-05,50
94,True,True,,5,7.256112212061794e-05,50
95,True,True,,5,-2.3018911094574435e-05,54
96,True,True,,5,4.306883847204901e-05,47
97,True,True,,5,3.07490892810236e-05,48
98,True,True,,6,3.5386864242425986e-05,48
99,True,True,,4,8.63475307926187e-05,50
100,True,True,,2,-5.2651210007859106e-05,54
101,True,True,,6,-2.6606097980774734e-05,56
102,True,True,,5,5.4722910025617466e-05,53
103,True,True,,6,2.7491383650879442e-05,49
104,True,True,,5,9.825471126134744e-05,50
105,True,True,,3,2.2812571156549666e-05,52
106,True,True,,5,2.6382561643334412e-05,49
107,True,True,,5,5.473970234692871e-05,43
108,True,True,,5,1.7581525363574713e-05,47
109,True,True,,5,8.373204332823292e-05,49
110,True,True,,5,6.909589646841852e-05,46
111,True,True,,5,4.509373616512491e-05,45
112,True,True,,5,5.112643862714705e-05,50
113,True,True,,4,-8.006891534906302e-05,48
114,True,True,,5,7.793113647114325e-05,51
115,True,True,,3,8.605537625694382e-05,51
116,True,True,,5,6.702679799541755e-05,56
117,True,True,,5,3.707636410688053e-05,53
118,True,True,,5,4.048381301080539e-05,49
119,True,True,,5,3.973225254405577e-05,51
120,True,True,,4,9.850429687485729e-05,57
121,True,True,,5,-2.8581074527522787e-05,47
122,True,True,,5,-2.9048705442402678e-05,50
123,True,True,,6,-1.5650722659188432e-05,49
124,True,True,,5,1.4172506318743672e-05,50
125,True,True,,4,7.580330753453879e-05,50
126,True,True,,5,7.33993411063949e-05,50
127,True,True,,5,2.690079428591119e-05,47
128,True,True,,4,5.535377083054627e-05,54
129,True,True,,5,3.818291147084096e-05,52
130,True,True,,4,8.9432283581381e-05,45
131,True,True,,6,3.314659040087875e-05,44
132,True,True,,5,5.711573165223527e-05,52
133,True,True,,5,4.033234355160786e-05,43
134,True,True,,5,5.198081181845282e-05,48
135,True,True,,5,2.322064628801357e-05,45
136,True,True,,5,6.532273462944715e-05,53
137,True,True,,5,-6.834450193959896e-05,52
