network_date,regime,raw_mean_abs_partial_all,raw_median_abs_partial_all,raw_same_mean_abs_partial,raw_cross_mean_abs_partial,raw_same_cross_strength_gap,raw_same_cross_strength_ratio,matched_edge_count,matched_same_edges,matched_cross_edges,matched_same_ratio,matched_cross_ratio,matched_mean_abs_partial_selected,matched_same_mean_abs_partial_selected,matched_cross_mean_abs_partial_selected,market_date,CSI300_close,CSI300_return,CSI300_volume,CSI500_close,CSI500_return,CSI500_volume,CSI300_return_20,CSI300_volatility_20,CSI300_negative_share_20,CSI300_volume_activity_20_60,CSI500_return_20,CSI500_volatility_20,CSI500_negative_share_20,CSI500_volume_activity_20_60,relative_return_20,relative_volatility_20,relative_volume_activity,event_time,CSI500_vs_CSI300_relative_cumulative_return,CSI300_event_cumulative_return,CSI500_event_cumulative_return,is_first_R4_anchor,is_last_R3_market_date,segment,delta_edge_count,delta_same_ratio,delta_same_cross_strength_ratio,delta_relative_return_20
2025-09-10,3,0.1053339449007783,0.0678045263738743,0.2477245966854662,0.0738755450878822,0.173849051597584,3.353269290815703,54,14,40,0.2592592592592592,0.7407407407407407,0.1808998304631056,0.3278125897552857,0.1294803647108425,2025-09-10,4445.365,0.0020528562585855,20359764600,6932.109,0.0004537474211516,18992286700,0.06435579558193294,0.1884699572723596,0.4,0.26351832626670624,0.06515129305059708,0.2496863748971608,0.4,0.2813259633718652,0.0007954974686641414,0.061216417624801206,0.01780763710515898,-40,0.0,0.0,0.0,False,False,Other,,,,
2025-10-16,3,0.1086494340649781,0.0725422613907804,0.25229416213001,0.0769139708878199,0.1753801912421901,3.280212414178752,54,15,39,0.2777777777777778,0.7222222222222222,0.181655416252698,0.3118148415178025,0.1315940988430425,2025-10-16,4618.422,0.0026342252156184,24823551800,7231.534,-0.008564161151061,19493637000,0.03892976167311346,0.17011107816782253,0.4,0.04264040818447912,0.04319392554271717,0.21574838180869618,0.45,0.05689599981387006,0.00426416386960371,0.04563730364087365,0.01425559162939094,-20,0.004104381284387282,0.038929761673112795,0.04319392554271717,False,True,Pre-R3,0.0,0.0185185185185186,-0.07305687663695126,0.0034686664009395685
2025-11-13,4,0.0996322344487252,0.055789272389763,0.2577780547030681,0.0646930416018355,0.1930850131012325,3.9846334060099946,44,16,28,0.3636363636363636,0.6363636363636364,0.1973097380446023,0.3016901435371677,0.1376637920488506,2025-11-13,4702.074,0.0120893483039266,20736747400,7355.291,0.0154686129758363,19989023000,0.01811268004526201,0.16394975287092853,0.45,-0.11802723167817186,0.01711351975943165,0.20928024771182277,0.45,-0.15421156155757665,-0.0009991602858303583,0.04533049484089424,-0.036184329879404786,0,0.003118968529717936,0.057747564035798504,0.061046645400411936,True,False,R3-R4 Transition,-10.0,0.0858585858585858,0.7044209918312427,-0.005263324155434068
2025-12-11,4,0.0989651775959356,0.0647651945187231,0.2559907080974641,0.0642734906246677,0.1917172174727963,3.982835001016988,42,16,26,0.3809523809523809,0.6190476190476191,0.1988020788555778,0.2991625760781453,0.1370417728724593,2025-12-11,4552.185,-0.0086331649689763,16841940500,7082.893,-0.0102153523326039,18184855400,-0.031877209929063954,0.13999714682535033,0.6,-0.20494542353282952,-0.0370342927288666,0.18677582134807177,0.55,-0.18411658309987133,-0.005157082799802648,0.04677867452272144,0.020828840432958184,20,-0.002224535033896524,0.024029522885073318,0.021751533335671036,False,False,Post-R4,-2.0,0.017316017316017285,-0.0017984049930066526,-0.00415792251397229
2026-01-12,4,0.1031206589870285,0.0593070533478304,0.2533160456345086,0.069937957285841,0.1833780883486675,3.6220109289035887,42,16,26,0.3809523809523809,0.6190476190476191,0.2048405215894881,0.294623834433275,0.1495892521471576,2026-01-12,4789.916,0.0065128194998784,29483316500,8249.128,0.0238859997770797,33523628600,0.05222349267439719,0.13460556299239695,0.35,-0.011027602288719018,0.16465517691711629,0.1768131566403462,0.2,0.10312119771952477,0.1124316842427191,0.04220759364794924,0.11414880000824379,40,0.10438929444549894,0.0775079211718277,0.18998821282239065,False,False,Other,0.0,0.0,-0.3608240721133993,0.11758876704252175
