network_date,regime,index_key,market_data_end_date,market_window_start,market_window_end,market_lookback,cumulative_return_20,annualized_volatility_20,mean_abs_return_20,negative_day_share_20,positive_day_share_20,max_drawdown_20,mean_high_low_range_20,volume_mean_20,volume_mean_60,volume_activity_20_60
2024-01-16,1,CSI300,2024-01-16,2023-12-19,2024-01-16,20,-0.008557184761302294,0.13772712708423981,0.006590223608862869,0.5,0.5,-0.04487789665734998,0.01261357305890995,10371538105.0,10408512626.666666,-0.003552334804488466
2024-01-16,1,CSI500,2024-01-16,2023-12-19,2024-01-16,20,-0.036186115088008064,0.14883172740484837,0.007170915714551933,0.65,0.35,-0.049942818768557884,0.014476875691813815,8127556920.0,9392800645.0,-0.13470356423177343
2024-01-16,1,SSE,2024-01-16,2023-12-19,2024-01-16,20,-0.012561399534051776,0.1041000647692278,0.005072240212213195,0.45,0.55,-0.03268407545038721,0.010514594445092795,27194247240.0,29137986156.666668,-0.06670807331075446
2024-02-21,1,CSI300,2024-02-21,2024-01-17,2024-02-21,20,0.04725866709322002,0.22306313292301475,0.01133658731472511,0.4,0.6,-0.04884683116761135,0.022144563291326864,16651576615.0,12346870853.333334,0.3486475085713323
2024-02-21,1,CSI500,2024-02-21,2024-01-17,2024-02-21,20,-0.009895387598407135,0.4755626771259769,0.021047062218883937,0.65,0.35,-0.12081460575599712,0.03864800436901787,13254683870.0,10251363215.0,0.29296792943649486
2024-02-21,1,SSE,2024-02-21,2024-01-17,2024-02-21,20,0.019684594516428122,0.26284376332966064,0.013713262818703845,0.45,0.55,-0.0714852435706812,0.024596108796205392,40126500900.0,32334705360.0,0.2409731418069121
2024-03-20,1,CSI300,2024-03-20,2024-02-22,2024-03-20,20,0.037176105211909505,0.13187774733810842,0.00688355650896859,0.35,0.65,-0.01274097677483621,0.01213837858164098,15099975020.0,14041029913.333334,0.07541790831604844
2024-03-20,1,CSI500,2024-03-20,2024-02-22,2024-03-20,20,0.06895786117126601,0.20012263494237717,0.00966462593367695,0.45,0.55,-0.02331604558118583,0.018139802232794926,14143349890.0,11841863560.0,0.1943517013465743
2024-03-20,1,SSE,2024-03-20,2024-02-22,2024-03-20,20,0.043623151277078165,0.14062844871156932,0.007389487289565594,0.4,0.6,-0.019111047292289518,0.012560595260604528,38322410195.0,35214386111.666664,0.08826006716339241
2024-04-19,1,CSI300,2024-04-19,2024-03-21,2024-04-19,20,-0.012194509709419488,0.1504375344152785,0.007489811042646281,0.65,0.35,-0.033320289783729806,0.011766981514452778,14485399805.0,15412317146.666666,-0.060141335844956734
2024-04-19,1,CSI500,2024-04-19,2024-03-21,2024-04-19,20,-0.03250201058940705,0.2335501516305583,0.011783187006882991,0.6,0.4,-0.05655958135536232,0.018197834183830926,13214559650.0,13537531136.666666,-0.023857488001773897
2024-04-19,1,SSE,2024-04-19,2024-03-21,2024-04-19,20,-0.004683919074866205,0.14616768176638648,0.0069185843804159914,0.55,0.45,-0.027289865533049573,0.012271139198117195,37536193055.0,38661701383.333336,-0.029111712316378546
2024-05-22,1,CSI300,2024-05-22,2024-04-22,2024-05-22,20,0.040316947241153755,0.11473442214318054,0.0058312073813573,0.4,0.6,-0.010970529504453652,0.009283416575063446,15713108270.0,15099494365.0,0.04063804324615883
2024-05-22,1,CSI500,2024-05-22,2024-04-22,2024-05-22,20,0.028926405872433003,0.1753600173997099,0.008909465213089763,0.65,0.35,-0.023773878750806388,0.01268074342170549,13396469225.0,13584792921.666666,-0.013862831605353731
2024-05-22,1,SSE,2024-05-22,2024-04-22,2024-05-22,20,0.030431013867986856,0.10247746300847838,0.005328868387125292,0.4,0.6,-0.010982559460993913,0.00812779770264562,37527359945.0,37795321065.0,-0.00708979610304572
2024-06-20,1,CSI300,2024-06-20,2024-05-23,2024-06-20,20,-0.04917123338049467,0.09269229036712712,0.0053069274240243255,0.65,0.35,-0.03803347363056342,0.00957489864962836,12750536440.0,14316348171.666666,-0.10937228634642648
2024-06-20,1,CSI500,2024-06-20,2024-05-23,2024-06-20,20,-0.06839803993960392,0.13423721874009448,0.007380526551308335,0.65,0.35,-0.05153323109992969,0.013359884609086253,11103436505.0,12571488460.0,-0.11677630375043113
2024-06-20,1,SSE,2024-06-20,2024-05-23,2024-06-20,20,-0.04847271207583215,0.09029853688954856,0.00505521123125151,0.65,0.35,-0.0379655465689811,0.009158482332748819,30823557135.0,35295703378.333336,-0.12670511748686708
2024-07-18,1,CSI300,2024-07-18,2024-06-21,2024-07-18,20,0.005037847367126647,0.09314030317438997,0.004850194956647425,0.5,0.5,-0.026850744646156444,0.010119798618295121,12080510660.0,13514718456.666666,-0.10612191450863606
2024-07-18,1,CSI500,2024-07-18,2024-06-21,2024-07-18,20,-0.04256948336118915,0.1958989999970319,0.010535099326478645,0.55,0.45,-0.06246402378208038,0.015598209967128903,9494057630.0,11331321120.0,-0.1621402721309516
2024-07-18,1,SSE,2024-07-18,2024-06-21,2024-07-18,20,-0.009417598838371677,0.11424945673695347,0.0059405580222321305,0.5,0.5,-0.025245002064614663,0.010017319875644014,28416827850.0,32255914976.666668,-0.11901963188592823
