date,index_key,index_code,index_name,open,high,low,close,volume,simple_return,log_return,high_low_range,simple_return_from_log,return_consistency_error
2023-01-03,CSI300,000300,沪深300,3864.836,3893.99,3831.245,3887.899,11505187500,,,0.016377182873974272,,
2023-01-04,CSI300,000300,沪深300,3886.25,3905.903,3873.655,3892.948,11066074300,0.0012986448464840095,0.0012978023365999292,0.008324954080835667,0.0012986448464833433,6.661338147750939e-16
2023-01-05,CSI300,000300,沪深300,3913.493,3974.875,3912.26,3968.578,11650239500,0.019427436482583493,0.019241132905923664,0.01600481563086298,0.01942743648258327,2.220446049250313e-16
2023-01-06,CSI300,000300,沪深300,3969.549,4000.414,3966.47,3980.889,11095303800,0.003102118693395939,0.003097317050816173,0.008557735215443563,0.003102118693396161,2.220446049250313e-16
2023-01-09,CSI300,000300,沪深300,3998.528,4023.09,3990.707,4013.12,11705442500,0.00809643273148275,0.008063832465687426,0.008114602249676528,0.008096432731482528,2.220446049250313e-16
2023-01-10,CSI300,000300,沪深300,4014.713,4030.457,4002.23,4017.474,10175114100,0.0010849413922335849,0.0010843532686699575,0.007052818053934873,0.001084941392234251,6.661338147750939e-16
2023-01-11,CSI300,000300,沪深300,4019.884,4043.399,4008.015,4010.031,9999788900,-0.0018526566693400914,-0.0018543749603043835,0.008828310273290008,-0.0018526566693404245,3.3306690738754696e-16
2023-01-12,CSI300,000300,沪深300,4021.755,4030.288,4003.508,4017.869,9055262700,0.001954598355972781,0.0019526906141145162,0.0066891336298067205,0.001954598355972781,0.0
2023-01-13,CSI300,000300,沪深300,4032.291,4074.377,4027.886,4074.377,9587189600,0.014064171828399585,0.013966188993352446,0.011542282974245088,0.01406417182840003,4.440892098500626e-16
2023-01-16,CSI300,000300,沪深300,4077.879,4177.104,4076.639,4137.964,15139545500,0.015606557763309548,0.015486027861124185,0.02464407567115945,0.015606557763308437,1.1102230246251565e-15
2023-01-17,CSI300,000300,沪深300,4138.843,4148.584,4118.157,4137.242,9547904000,-0.00017448194329383604,-0.00017449716703765716,0.007388499272854343,-0.00017448194329250377,1.3322676295501878e-15
2023-01-18,CSI300,000300,沪深300,4140.102,4151.458,4125.769,4130.314,8420064500,-0.0016745455064025583,-0.0016759491248965475,0.006226475597640002,-0.0016745455064024473,1.1102230246251565e-16
2023-01-19,CSI300,000300,沪深300,4125.577,4156.008,4105.98,4156.008,9460839800,0.006220834541877274,0.006201565024372968,0.012184180147005064,0.0062208345418761635,1.1102230246251565e-15
