network_feature,feature_group,n,mean_feature_value,median_feature_value,mean_CSI300_future_return_20,median_CSI300_future_return_20,mean_CSI300_future_volatility_20,median_CSI300_future_volatility_20,mean_CSI300_future_max_drawdown_20,median_CSI300_future_max_drawdown_20,mean_CSI500_future_return_20,median_CSI500_future_return_20,mean_CSI500_future_volatility_20,median_CSI500_future_volatility_20,mean_CSI500_future_max_drawdown_20,median_CSI500_future_max_drawdown_20,mean_future_relative_return_20,median_future_relative_return_20,mean_future_relative_volatility_20,median_future_relative_volatility_20
edge_count,Low,11,43.81818181818182,42.0,0.006601230009718118,0.010308922661840025,0.17063414484867773,0.13537311656865983,-0.036296968376029956,-0.032974534355591945,0.017669882109175708,0.0034993648972703184,0.2544104301064611,0.22698561273856538,-0.061707305066713534,-0.06558623925784879,0.011068652099457591,-0.005157082799802648,0.08377628525778338,0.07938259567122827
edge_count,Middle,10,52.9,53.5,0.026541668941097718,0.01921319565377111,0.17102141506375598,0.12140448053067047,-0.04577982102763996,-0.04108356047567058,0.020938853808739877,-0.021198699093907092,0.25162106203075385,0.21109756284184783,-0.058103053802915985,-0.05072375469710305,-0.005602815132357841,0.004315711519177867,0.08059964696699777,0.07156661052098987
edge_count,High,10,55.4,55.0,0.005012008557200243,0.010813158575914805,0.1608230681114148,0.16703041551937475,-0.03716945174887635,-0.03561209630755541,0.00969895763680274,0.01984760131742236,0.21051473727064307,0.21251431476025928,-0.0520601365182634,-0.04864302304006407,0.004686949079602498,0.004977689909407057,0.04969166915922827,0.04548389924088453
same_edge_ratio,Low,11,0.26957737954782696,0.2727272727272727,0.02175076843551782,0.031309710145686065,0.13659901192395735,0.14670571159249055,-0.02691860986484658,-0.023432025183714456,0.025897939385835168,0.028926405872433003,0.18355463892895632,0.1753600173997099,-0.036440244401839725,-0.03255603167540666,0.004147170950317348,0.00426416386960371,0.04695562700499896,0.04563730364087418
same_edge_ratio,Middle,10,0.2970615993534972,0.2952069716775599,0.010651270755212683,-0.0041679994705440815,0.18394047371464514,0.13603648987884503,-0.05082526943635292,-0.042572980098976865,0.012928043585334548,-0.03463234220568495,0.25021769400115595,0.21320938031452047,-0.0627064533367552,-0.054046406227646004,0.0022767728301218647,0.010917382698724165,0.06627722028651077,0.07144909705694276
same_edge_ratio,High,10,0.35715575752161116,0.3568181818181818,0.004237914474705606,-0.0022423280908566157,0.18534265567771807,0.17144070832659997,-0.0424401977024651,-0.04312435990652125,0.008658904855882665,-0.012727693865816292,0.2898594755954962,0.2702626786887312,-0.07525050371578537,-0.07759021070702776,0.004420990381177059,-0.0059833202821861775,0.10451681991777813,0.08672642543023584
mean_abs_partial,Low,11,0.10118947141740686,0.10154967553337,0.02593775363086116,0.010308922661840025,0.18145364618157434,0.13187774733810842,-0.03910803915315095,-0.02813855738926163,0.03884654082173166,0.0075347357926809355,0.2518663065775248,0.20012263494237717,-0.056751169537741945,-0.0577782040732161,0.012908787190870498,0.005691215949210404,0.07041266039595047,0.06824488760426875
mean_abs_partial,Middle,10,0.10521343982968671,0.10531688772838245,0.0033661976818282536,0.004448179067728986,0.14470787999333504,0.14531638341743008,-0.04214929448885426,-0.04164931594009336,-0.004062282775285708,-0.021198699093907092,0.22366949345866635,0.22102225374767986,-0.057984054354314994,-0.05173161287801353,-0.007428480457113962,0.0025653628882792434,0.07896161346533133,0.060128335163203483
mean_abs_partial,High,10,0.11015297140393301,0.1087969408367335,0.0069173038332123625,0.014903217464316887,0.17523515171564952,0.17412933870893038,-0.03770780043282895,-0.03620815141248246,0.011405769637016783,0.015376964658153858,0.24126484172456047,0.22259234844232567,-0.057630885048733135,-0.05095781638969654,0.00448846580380442,0.002349615602676325,0.0660296900089109,0.0604011503923273
same_cross_strength_ratio,Low,11,3.0837751770614448,3.095223196082995,-0.00954345235171908,-0.012194509709419488,0.16096546844539267,0.1504375344152785,-0.04367506707149527,-0.03803347363056342,-0.016381735114933935,-0.03250201058940705,0.23487298786667782,0.23042898464476327,-0.060464192741867345,-0.05655958135536232,-0.0068382827632148535,0.0007954974686641414,0.07390751942128518,0.061216417624801706
same_cross_strength_ratio,Middle,10,3.2936689788263798,3.279036585328136,0.04462806422277828,0.031478784061844234,0.19894899025510948,0.16703041551937475,-0.041566084640762745,-0.034580339834194174,0.0469543281493892,0.02771674666403634,0.2744339385202671,0.21525204702429201,-0.06119926661620238,-0.04486271957592414,0.0023262639266109276,0.006501722470872551,0.07548494826515756,0.06059206065612521
same_cross_strength_ratio,High,10,3.6051038255176024,3.5310694304297883,0.0046847638731006055,0.0021787068039896273,0.14353103696367492,0.13046051882170995,-0.0332672795707417,-0.02576188651852379,0.021140262242674023,0.005517050344975627,0.20919304724489143,0.19344922814522436,-0.0503313472623078,-0.04063784059816439,0.01645549836957342,0.009393761352783359,0.06566201028121652,0.05751178106349543
