date,CSI300_close,CSI300_return,CSI300_volume,CSI500_close,CSI500_return,CSI500_volume,CSI300_return_20,CSI300_volatility_20,CSI300_negative_share_20,CSI300_volume_activity_20_60,CSI500_return_20,CSI500_volatility_20,CSI500_negative_share_20,CSI500_volume_activity_20_60,relative_return_20,relative_volatility_20,relative_volume_activity,event_time,CSI500_vs_CSI300_relative_cumulative_return,CSI300_event_cumulative_return,CSI500_event_cumulative_return,is_first_R4_anchor,is_last_R3_market_date,segment
2025-09-10,4445.365,0.0020528562585855,20359764600,6932.109,0.0004537474211516,18992286700,0.06435579558193294,0.1884699572723596,0.4,0.26351832626670624,0.06515129305059708,0.2496863748971608,0.4,0.2813259633718652,0.0007954974686641414,0.061216417624801206,0.01780763710515898,-40,0.0,0.0,0.0,False,False,Other
2025-09-11,4548.035,0.0230959662479908,25326405100,7122.705,0.0274946628796517,24395106100,0.0897900540889216,0.2004719487198776,0.35,0.2591049548261435,0.10775670210453003,0.2568660730340056,0.35,0.2728301434429026,0.017966648015608433,0.05639412431412799,0.013725188616759088,-39,0.00429939788326239,0.023095966247990818,0.027494662879651743,False,False,Pre-R3
2025-09-12,4521.998,-0.0057248899799584,26644200300,7147.749,0.0035160799162676,26656750800,0.0760633388009051,0.2033464596014774,0.4,0.24640750138304157,0.08817429059901971,0.24954155779772827,0.35,0.2613853824093477,0.01211095179811461,0.04619509819625087,0.01497788102630615,-38,0.013633535295643373,0.0172388544022819,0.031107416227875273,False,False,Pre-R3
2025-09-15,4533.056,0.002445379232808,23188567800,7137.363,-0.0014530448676918,23826572400,0.06926501381205408,0.2024959762541988,0.4,0.22205699694043424,0.07036260157017593,0.24694955772804472,0.4,0.2339789560371741,0.001097587758121854,0.04445358147384593,0.011921959096739876,-37,0.009691601415818596,0.0197263891716426,0.02960917088868631,False,False,Pre-R3
2025-09-16,4523.337,-0.0021440282229028,24926920600,7190.993,0.0075139796028309,24234918300,0.07102449368680186,0.20180377605762723,0.4,0.21406931656687656,0.08048940162225393,0.24646030718275996,0.35,0.22199979573048934,0.009464907935452072,0.04465653112513274,0.00793047916361278,-36,0.01946416345268731,0.017540067013619653,0.03734563319763162,False,False,Pre-R3
2025-09-17,4551.023,0.0061207024813758,23571647200,7260.035,0.0096011774729858,25826444900,0.06546501424826867,0.19994454806934925,0.4,0.20742761234166807,0.07906666831151754,0.24600804322095315,0.35,0.21832446585316,0.01360165406324887,0.046063495151603906,0.010896853511491944,-35,0.02299079750065869,0.02376812702668918,0.04730537272278901,False,False,Pre-R3
2025-09-18,4498.109,-0.0116268364277657,30985982600,7199.883,-0.0082853595058426,34858954100,0.048981931502533715,0.20675559540301175,0.45,0.2058391932642667,0.07394163569338863,0.24847740324732973,0.35,0.22688288796717027,0.024959704190854914,0.041721807844317976,0.02104369470290357,-34,0.0264493091915603,0.011864942473789775,0.0386280711973801,False,False,Pre-R3
2025-09-19,4501.92,0.0008472449200318,22504400000,7170.349,-0.0041020111021248,27150719300,0.028305631934962605,0.19487539732541823,0.45,0.18908579180461493,0.05093211089153904,0.24418493152647402,0.4,0.2235437603963315,0.022626478956576435,0.0493095342010558,0.03445796859171657,-33,0.021373449263144773,0.01272223990605914,0.03436760731834987,False,False,Pre-R3
2025-09-22,4522.608,0.0045953726410066,19645995600,7225.128,0.0076396560334788,23185806900,0.011945255796199428,0.18153631050746763,0.45,0.14996869882089503,0.03930323468590502,0.23737834258278212,0.4,0.19458650515390485,0.027357978889705592,0.05584203207531449,0.044617806333009824,-32,0.02446857623046239,0.017376075980262362,0.04226982005043456,False,False,Pre-R3
2025-09-23,4519.778,-0.000625745145279,25282706200,7180.714,-0.0061471575313267,28128363400,0.015089416476833595,0.18087773813256977,0.45,0.1360593888946222,0.03110956029273182,0.2391527232995295,0.45,0.1832536913399061,0.016020143815898225,0.058274985166959725,0.04719430244528389,-31,0.018808520992459776,0.016739457839794802,0.035862823276437084,False,False,Pre-R3
2025-09-24,4566.071,0.0102423172111549,22048260800,7323.709,0.0199137578797874,24006493800,0.041025715853644895,0.17375718756537709,0.4,0.10628585530337786,0.06719749854354728,0.23947133997958037,0.4,0.15697872533340806,0.02617178268990239,0.06571415241420328,0.0506928700300302,-30,0.028561969245030072,0.027153225888087773,0.05649074473583715,False,False,Pre-R3
2025-09-25,4593.488,0.0060045058432074,22982333300,7341.324,0.0024052020635991,23617503000,0.02905742260710742,0.16451054975823157,0.4,0.08526967143463193,0.04709120887271179,0.2295143863781864,0.4,0.1321789440147998,0.018033786265604368,0.06500383661995485,0.04690927258016786,-29,0.0248819589051541,0.03332077343480222,0.059031818455249185,False,False,Pre-R3
2025-09-26,4550.049,-0.0094566481941392,20848211400,7240.911,-0.013677778013884,21144414800,0.01185075740105268,0.16733469612662008,0.45,0.0512635076958714,0.02796289350480219,0.23625071345578294,0.45,0.11311289023276028,0.016112136103749508,0.06891601732916286,0.061849382536888875,-28,0.02051449756127055,0.023549022408733356,0.044546616332778344,False,False,Pre-R3
2025-09-29,4620.053,0.015385328817338,27435887700,7350.56,0.0151429840803181,23353941800,0.02129711646035748,0.1744865023036154,0.45,0.03127199698232985,0.033792161442687485,0.2396496709569438,0.45,0.0939428661235755,0.012495044982330006,0.06516316865332841,0.06267086914124564,-27,0.020270928631803464,0.03929666067915649,0.0603641691150556,False,False,Pre-R3
