segment,n_trading_days,start_date,end_date,mean_CSI300_return_20,median_CSI300_return_20,start_CSI300_return_20,end_CSI300_return_20,mean_CSI500_return_20,median_CSI500_return_20,start_CSI500_return_20,end_CSI500_return_20,mean_relative_return_20,median_relative_return_20,start_relative_return_20,end_relative_return_20,mean_CSI300_volatility_20,median_CSI300_volatility_20,start_CSI300_volatility_20,end_CSI300_volatility_20,mean_CSI500_volatility_20,median_CSI500_volatility_20,start_CSI500_volatility_20,end_CSI500_volatility_20,mean_relative_volatility_20,median_relative_volatility_20,start_relative_volatility_20,end_relative_volatility_20,mean_CSI300_volume_activity_20_60,median_CSI300_volume_activity_20_60,start_CSI300_volume_activity_20_60,end_CSI300_volume_activity_20_60,mean_CSI500_volume_activity_20_60,median_CSI500_volume_activity_20_60,start_CSI500_volume_activity_20_60,end_CSI500_volume_activity_20_60,mean_relative_volume_activity,median_relative_volume_activity,start_relative_volume_activity,end_relative_volume_activity,mean_CSI500_vs_CSI300_relative_cumulative_return,median_CSI500_vs_CSI300_relative_cumulative_return,start_CSI500_vs_CSI300_relative_cumulative_return,end_CSI500_vs_CSI300_relative_cumulative_return
Pre-R3,20,2025-09-11,2025-10-16,0.04247323156646589,0.03862855436501211,0.0897900540889216,0.03892976167311346,0.06286184267608433,0.0658233946349841,0.10775670210453003,0.04319392554271717,0.020388611109618437,0.01703939205967897,0.017966648015608433,0.00426416386960371,0.18178452245958104,0.1746526245579475,0.2004719487198776,0.17011107816782253,0.23255123977991113,0.23826553294115582,0.2568660730340056,0.21574838180869618,0.0507667173203301,0.04676351612599389,0.05639412431412799,0.04563730364087365,0.11472716078346493,0.0957777633690049,0.2591049548261435,0.04264040818447912,0.14903385594810253,0.14457883467410393,0.2728301434429026,0.05689599981387006,0.03430669516463762,0.03630392753022649,0.013725188616759088,0.01425559162939094,0.020045562123160755,0.02094397341220766,0.00429939788326239,0.004104381284387282
R3-R4 Transition,20,2025-10-17,2025-11-13,0.017833341245217616,0.015905137333839914,-0.007431780977938507,0.01811268004526201,0.0005048303295369816,-0.002923620205314059,-0.014971699656240345,0.01711351975943165,-0.017328510915680634,-0.01856011023593951,-0.007539918678301838,-0.0009991602858303583,0.17839167347429563,0.1802021658827307,0.17207878126111828,0.16394975287092853,0.23118642499274186,0.23339111831407883,0.22241619987712244,0.20928024771182277,0.05279475151844619,0.051944056040274134,0.05033741861600416,0.04533049484089424,-0.008082393570433371,0.013692417651013145,0.03684161624739746,-0.11802723167817186,-0.061141834812709385,-0.05961380496552149,0.043957442887974985,-0.15421156155757665,-0.05305944124227602,-0.05679275725013461,0.007115826640577527,-0.036184329879404786,0.0026352183179349843,0.0030846062288647502,-0.003329635208455306,0.003118968529717936
Post-R4,20,2025-11-14,2025-12-11,-0.020604454105219033,-0.018337384885900088,0.025232403718458807,-0.031877209929063954,-0.02867197800330294,-0.031500189814636204,0.031270515414194344,-0.0370342927288666,-0.008067523898083906,-0.01048195091416576,0.006038111695735537,-0.005157082799802648,0.14948690199281855,0.14903735175427835,0.15233483171144335,0.13999714682535033,0.19161911280818753,0.19214657328575335,0.18732078557421283,0.18677582134807177,0.04213221081536894,0.043337818082171436,0.03498595386276948,0.04677867452272144,-0.16174502609621427,-0.16715289107367282,-0.12902540081435798,-0.20494542353282952,-0.15815119619455098,-0.16145431348195682,-0.15163697980806323,-0.18411658309987133,0.0035938299016633037,0.004058630806767105,-0.02261157899370525,0.020828840432958184,-0.005791740269634071,-0.0068362095320291805,0.0025402602070749847,-0.002224535033896524
