regime,n,start_date,end_date,mean_CSI300_future_return_20,median_CSI300_future_return_20,sd_CSI300_future_return_20,mean_CSI300_future_volatility_20,median_CSI300_future_volatility_20,sd_CSI300_future_volatility_20,mean_CSI300_future_max_drawdown_20,median_CSI300_future_max_drawdown_20,sd_CSI300_future_max_drawdown_20,mean_CSI500_future_return_20,median_CSI500_future_return_20,sd_CSI500_future_return_20,mean_CSI500_future_volatility_20,median_CSI500_future_volatility_20,sd_CSI500_future_volatility_20,mean_CSI500_future_max_drawdown_20,median_CSI500_future_max_drawdown_20,sd_CSI500_future_max_drawdown_20,mean_future_relative_return_20,median_future_relative_return_20,sd_future_relative_return_20,mean_future_relative_volatility_20,median_future_relative_volatility_20,sd_future_relative_volatility_20
1,7,2024-01-16,2024-07-18,0.0025130351050693628,0.005037847367126647,0.04157832045530836,0.13516295182581156,0.13187774733810842,0.04468940224131662,-0.033669950002891795,-0.033320289783729806,0.019262564944767614,-0.013177618323838727,-0.03250201058940705,0.04720985518057611,0.23443254650320178,0.20012263494237717,0.11135632858566069,-0.05476418490917222,-0.05153323109992969,0.03286977617908353,-0.015690653428908092,-0.019226806559109244,0.031436494197631955,0.09926959467739023,0.08311261721527982,0.0703729139692062
2,5,2024-08-15,2024-12-16,0.03209383612955432,-0.009755767861377884,0.1181921947526127,0.24283328045006716,0.184308924546933,0.1739480730293842,-0.06370622490784347,-0.05495822420708141,0.028334446365622167,0.040856205304954527,0.013640409556876065,0.13194252618268654,0.3000864215247377,0.2462426877746315,0.183476502734145,-0.07626288218249733,-0.07859884071294765,0.03215181726364034,0.008762369175400209,0.018723172107081743,0.025187494188786803,0.05725314107467052,0.051776755794044005,0.013482971999430392
3,10,2025-01-14,2025-10-16,0.021496940105278573,0.03234912704305082,0.03380016125984265,0.14047499362019805,0.12750732540792345,0.06293836417997252,-0.029898345948499293,-0.023408620415750203,0.025236231954544566,0.029222468324122362,0.03872451569504376,0.048344570480168485,0.18553807122099547,0.16900985518672762,0.08077230292745391,-0.03840581222670939,-0.027521644628982322,0.03488459180759579,0.007725528218843791,0.004977689909407057,0.019422309418720703,0.04506307760079744,0.04108627262092488,0.021796208455873857
4,4,2025-11-13,2026-02-09,-0.0029356231064052163,-0.01604438758547705,0.037536435450047534,0.13206904750250958,0.1318244266488537,0.00667783595045941,-0.02945564447292462,-0.030352723124325742,0.008706846195087527,0.024907694958226367,-0.013995052177672107,0.09542899552724052,0.21157846660074675,0.20688071704331845,0.036566629588857986,-0.055264527575850014,-0.061682221665532444,0.022214181900154947,0.027843318064631584,0.008585615918215772,0.05887090744328376,0.07950941909823717,0.07456704868715303,0.04167829069781243
5,5,2026-03-17,2026-07-14,0.001372594015891382,0.010308922661840025,0.02443237346331093,0.22041744676882563,0.23417129256082633,0.054669905949656074,-0.051546513593068236,-0.051592501350268605,0.014018342100431225,-0.0006292687351343362,-0.015560000133225449,0.03860206286783919,0.3153436424851997,0.32572233154769026,0.07324937401232101,-0.08212646421969132,-0.08506966425356921,0.02380067112281144,-0.0020018627510257183,-0.006809557764569707,0.02236343788825255,0.09492619571637408,0.08190181187360776,0.03893733922762745
