index_key,transition,before_regime,after_regime,before_n,after_n,boundary_before_date,boundary_after_date,before_cumulative_return_20,after_cumulative_return_20,delta_cumulative_return_20,standardized_delta_cumulative_return_20,before_annualized_volatility_20,after_annualized_volatility_20,delta_annualized_volatility_20,standardized_delta_annualized_volatility_20,before_mean_abs_return_20,after_mean_abs_return_20,delta_mean_abs_return_20,standardized_delta_mean_abs_return_20,before_negative_day_share_20,after_negative_day_share_20,delta_negative_day_share_20,standardized_delta_negative_day_share_20,before_max_drawdown_20,after_max_drawdown_20,delta_max_drawdown_20,standardized_delta_max_drawdown_20,before_mean_high_low_range_20,after_mean_high_low_range_20,delta_mean_high_low_range_20,standardized_delta_mean_high_low_range_20,before_volume_activity_20_60,after_volume_activity_20_60,delta_volume_activity_20_60,standardized_delta_volume_activity_20_60,V1_return_decreases,V2_volatility_increases,V3_drawdown_worsens,V4_negative_day_share_increases,V5_trading_activity_increases,n_directional_signals
CSI300,3->4,3,4,10,4,2025-10-16,2025-11-13,0.0173516821287648,0.005916345986760496,-0.011435336142004305,-0.21239339122871256,0.1418562956573321,0.14189893824849614,4.2642591164043786e-05,0.0004808325274219082,0.006391859801055513,0.00702729886910494,0.000635439068049427,0.1546742672376521,0.425,0.475,0.04999999999999999,0.4538000168247579,-0.034093575862733115,-0.029220889620404533,0.004872686242328582,0.2033560160148008,0.011712721512463154,0.012092727776494682,0.000380006264031528,0.07197731741358641,0.027627392318592237,-0.0028054593681382245,-0.03043285168673046,-0.15687875891170006,True,True,False,True,False,3
CSI500,3->4,3,4,10,4,2025-10-16,2025-11-13,0.02175512165142903,0.03806728493509057,0.016312163283661536,0.23091575292466068,0.18923431522727635,0.20715212534406102,0.01791781011678467,0.1663604616363917,0.008866649217541234,0.010606654004863481,0.0017400047873222472,0.36453917888994325,0.43,0.4,-0.02999999999999997,-0.271619208213638,-0.044054139750149914,-0.04574312319765364,-0.0016889834475037266,-0.05193420340587352,0.015325953679252555,0.01618150631369787,0.0008555526344453165,0.1236682595946771,0.007089711142315669,0.01655461561572613,0.009464904473410463,0.0454769940518685,False,True,True,False,True,3
SSE,3->4,3,4,10,4,2025-10-16,2025-11-13,0.015133860566368729,0.013853260785470195,-0.0012805997808985337,-0.026440238902648034,0.12557386990508468,0.11899160599551539,-0.006582263909569286,-0.07976956908622408,0.0056001475124755696,0.005701627403952008,0.00010147989147643848,0.027667782749612912,0.43,0.4375,0.007500000000000007,0.06907142559050988,-0.029164282211624138,-0.026279192855007905,0.0028850893566162335,0.1227489531247845,0.010362718986819376,0.009947833493459152,-0.00041488549336022446,-0.08051939016472444,0.00530393116749891,0.003471273358328225,-0.001832657809170685,-0.01120458549662353,True,False,False,True,False,2
