index_key,index_code,index_name,start_date,end_date,n_observations,n_duplicate_dates,n_missing_close,n_missing_simple_return,min_close,max_close,mean_daily_return,daily_return_sd,max_abs_return,max_return_consistency_error
CSI300,000300,沪深300,2023-01-03,2026-08-24,882,0,0,1,3159.247,5059.658,0.00024277246812538452,0.011059572876321772,0.08482632837295823,1.7763568394002505e-15
CSI500,000905,中证500,2023-01-03,2026-08-24,882,0,0,1,4450.959,9031.379,0.00040164538782183016,0.014688632140535417,0.10411106749260712,1.7763568394002505e-15
SSE,000001,上证综指,2023-01-03,2026-08-24,882,0,0,1,2702.185,4242.572,0.0002974066574609561,0.009806361714672085,0.08063665150999388,1.7763568394002505e-15
