date,CSI300_close,CSI500_close,SSE_close,CSI300_simple_return,CSI500_simple_return,SSE_simple_return,CSI300_log_return,CSI500_log_return,SSE_log_return,CSI300_volume,CSI500_volume,SSE_volume,main_indices_complete
2023-01-03,3887.899,5955.897,3116.512,,,,,,,11505187500,9955783700,28137036200,False
2023-01-04,3892.948,5952.454,3123.516,0.0012986448464840095,-0.0005780825289625202,0.002247384255218643,0.0012978023365999292,-0.0005782496830910588,0.00224486266450441,11066074300,9716044100,27331362600,True
2023-01-05,3968.578,6010.464,3155.216,0.019427436482583493,0.009745560402482756,0.010148819471390569,0.019241132905923664,0.00969837872231416,0.010097666010087991,11650239500,9662997900,25700301800,True
2023-01-06,3980.889,6012.815,3157.637,0.003102118693395939,0.0003911511657002098,0.0007673008757562716,0.003097317050816173,0.0003910746860267267,0.0007670066509373186,11095303800,9924487700,25738025500,True
2023-01-09,4013.12,6040.019,3176.085,0.00809643273148275,0.004524336770713955,0.0058423434992684875,0.008063832465687426,0.004514132725221387,0.005825343192768173,11705442500,10069682900,25811521800,True
2023-01-10,4017.474,6048.297,3169.507,0.0010849413922335849,0.0013705254900686636,-0.00207110326077542,0.0010843532686699575,0.0013695871772334556,-0.0020732509610521532,10175114100,9639335100,23298417500,True
2023-01-11,4010.031,6014.157,3161.838,-0.0018526566693400914,-0.00564456408142644,-0.0024196192026078034,-0.0018543749603043835,-0.005660554835541731,-0.0024225512116675674,9999788900,9440638900,23774286900,True
2023-01-12,4017.869,6015.287,3163.451,0.001954598355972781,0.00018789000686214585,0.0005101463136314432,0.0019526906141145162,0.00018787235774553324,0.0005100162332372093,9055262700,9290012400,21667130500,True
2023-01-13,4074.377,6057.69,3195.306,0.014064171828399585,0.007049206463465296,0.010069699198754778,0.013966188993352446,0.007024476955175274,0.010019337579828758,9587189600,9002502000,22022689700,True
2023-01-16,4137.964,6126.177,3227.592,0.015606557763309548,0.01130579478315985,0.010104196593377912,0.015486027861124185,0.011242361943349266,0.010053490475968374,15139545500,12961973000,30674954900,True
2023-01-17,4137.242,6132.639,3224.245,-0.00017448194329383604,0.0010548177109477308,-0.001036996001973045,-0.00017449716703765716,0.0010542617816469146,-0.001037534054329825,9547904000,9592169900,22659223000,True
2023-01-18,4130.314,6151.456,3224.406,-0.0016745455064025583,0.003068336486135914,4.99341706352574e-05,-0.0016759491248965475,0.003063638748781017,4.993292396449078e-05,8420064500,9455583600,21210973000,True
2023-01-19,4156.008,6204.326,3240.279,0.006220834541877274,0.008594713186601766,0.004922767170139286,0.006201565024372968,0.008557988912267334,0.004910689971110216,9460839800,9977779300,22646503000,True
2023-01-20,4181.527,6251.434,3264.814,0.006140267294961976,0.007592766724379141,0.007571878841297286,0.006121492668688333,0.007564086753182764,0.007543356056929795,12355380900,11390454200,27321918200,True
2023-01-30,4201.345,6283.327,3269.318,0.004739416964185672,0.005101709463780635,0.0013795579166226979,0.004728221287654932,0.0050887398368626435,0.0013786072008770134,16460706400,14651792000,35332582900,True
2023-01-31,4156.858,6289.15,3255.669,-0.010588751935392104,0.0009267383346434066,-0.004174876839756925,-0.010645211681683975,0.0009263091777960142,-0.004183615969745702,12455083500,13530209300,30016295700,True
2023-02-01,4195.933,6365.905,3284.921,0.009400128654863726,0.012204351939451241,0.008984942879635582,0.00935622238078615,0.012130479274324202,0.008944818445096203,14100895400,15244222000,33950941000,True
2023-02-02,4181.149,6370.141,3285.671,-0.003523411837128898,0.0006654199206554967,0.00022831599298744898,-0.003529633671638166,0.000665198626982999,0.0002282899328580612,13382373600,14929281100,33341313300,True
2023-02-03,4141.632,6343.686,3263.406,-0.009451229793532967,-0.004152969298481746,-0.006776393619446375,-0.009496176088525488,-0.004161616825726355,-0.0067994576276060315,11704122100,12150718200,29334281400,True
2023-02-06,4086.878,6302.335,3238.698,-0.013220392347750742,-0.006518449998943798,-0.0075712307938393675,-0.01330855966789457,-0.006539787871252756,-0.007600038058116709,11019271700,10848530800,26705310700,True
2023-02-07,4094.234,6317.238,3248.094,0.0017999069216159125,0.002364679122896618,0.0029011658388649053,0.0017982890302299381,0.0023618876689486257,0.002896965579058275,9136007200,10966268300,25094645000,True
2023-02-08,4076.141,6268.276,3232.106,-0.004419141651405334,-0.0077505390805285845,-0.00492227133820633,-0.0044289349204174044,-0.007780730610143394,-0.004934425616610838,8478609900,10599489500,23453048100,True
2023-02-09,4130.857,6354.562,3270.383,0.01342348068921062,0.01376550745372418,0.011842742781331905,0.013334183999663907,0.013671623448832548,0.011773166282042169,10228996100,10903111900,25475452900,True
2023-02-10,4106.31,6334.252,3260.673,-0.005942350461417445,-0.0031961290172319856,-0.00296907120664458,-0.005960076483628285,-0.003201247546810393,-0.002973487642535133,9671673300,12010082900,26062692600,True
2023-02-13,4143.574,6383.828,3284.16,0.009074814127525421,0.007826654196896543,0.007203114203724326,0.009033885429001742,0.007796184817872032,0.007177295684964946,12889257700,13156622700,29721318800,True
2023-02-14,4145.29,6397.215,3293.283,0.00041413523687539033,0.0020970176514780725,0.0027778792750656756,0.0004140495065456662,0.0020948219790035694,0.002774028098851744,10249989000,12467438900,27097416800,True
2023-02-15,4123.689,6384.348,3280.492,-0.005210974382974354,-0.0020113439989120074,-0.003883966242803849,-0.005224598861801155,-0.0020133694676509606,-0.0038915284268874473,12166450800,11590702200,26993912300,True
2023-02-16,4093.488,6289.479,3249.03,-0.007323782176590021,-0.014859622313821208,-0.00959063457554532,-0.007350732736586707,-0.01497113254696636,-0.009636920892502232,15931058500,16838841600,38086354500,True
2023-02-17,4034.507,6237.405,3224.024,-0.0144084946627423,-0.008279541119383782,-0.00769645094074245,-0.014513305013098332,-0.008314006892321757,-0.007726221469265937,11614258900,11721098500,27845123700,True
2023-02-20,4133.49,6346.068,3290.338,0.02453410044895188,0.017421187176397845,0.02056870544388012,0.02423797311013942,0.01727117801414657,0.020360026277245424,16179448100,14033407500,32500773300,True
2023-02-21,4144.354,6383.425,3306.524,0.002628287476200697,0.0058866372059045435,0.004919251456841023,0.002624839568744264,0.005869378653876822,0.004907191473947137,14577617300,14182471400,32440944900,True
2023-02-22,4106.951,6375.068,3291.148,-0.009025049501080296,-0.0013091718004049069,-0.004650200633656287,-0.009066021965644211,-0.0013100295144852225,-0.004661046453175999,10429029500,10908302900,25540398500,True
2023-02-23,4103.646,6360.32,3287.477,-0.0008047332437129961,-0.002313387088576979,-0.0011154162620460317,-0.0008050572153273095,-0.0023160671025586055,-0.001116038801734831,10356490600,11606465400,26232430400,True
2023-02-24,4061.046,6340.844,3267.16,-0.010381012397268186,-0.00306211008251156,-0.006180119282963803,-0.010435270938847552,-0.0030668079342675014,-0.006199295267544258,10098942500,9695728100,23420630600,True
2023-02-27,4043.844,6307.206,3258.034,-0.00423585450644981,-0.005304972019497756,-0.0027932516313862177,-0.004244851152794382,-0.005319093347871728,-0.0027971600385310325,9378763000,10108273800,24285534400,True
2023-02-28,4069.459,6357.535,3279.605,0.006334319523700671,0.007979603012807868,0.0066208639934388636,0.006314342039914322,0.00794793433810348,0.006599042339276551,11032359100,9660316300,25162503200,True
