factor_order,factor_name,method,window,one_way_cost_bps,month_count,mean_gross_spread,mean_gross_spread_bps,mean_transaction_cost_drag,mean_transaction_cost_drag_bps,mean_canonical_net_spread,mean_canonical_net_spread_bps,annualized_arithmetic_net_spread,annualized_net_spread_sharpe,positive_net_spread_share,negative_net_spread_share,gross_hac_t_stat,net_hac_t_stat,factor_sign_flipped
1,residual_degree_percentile,RAW_COMMON,60,5,122,-0.001915549940705601,-19.15549940705601,0.0008328381846532622,8.328381846532622,-0.0027483881253588622,-27.48388125358862,-0.03298065750430634,-0.28717219397961724,0.48360655737704916,0.5163934426229508,-0.6668471800414447,-0.9555740733396988,False
1,residual_degree_percentile,RAW_COMMON,60,10,122,-0.001915549940705601,-19.15549940705601,0.0016656763693065244,16.656763693065244,-0.0035812263100121243,-35.81226310012124,-0.042974715720145495,-0.3740922947169349,0.47540983606557374,0.5245901639344263,-0.6668471800414447,-1.2435456799979256,False
1,residual_degree_percentile,RAW_COMMON,60,20,122,-0.001915549940705601,-19.15549940705601,0.003331352738613049,33.31352738613049,-0.00524690267931865,-52.4690267931865,-0.0629628321518238,-0.5477684485687169,0.4426229508196721,0.5573770491803278,-0.6668471800414447,-1.8171523816292863,False
1,residual_degree_percentile,RAW_COMMON,60,30,122,-0.001915549940705601,-19.15549940705601,0.0049970291079195735,49.97029107919573,-0.006912579048625173,-69.12579048625173,-0.08295094858350208,-0.7212017005420891,0.38524590163934425,0.6147540983606558,-0.6668471800414447,-2.3875291066053514,False
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,5,126,0.0021597448000046935,21.597448000046935,0.0008868204493744014,8.868204493744015,0.0012729243506302917,12.729243506302916,0.0152750922075635,0.21727801019131202,0.5,0.5,1.1978162146094844,0.7037244740444563,False
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,10,126,0.0021597448000046935,21.597448000046935,0.0017736408987488027,17.73640898748803,0.00038610390125589056,3.8610390125589054,0.004633246815070687,0.06583713742193092,0.48412698412698413,0.5158730158730159,1.1978162146094844,0.21275755593762738,False
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,20,126,0.0021597448000046935,21.597448000046935,0.0035472817974976055,35.47281797497606,-0.0013875369974929133,-13.875369974929134,-0.01665044396991496,-0.2360791341345014,0.4444444444444444,0.5555555555555556,1.1978162146094844,-0.759442420011266,False
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,30,126,0.0021597448000046935,21.597448000046935,0.00532092269624641,53.209226962464086,-0.0031611778962417156,-31.611778962417155,-0.03793413475490059,-0.5365720161815927,0.40476190476190477,0.5952380952380952,1.1978162146094844,-1.718108326368954,False
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5,126,0.001475257450511639,14.75257450511639,0.0009204506571258731,9.204506571258733,0.0005548067933857656,5.548067933857657,0.006657681520629188,0.1211518812645613,0.5396825396825397,0.4603174603174603,0.9800216589731635,0.3672147836830079,False
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,10,126,0.001475257450511639,14.75257450511639,0.0018409013142517462,18.409013142517466,-0.00036564386374010697,-3.65643863740107,-0.004387726364881284,-0.07969785956834564,0.5079365079365079,0.49206349206349204,0.9800216589731635,-0.2411023455455768,False
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,20,126,0.001475257450511639,14.75257450511639,0.0036818026285034924,36.81802628503493,-0.0022065451779918533,-22.065451779918533,-0.02647854213590224,-0.4790741273275241,0.4603174603174603,0.5396825396825397,0.9800216589731635,-1.4436191740112347,False
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,30,126,0.001475257450511639,14.75257450511639,0.005522703942755239,55.22703942755239,-0.004047446492243601,-40.474464922436006,-0.04856935790692321,-0.8750723234445518,0.3888888888888889,0.6111111111111112,0.9800216589731635,-2.626322205803831,False
2,delta_degree_percentile,RAW_COMMON,60,5,132,-0.011717403976597674,-117.17403976597674,0.0009195697076135223,9.195697076135223,-0.012636973684211196,-126.36973684211196,-0.15164368421053434,-1.6480120232360185,0.3181818181818182,0.6818181818181818,-4.997121828523689,-5.394024929337821,False
2,delta_degree_percentile,RAW_COMMON,60,10,132,-0.011717403976597674,-117.17403976597674,0.0018391394152270446,18.391394152270447,-0.013556543391824718,-135.56543391824718,-0.16267852070189662,-1.7680369147951014,0.3106060606060606,0.6893939393939394,-4.997121828523689,-5.791447570772646,False
2,delta_degree_percentile,RAW_COMMON,60,20,132,-0.011717403976597674,-117.17403976597674,0.0036782788304540893,36.782788304540894,-0.015395682807051761,-153.95682807051762,-0.18474819368462114,-2.0079366606273954,0.29545454545454547,0.7045454545454546,-4.997121828523689,-6.587707499432265,False
