analysis_date,window,factor_order,factor_name,method,sort_status,turnover_status,gross_spread_status,gross_q5_minus_q1,q1_sort_n,q5_sort_n,q1_return_n,q5_return_n,q1_future_excess_return,q5_future_excess_return,gross_q5_minus_q1_bps,q1_target_turnover,q5_target_turnover,q1_drift_turnover,q5_drift_turnover,q1_drift_return_weight_coverage,q5_drift_return_weight_coverage,long_short_half_l1_turnover_sum,roundtrip_traded_notional_ratio
2015-06-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,INSUFFICIENT_SORT_OBS,SORT_FAILURE,SORT_FAILURE,,,,,,,,,,,,,,,,
2015-06-30,60,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,INSUFFICIENT_SORT_OBS,SORT_FAILURE,SORT_FAILURE,,,,,,,,,,,,,,,,
2015-07-31,60,1,residual_degree_percentile,RAW_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,0.0027300589701625515,356.0,288.0,356.0,288.0,0.005060745459762469,0.00779080442992502,27.300589701625515,,,,,,,,
2015-07-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.007838636062166995,292.0,292.0,292.0,292.0,0.009989190935091432,0.002150554872924437,-78.38636062166995,,,,,,,,
2015-07-31,60,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,-0.008298817943068755,292.0,292.0,292.0,292.0,0.009294313720678318,0.0009954957776095634,-82.98817943068755,,,,,,,,
2015-07-31,60,2,delta_degree_percentile,RAW_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.05352522904844022,300.0,288.0,300.0,288.0,0.040183930680003595,-0.013341298368436623,-535.2522904844021,,,,,,,,
2015-07-31,60,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.03997710198543015,292.0,292.0,292.0,292.0,0.030709454674259434,-0.009267647311170715,-399.77101985430147,,,,,,,,
2015-07-31,60,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,-0.025196967757127164,292.0,292.0,292.0,292.0,0.014540684732742908,-0.010656283024384256,-251.96967757127163,,,,,,,,
2015-07-31,60,3,cross_industry_degree_percentile,RAW_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,0.0008692477029305003,409.0,283.0,409.0,283.0,0.005410283096742954,0.006279530799673454,8.692477029305003,,,,,,,,
2015-07-31,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.005341142260150093,292.0,292.0,292.0,292.0,0.008539982565828507,0.0031988403056784137,-53.41142260150093,,,,,,,,
