factor_order,factor_name,method,window,turnover_month_count,mean_q1_target_turnover,mean_q5_target_turnover,mean_q1_drift_turnover,median_q1_drift_turnover,mean_q5_drift_turnover,median_q5_drift_turnover,mean_long_short_half_l1_turnover_sum,mean_roundtrip_traded_notional_ratio,annualized_q1_drift_turnover,annualized_q5_drift_turnover
1,residual_degree_percentile,RAW_COMMON,60,122,0.4436483942370612,0.3554952805004213,0.4599148321524386,0.4547639580794386,0.3729233525008236,0.3624652272609061,0.8328381846532622,1.6656763693065244,5.518977985829263,4.475080230009883
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,127,0.4417081350013661,0.4022479566341716,0.4635090417588511,0.4644098625314228,0.42132138858044743,0.4148620287105444,0.8848304303392984,1.7696608606785968,5.562108501106213,5.055856662965369
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,127,0.46008968536622374,0.4182962286985308,0.4806920345130057,0.477020287443555,0.43771650112776,0.42757454131849926,0.9184085356407655,1.836817071281531,5.768304414156068,5.25259801353312
2,delta_degree_percentile,RAW_COMMON,60,133,0.4284515304255005,0.45538045101435615,0.4450239979283643,0.4427254480927374,0.4734947435779332,0.46823847606506375,0.9185187415062974,1.8370374830125948,5.340287975140371,5.681936922935199
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,60,132,0.46522478863358246,0.4981572741833828,0.48153487275862705,0.48126406878442746,0.5182046619528825,0.5165768286387291,0.9997395347115097,1.9994790694230193,5.778418473103525,6.21845594343459
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,131,0.4896081411902494,0.5098743878039006,0.5062281943560024,0.5025376943254481,0.5277711823593392,0.5234872395231531,1.0339993767153415,2.067998753430683,6.0747383322720285,6.33325418831207
3,cross_industry_degree_percentile,RAW_COMMON,60,122,0.47998478470968975,0.38174403812291485,0.49361012984662006,0.49161651897587244,0.39800405882502976,0.3838504390808709,0.8916141886716498,1.7832283773432995,5.923321558159441,4.776048705900357
3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,127,0.48434797853963174,0.42293020045861884,0.5044698165182505,0.5053931885709675,0.4413926015285904,0.4344218647964538,0.945862418046841,1.891724836093682,6.053637798219006,5.296711218343084
3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,127,0.49866744649319156,0.43806994148792383,0.5175802956057688,0.5188166221369486,0.4569580867530065,0.4460401102197598,0.9745383823587752,1.9490767647175504,6.210963547269225,5.4834970410360775
4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,60,130,0.445019068370153,0.4152257679694258,0.4639864564624308,0.45460388730943474,0.43520278753885083,0.4279337930835082,0.8991892440012816,1.7983784880025633,5.56783747754917,5.22243345046621
4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,130,0.44861926047672057,0.4242956789703363,0.46718740403143333,0.4593019150978932,0.4441923669629354,0.4348407988500949,0.9113797709943688,1.8227595419887377,5.6062488483772,5.330308403555225
5,delta_residual_degree_percentile_1m,RAW_COMMON,60,131,0.8380608153986279,0.834857249698571,0.8435851306092734,0.8435127439305732,0.8404515255222713,0.8415436991580275,1.6840366561315447,3.3680733122630895,10.12302156731128,10.085418306267256
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,131,0.838639950306298,0.8351027189857061,0.8441770275725564,0.8442465755185656,0.8409393434732368,0.8437943574266528,1.6851163710457933,3.3702327420915865,10.130124330870677,10.091272121678841
5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,131,0.8388065714636267,0.8356530588167003,0.8446471725782333,0.8475726711701926,0.8412448707036702,0.8459965596527537,1.6858920432819036,3.371784086563807,10.1357660709388,10.094938448444042
6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,60,131,0.8544763134802196,0.853254147956667,0.8593507355210327,0.8583679195591125,0.8582268231814575,0.8580460174651968,1.7175775587024902,3.4351551174049804,10.312208826252393,10.29872187817749
