target,regime_type,sample_scope,factor_name,method,window,total_date_n,estimate_type,regime,estimate,hac_se,hac_t,regime_date_n,min_component_n,small_sample,p_nominal,q_bh
future_idio_vol_annualized,NETWORK,NATIVE,cross_industry_degree_percentile,RAW_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.01601918837443983,0.021685926531396543,-0.7386905213041048,65,32,False,0.460094942805723,0.6538191292502379
future_idio_vol_annualized,NETWORK,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,LOW,-0.11725877542878885,0.007220251332664665,-16.24026228814309,33,33,False,,
future_idio_vol_annualized,NETWORK,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,MEDIUM,-0.12425084945434278,0.014564763173305795,-8.530921373446631,35,35,False,,
future_idio_vol_annualized,NETWORK,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,HIGH,-0.12932761535620782,0.014714965934313453,-8.788849116845867,32,32,False,,
future_idio_vol_annualized,NETWORK,NATIVE,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.012068839927418973,0.016418473332634125,-0.7350768663387468,65,32,False,0.4622926822912158,0.5762943495365749
future_idio_vol_annualized,NETWORK,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,LOW,-0.0674589698571362,0.0057402535964725014,-11.751914566734659,33,33,False,,
future_idio_vol_annualized,NETWORK,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,MEDIUM,-0.07296414000406065,0.010405633824616898,-7.0119842033502415,35,35,False,,
future_idio_vol_annualized,NETWORK,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,HIGH,-0.07942828095714466,0.009108527839431554,-8.72021059355972,32,32,False,,
future_idio_vol_annualized,NETWORK,NATIVE,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.011969311100008456,0.010369075564816432,-1.1543276953850952,65,32,False,0.24836584610377427,0.4924533063660856
future_idio_vol_annualized,NETWORK,NATIVE,cross_industry_degree_ratio,RAW_COMMON,60,100,REGIME_MEAN,LOW,-0.036386624751680266,0.01279604079652907,-2.8435846157625684,33,33,False,,
