window,analysis_date_count,qa_pass_share,mean_community_count,min_community_count,max_community_count,mean_active_community_coverage,mean_within_community_edge_share,mean_outside_community_edge_share,mean_participation_coefficient,median_of_monthly_participation,mean_outside_community_degree_ratio,mean_external_community_count,max_degree_reconstruction_error,max_strength_reconstruction_error
60,138,1.0,13.557971014492754,7,100,1.0,0.741612166699032,0.2583878333009681,0.4101842257439013,0.46046875,0.30955276434019746,2.7536853644121884,0,1.52587890625e-05
120,135,1.0,16.85925925925926,7,64,1.0,0.775495373776834,0.22450462622316586,0.348294029134383,0.36589824221060807,0.2612868551098148,2.2290440713229684,0,1.5169382095336914e-05
252,129,1.0,20.565891472868216,10,51,1.0,0.8092138950785216,0.19078610492147835,0.26493112469563984,0.24489795918367352,0.19592403037469058,1.63419676482255,0,1.5228986740112305e-05
