target_name,target_role,description
future_excess_return,PRIMARY_ALPHA,Future stock holding-period return minus future leave-one-out equal-weight market holding-period return.
future_total_return,ROBUSTNESS_TOTAL_RETURN,Future stock holding-period total return.
