design,n_R3,n_R4,alpha,D_observed,critical_value_95,bootstrap_pvalue,reject_H0
Full R3 vs R4,181,61,0.04439426559183951,0.0023482846981336377,0.0030731313565694864,0.272,False
Equal-length late R3 vs R4,61,61,0.04439426559183951,0.003917219648358443,0.005385826225762888,0.427,False
