analysis,alpha,bootstrap_id,D_star,success,convergence_warning
equal_length_R3late_vs_R4,0.04439426559183951,1,0.004166405448219442,True,False
equal_length_R3late_vs_R4,0.04439426559183951,2,0.003914191314971553,True,False
equal_length_R3late_vs_R4,0.04439426559183951,3,0.0031688975053543664,True,False
equal_length_R3late_vs_R4,0.04439426559183951,4,0.003047687864559933,True,False
equal_length_R3late_vs_R4,0.04439426559183951,5,0.0028275101502468797,True,False
equal_length_R3late_vs_R4,0.04439426559183951,6,0.0025056422160144717,True,False
equal_length_R3late_vs_R4,0.04439426559183951,7,0.0035987787999605027,True,False
equal_length_R3late_vs_R4,0.04439426559183951,8,0.003261473212982396,True,False
equal_length_R3late_vs_R4,0.04439426559183951,9,0.00450378819818523,True,False
equal_length_R3late_vs_R4,0.04439426559183951,10,0.0035592531430475205,True,False
equal_length_R3late_vs_R4,0.04439426559183951,11,0.004342474004002277,True,False
equal_length_R3late_vs_R4,0.04439426559183951,12,0.004331454271968791,True,False
equal_length_R3late_vs_R4,0.04439426559183951,13,0.003605866211341569,True,False
equal_length_R3late_vs_R4,0.04439426559183951,14,0.004602043843327903,True,False
equal_length_R3late_vs_R4,0.04439426559183951,15,0.0046435278705018275,True,False
equal_length_R3late_vs_R4,0.04439426559183951,16,0.003612624690917949,True,False
equal_length_R3late_vs_R4,0.04439426559183951,17,0.003974529673778914,True,False
equal_length_R3late_vs_R4,0.04439426559183951,18,0.00439673395471724,True,False
equal_length_R3late_vs_R4,0.04439426559183951,19,0.003671574111703975,True,False
equal_length_R3late_vs_R4,0.04439426559183951,20,0.0022218128682178354,True,False
equal_length_R3late_vs_R4,0.04439426559183951,21,0.003040036309491246,True,False
equal_length_R3late_vs_R4,0.04439426559183951,22,0.004023820319742256,True,False
equal_length_R3late_vs_R4,0.04439426559183951,23,0.0033710640504184203,True,False
equal_length_R3late_vs_R4,0.04439426559183951,24,0.0029988923298675373,True,False
equal_length_R3late_vs_R4,0.04439426559183951,25,0.004121628315531485,True,False
equal_length_R3late_vs_R4,0.04439426559183951,26,0.00354724804488641,True,False
equal_length_R3late_vs_R4,0.04439426559183951,27,0.0025760522217757515,True,False
equal_length_R3late_vs_R4,0.04439426559183951,28,0.003013645174153644,True,False
equal_length_R3late_vs_R4,0.04439426559183951,29,0.0026471985879915018,True,False
equal_length_R3late_vs_R4,0.04439426559183951,30,0.003361158440496238,True,False
equal_length_R3late_vs_R4,0.04439426559183951,31,0.003657922763337795,True,False
equal_length_R3late_vs_R4,0.04439426559183951,32,0.003986792083603456,True,False
equal_length_R3late_vs_R4,0.04439426559183951,33,0.0035470705146831865,True,False
equal_length_R3late_vs_R4,0.04439426559183951,34,0.0031087260897125785,True,False
equal_length_R3late_vs_R4,0.04439426559183951,35,0.0034466305677655737,True,False
equal_length_R3late_vs_R4,0.04439426559183951,36,0.0038643991891753,True,False
equal_length_R3late_vs_R4,0.04439426559183951,37,0.004557875281330111,True,False
equal_length_R3late_vs_R4,0.04439426559183951,38,0.005071149516461627,True,False
equal_length_R3late_vs_R4,0.04439426559183951,39,0.0037521101686999337,True,False
equal_length_R3late_vs_R4,0.04439426559183951,40,0.005315672482631471,True,False
equal_length_R3late_vs_R4,0.04439426559183951,41,0.0031676364439081,True,False
equal_length_R3late_vs_R4,0.04439426559183951,42,0.003422370125119828,True,False
equal_length_R3late_vs_R4,0.04439426559183951,43,0.005556273963013706,True,False
equal_length_R3late_vs_R4,0.04439426559183951,44,0.003555160413958656,True,False
equal_length_R3late_vs_R4,0.04439426559183951,45,0.004898424626119624,True,False
equal_length_R3late_vs_R4,0.04439426559183951,46,0.002375875826125703,True,False
equal_length_R3late_vs_R4,0.04439426559183951,47,0.0038752754530811256,True,False
equal_length_R3late_vs_R4,0.04439426559183951,48,0.003202219674287095,True,False
equal_length_R3late_vs_R4,0.04439426559183951,49,0.0028274819878769206,True,False
equal_length_R3late_vs_R4,0.04439426559183951,50,0.0037314132468593366,True,False
equal_length_R3late_vs_R4,0.04439426559183951,51,0.003672400742340854,True,False
equal_length_R3late_vs_R4,0.04439426559183951,52,0.004203267587488378,True,False
equal_length_R3late_vs_R4,0.04439426559183951,53,0.003396217894650007,True,False
equal_length_R3late_vs_R4,0.04439426559183951,54,0.0028027836778036276,True,False
equal_length_R3late_vs_R4,0.04439426559183951,55,0.004773860747394152,True,False
equal_length_R3late_vs_R4,0.04439426559183951,56,0.005398693451655232,True,False
equal_length_R3late_vs_R4,0.04439426559183951,57,0.0025230368488439302,True,False
equal_length_R3late_vs_R4,0.04439426559183951,58,0.0032253391147558453,True,False
equal_length_R3late_vs_R4,0.04439426559183951,59,0.004142437003488411,True,False
equal_length_R3late_vs_R4,0.04439426559183951,60,0.0052929960211732735,True,False
equal_length_R3late_vs_R4,0.04439426559183951,61,0.004017413100721036,True,False
equal_length_R3late_vs_R4,0.04439426559183951,62,0.0030849932076004545,True,False
equal_length_R3late_vs_R4,0.04439426559183951,63,0.003569751153904017,True,False
equal_length_R3late_vs_R4,0.04439426559183951,64,0.004584847317066229,True,False
equal_length_R3late_vs_R4,0.04439426559183951,65,0.004221403767854836,True,False
equal_length_R3late_vs_R4,0.04439426559183951,66,0.004190309253500231,True,False
equal_length_R3late_vs_R4,0.04439426559183951,67,0.004740706722107961,True,False
equal_length_R3late_vs_R4,0.04439426559183951,68,0.0032745696519208838,True,False
equal_length_R3late_vs_R4,0.04439426559183951,69,0.003927014986385184,True,False
equal_length_R3late_vs_R4,0.04439426559183951,70,0.0054730941905335746,True,False
equal_length_R3late_vs_R4,0.04439426559183951,71,0.003776302195589943,True,False
equal_length_R3late_vs_R4,0.04439426559183951,72,0.004464143974724527,True,False
equal_length_R3late_vs_R4,0.04439426559183951,73,0.0033088017440367815,True,False
equal_length_R3late_vs_R4,0.04439426559183951,74,0.003156970882774376,True,False
equal_length_R3late_vs_R4,0.04439426559183951,75,0.0026788505546702784,True,False
equal_length_R3late_vs_R4,0.04439426559183951,76,0.0040120849180844366,True,False
equal_length_R3late_vs_R4,0.04439426559183951,77,0.0040456386862406,True,False
equal_length_R3late_vs_R4,0.04439426559183951,78,0.002669875783332615,True,False
equal_length_R3late_vs_R4,0.04439426559183951,79,0.004208732963831527,True,False
equal_length_R3late_vs_R4,0.04439426559183951,80,0.0033430225063836184,True,False
equal_length_R3late_vs_R4,0.04439426559183951,81,0.003994642091075886,True,False
equal_length_R3late_vs_R4,0.04439426559183951,82,0.0031059448976222806,True,False
equal_length_R3late_vs_R4,0.04439426559183951,83,0.005678895142526218,True,False
equal_length_R3late_vs_R4,0.04439426559183951,84,0.0024453754752695248,True,False
equal_length_R3late_vs_R4,0.04439426559183951,85,0.0032326213614995206,True,False
equal_length_R3late_vs_R4,0.04439426559183951,86,0.0036506966175426825,True,False
equal_length_R3late_vs_R4,0.04439426559183951,87,0.0038448772669745146,True,False
equal_length_R3late_vs_R4,0.04439426559183951,88,0.004939331266849127,True,False
equal_length_R3late_vs_R4,0.04439426559183951,89,0.003990126533039122,True,False
equal_length_R3late_vs_R4,0.04439426559183951,90,0.0032917815756647113,True,False
equal_length_R3late_vs_R4,0.04439426559183951,91,0.004434493490285502,True,False
equal_length_R3late_vs_R4,0.04439426559183951,92,0.0057697913297714044,True,False
equal_length_R3late_vs_R4,0.04439426559183951,93,0.005663512220881973,True,False
equal_length_R3late_vs_R4,0.04439426559183951,94,0.003778610024915528,True,False
equal_length_R3late_vs_R4,0.04439426559183951,95,0.0030272989354908695,True,False
equal_length_R3late_vs_R4,0.04439426559183951,96,0.0042965497236171065,True,False
equal_length_R3late_vs_R4,0.04439426559183951,97,0.004184930182996624,True,False
equal_length_R3late_vs_R4,0.04439426559183951,98,0.00380689802779654,True,False
equal_length_R3late_vs_R4,0.04439426559183951,99,0.003164275495909204,True,False
equal_length_R3late_vs_R4,0.04439426559183951,100,0.0033237086250215006,True,False
equal_length_R3late_vs_R4,0.04439426559183951,101,0.00470652052740275,True,False
equal_length_R3late_vs_R4,0.04439426559183951,102,0.005040216326390247,True,False
equal_length_R3late_vs_R4,0.04439426559183951,103,0.005463582486616892,True,False
equal_length_R3late_vs_R4,0.04439426559183951,104,0.003146264819666622,True,False
equal_length_R3late_vs_R4,0.04439426559183951,105,0.004522425845163036,True,False
equal_length_R3late_vs_R4,0.04439426559183951,106,0.0030551837827928175,True,False
equal_length_R3late_vs_R4,0.04439426559183951,107,0.005505047141479141,True,False
equal_length_R3late_vs_R4,0.04439426559183951,108,0.004978295840259912,True,False
equal_length_R3late_vs_R4,0.04439426559183951,109,0.0030896631318516853,True,False
equal_length_R3late_vs_R4,0.04439426559183951,110,0.003007249947670952,True,False
equal_length_R3late_vs_R4,0.04439426559183951,111,0.002463804853579745,True,False
equal_length_R3late_vs_R4,0.04439426559183951,112,0.00371272422596182,True,False
equal_length_R3late_vs_R4,0.04439426559183951,113,0.0020820581671250615,True,False
equal_length_R3late_vs_R4,0.04439426559183951,114,0.0036025835092379685,True,False
equal_length_R3late_vs_R4,0.04439426559183951,115,0.003544312255283584,True,False
equal_length_R3late_vs_R4,0.04439426559183951,116,0.004748103809441514,True,False
equal_length_R3late_vs_R4,0.04439426559183951,117,0.004377736442631364,True,False
equal_length_R3late_vs_R4,0.04439426559183951,118,0.004660339453464781,True,False
equal_length_R3late_vs_R4,0.04439426559183951,119,0.003196877617899704,True,False
equal_length_R3late_vs_R4,0.04439426559183951,120,0.0038727706116885824,True,False
equal_length_R3late_vs_R4,0.04439426559183951,121,0.002907121754001521,True,False
equal_length_R3late_vs_R4,0.04439426559183951,122,0.0036124055829025266,True,False
equal_length_R3late_vs_R4,0.04439426559183951,123,0.0037280228331113404,True,False
equal_length_R3late_vs_R4,0.04439426559183951,124,0.002826067895384443,True,False
equal_length_R3late_vs_R4,0.04439426559183951,125,0.0035370193923050016,True,False
equal_length_R3late_vs_R4,0.04439426559183951,126,0.003430426208792002,True,False
equal_length_R3late_vs_R4,0.04439426559183951,127,0.004217835093283211,True,False
equal_length_R3late_vs_R4,0.04439426559183951,128,0.0038289347892832993,True,False
equal_length_R3late_vs_R4,0.04439426559183951,129,0.0034208416380561856,True,False
equal_length_R3late_vs_R4,0.04439426559183951,130,0.005103739999129608,True,False
equal_length_R3late_vs_R4,0.04439426559183951,131,0.004615569334718674,True,False
equal_length_R3late_vs_R4,0.04439426559183951,132,0.004273572827613423,True,False
equal_length_R3late_vs_R4,0.04439426559183951,133,0.0038667410364408837,True,False
equal_length_R3late_vs_R4,0.04439426559183951,134,0.0036571457696781373,True,False
equal_length_R3late_vs_R4,0.04439426559183951,135,0.002986069341494913,True,False
equal_length_R3late_vs_R4,0.04439426559183951,136,0.0022147796872962326,True,False
equal_length_R3late_vs_R4,0.04439426559183951,137,0.004505905211864333,True,False
equal_length_R3late_vs_R4,0.04439426559183951,138,0.003840798764417704,True,False
equal_length_R3late_vs_R4,0.04439426559183951,139,0.004534275818792691,True,False
equal_length_R3late_vs_R4,0.04439426559183951,140,0.004132061405824116,True,False
equal_length_R3late_vs_R4,0.04439426559183951,141,0.003650475185312807,True,False
equal_length_R3late_vs_R4,0.04439426559183951,142,0.005467966600834008,True,False
equal_length_R3late_vs_R4,0.04439426559183951,143,0.0027157041492236684,True,False
equal_length_R3late_vs_R4,0.04439426559183951,144,0.003350923338287378,True,False
equal_length_R3late_vs_R4,0.04439426559183951,145,0.006050251833500679,True,False
equal_length_R3late_vs_R4,0.04439426559183951,146,0.00428282663002386,True,False
equal_length_R3late_vs_R4,0.04439426559183951,147,0.005633878606555022,True,False
equal_length_R3late_vs_R4,0.04439426559183951,148,0.003943560645525601,True,False
equal_length_R3late_vs_R4,0.04439426559183951,149,0.003747388869656558,True,False
equal_length_R3late_vs_R4,0.04439426559183951,150,0.0034756128393474248,True,False
equal_length_R3late_vs_R4,0.04439426559183951,151,0.002633511642298896,True,False
equal_length_R3late_vs_R4,0.04439426559183951,152,0.0038973981824076335,True,False
equal_length_R3late_vs_R4,0.04439426559183951,153,0.0027785911589910603,True,False
equal_length_R3late_vs_R4,0.04439426559183951,154,0.0024314356847018256,True,False
equal_length_R3late_vs_R4,0.04439426559183951,155,0.004802939258367598,True,False
equal_length_R3late_vs_R4,0.04439426559183951,156,0.004447219063791407,True,False
equal_length_R3late_vs_R4,0.04439426559183951,157,0.0037103595875084042,True,False
equal_length_R3late_vs_R4,0.04439426559183951,158,0.0032873586077985014,True,False
equal_length_R3late_vs_R4,0.04439426559183951,159,0.003203155416585034,True,False
equal_length_R3late_vs_R4,0.04439426559183951,160,0.00302679536173691,True,False
equal_length_R3late_vs_R4,0.04439426559183951,161,0.00329213780031276,True,False
equal_length_R3late_vs_R4,0.04439426559183951,162,0.0038162166564883492,True,False
equal_length_R3late_vs_R4,0.04439426559183951,163,0.0038106931468896714,True,False
equal_length_R3late_vs_R4,0.04439426559183951,164,0.002859013284449627,True,False
equal_length_R3late_vs_R4,0.04439426559183951,165,0.0036958561020689253,True,False
equal_length_R3late_vs_R4,0.04439426559183951,166,0.00411117169574242,True,False
equal_length_R3late_vs_R4,0.04439426559183951,167,0.004011490216673735,True,False
equal_length_R3late_vs_R4,0.04439426559183951,168,0.0036541169267508386,True,False
equal_length_R3late_vs_R4,0.04439426559183951,169,0.0027347955433936065,True,False
equal_length_R3late_vs_R4,0.04439426559183951,170,0.0045295388700011055,True,False
equal_length_R3late_vs_R4,0.04439426559183951,171,0.004624275438014759,True,False
equal_length_R3late_vs_R4,0.04439426559183951,172,0.0033180414455083445,True,False
equal_length_R3late_vs_R4,0.04439426559183951,173,0.0044486918868983155,True,False
equal_length_R3late_vs_R4,0.04439426559183951,174,0.0036858006796472386,True,False
equal_length_R3late_vs_R4,0.04439426559183951,175,0.003796478691537146,True,False
equal_length_R3late_vs_R4,0.04439426559183951,176,0.004768461119394263,True,False
