factor_order,factor_name,neutralization,window,full_sample_alpha_ic,full_sample_alpha_spread,full_sample_alpha_spread_bps,full_sample_mean_risk_ic,full_sample_ivol_ic,alpha_ic_overall_same_sign_share,alpha_ic_time_same_sign_share,alpha_ic_trend_same_sign_share,alpha_ic_vol_same_sign_share,alpha_ic_joint_same_sign_share,alpha_ic_mean_abs_retention,alpha_spread_overall_same_sign_share,alpha_spread_time_same_sign_share,alpha_spread_trend_same_sign_share,alpha_spread_vol_same_sign_share,alpha_spread_joint_same_sign_share,alpha_spread_mean_abs_retention,risk_ic_overall_same_sign_share,risk_ic_time_same_sign_share,risk_ic_trend_same_sign_share,risk_ic_vol_same_sign_share,risk_ic_joint_same_sign_share,risk_ic_mean_abs_retention,ivol_ic_overall_same_sign_share,ivol_ic_time_same_sign_share,ivol_ic_trend_same_sign_share,ivol_ic_vol_same_sign_share,ivol_ic_joint_same_sign_share,ivol_ic_mean_abs_retention,factor_sign_flipped,window_selected_from_regime_results,factor_removed_from_regime_results
2,delta_degree_percentile,RAW,252,-0.038938242958748606,-0.009604879042159713,-96.04879042159713,0.06248203904307742,0.14241775291260006,1.0,1.0,1.0,1.0,1.0,1.0042881770570877,0.9090909090909091,1.0,1.0,1.0,0.75,1.0280218836266772,0.9090909090909091,0.75,1.0,1.0,0.9375,1.281706045187966,1.0,1.0,1.0,1.0,1.0,1.0071499300669091,False,False,False
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,0.010895633136833865,0.0017198793172880226,17.198793172880226,-0.07789139775594071,-0.10523913293194793,0.8181818181818182,0.6666666666666666,1.0,1.0,0.75,1.2346174491918038,0.7272727272727273,0.6666666666666666,1.0,0.5,0.75,1.4924137967528615,0.9772727272727273,0.9166666666666666,1.0,1.0,1.0,0.9994313606373844,1.0,1.0,1.0,1.0,1.0,1.0042750598465016,False,False,False
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,0.012252619080596284,0.0020926856413408116,20.926856413408117,-0.07061165567092928,-0.09437211978869849,0.9090909090909091,1.0,1.0,1.0,0.75,1.0657510403520645,0.8181818181818182,1.0,1.0,1.0,0.5,1.3102972956566639,1.0,1.0,1.0,1.0,1.0,0.9734432766609971,1.0,1.0,1.0,1.0,1.0,0.9937403715583507,False,False,False
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,0.013558925727669242,0.0023797495837894647,23.797495837894648,-0.058785201616530974,-0.0771316578292301,1.0,1.0,1.0,1.0,1.0,0.9042102275383715,0.8181818181818182,1.0,1.0,1.0,0.5,1.1706022904899411,0.9772727272727273,0.9166666666666666,1.0,1.0,1.0,0.9824976976667216,1.0,1.0,1.0,1.0,1.0,0.9968594118541642,False,False,False
3,cross_industry_degree_percentile,RAW,60,0.006189659816330623,-0.0014100165243722059,-14.100165243722058,-0.11342113301193447,-0.12169462408798731,0.8181818181818182,0.6666666666666666,1.0,1.0,0.75,1.8336644604569985,0.7272727272727273,0.6666666666666666,1.0,1.0,0.5,1.7662534691547462,1.0,1.0,1.0,1.0,1.0,0.9897225480866002,1.0,1.0,1.0,1.0,1.0,1.0002329503877363,False,False,False
3,cross_industry_degree_percentile,RAW,120,0.002819980567671581,-0.0006481505838148665,-6.4815058381486645,-0.10701866384844122,-0.10211377648722861,0.6363636363636364,0.6666666666666666,0.5,1.0,0.5,,0.45454545454545453,0.3333333333333333,0.5,0.5,0.5,,1.0,1.0,1.0,1.0,1.0,0.9740695560888117,1.0,1.0,1.0,1.0,1.0,0.9918965042896857,False,False,False
3,cross_industry_degree_percentile,RAW,252,0.0038334242211345844,0.0007322952398276527,7.322952398276527,-0.09691812436303529,-0.07591521826512627,0.6363636363636364,0.6666666666666666,1.0,0.5,0.5,,0.5454545454545454,0.3333333333333333,0.5,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,0.9842186109635847,1.0,1.0,1.0,1.0,1.0,0.9912207572422068,False,False,False
4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,60,-0.0006697582336243495,-0.0006018546735576226,-6.018546735576226,0.000582007268697116,0.014900859496297913,0.6363636363636364,0.6666666666666666,0.5,0.5,0.75,,0.7272727272727273,0.6666666666666666,0.5,1.0,0.75,,0.6818181818181818,0.6666666666666666,0.625,0.75,0.6875,1.0826336636048612,0.9090909090909091,1.0,1.0,1.0,0.75,1.0826336636048612,False,False,False
4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,120,0.002341775778968675,-0.0009409394397754052,-9.409394397754053,-0.004392216112880857,0.006007457939851275,0.7272727272727273,0.6666666666666666,1.0,0.5,0.75,,0.9090909090909091,1.0,1.0,1.0,0.75,,0.8863636363636364,0.6666666666666666,1.0,1.0,0.9375,,0.8181818181818182,0.6666666666666666,1.0,1.0,0.75,,False,False,False
4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,252,0.0004447403411718875,-0.0022243241219928535,-22.243241219928535,-0.010609647112432724,-0.002236853740339342,0.6363636363636364,0.6666666666666666,0.5,0.5,0.75,,1.0,1.0,1.0,1.0,1.0,1.0352624918870286,0.7727272727272727,0.5833333333333334,0.875,1.0,0.75,1.1123065706368753,0.6363636363636364,0.3333333333333333,0.5,1.0,0.75,,False,False,False
