analysis_date,market_return_sum,market_valid_stock_count,unresolved_open_stock_count,suspension_zero_stock_count,panel_stock_count,market_holding_return_ew,market_trailing_return_60d,market_trailing_vol_60d,market_vol_threshold_pit,market_trend_regime,market_vol_regime,joint_market_regime,time_subsample
2015-04-30,11.704145271300007,2693,0,328,2693,0.004346136379985149,0.5360661052298077,0.2210705032674789,,BULL,,,P1_2015_2018
2015-05-29,33.40916359120428,2730,4,400,2734,0.01223778886124699,0.7863674055941683,0.2918321495097673,,BULL,,,P1_2015_2018
2015-06-30,124.62573780496467,2766,11,442,2777,0.04505630434018969,0.3271330571170835,0.4469661710836411,,BULL,,,P1_2015_2018
2015-07-31,-38.533763712986904,2781,0,505,2781,-0.013856081881692522,0.05308482933661201,0.6056334414855662,,BULL,,,P1_2015_2018
2015-08-31,-103.96804560473372,2781,0,500,2781,-0.03738512966729008,-0.382665356339127,0.6739069370248245,,BEAR,,,P1_2015_2018
2015-09-30,9.768983229254204,2781,0,432,2781,0.003512759161903705,-0.08307249525232385,0.6570836405940945,,BEAR,,,P1_2015_2018
2015-10-30,-2.2574681854348277,2781,0,396,2781,-0.0008117469203289564,-0.026178990456972667,0.5923187418039783,0.5584494274082138,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2015-11-30,25.813610320794428,2781,0,309,2781,0.009282132441853445,0.3232416899525776,0.4882026815783124,0.5708239053746055,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2015-12-31,-43.611121724304326,2802,7,266,2809,-0.015564283270629666,0.3723068105330627,0.3244080064924725,0.5319441920521053,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2016-01-29,109.33386500989822,2810,0,254,2810,0.0389088487579709,-0.16656720826282465,0.4619647046176006,0.46921902934023507,BEAR,LOW_VOL,BEAR_LOW_VOL,P1_2015_2018
2016-02-29,-168.13412895906234,2817,0,281,2817,-0.05968552678702958,-0.22877135778059932,0.48909733201290256,0.46559217536849185,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2016-03-31,13.33228241186185,2831,2,299,2833,0.004709389760459855,-0.168572340350375,0.5278901296450824,0.488879089779404,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P1_2015_2018
2016-04-29,0.07068277564757453,2843,1,317,2844,2.486203856756051e-05,0.21332257383560943,0.374173714122705,0.4889882108961533,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
