signal_type,factor_order,factor_name,neutralization,window,target_name,regime_type,regime_value,month_count,sufficient_regime_months,first_date,last_date,mean_q5_minus_q1,median_q5_minus_q1,std_q5_minus_q1,positive_share,negative_share,naive_se,naive_t_stat,calendar_hac_lag,calendar_hac_se,calendar_hac_t_stat,mean_portfolio_spearman,full_sample_q5_minus_q1,same_sign_as_full_sample,abs_retention_vs_full,mean_q5_minus_q1_bps
ALPHA_SPREAD,1,residual_degree_percentile,RAW,60,future_excess_return,ALL_SAMPLE,ALL,133,True,2015-04-30,2026-06-30,-0.0023083659135469522,-0.000414616473705,0.0360047609191915,0.48120300751879697,0.518796992481203,0.0031220087143363365,-0.7393848399419523,4,0.0026889938126428183,-0.8584496932249263,-0.0518796992481203,-0.0023083659135469522,True,1.0,-23.08365913546952
ALPHA_SPREAD,1,residual_degree_percentile,RAW,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.00799814771213576,-0.0014576478400417,0.038066543352652235,0.4666666666666667,0.5333333333333333,0.005674625240331543,-1.409458311941048,3,0.004496267151462882,-1.778841746432599,-0.0711111111111111,-0.0023083659135469522,True,3.464852632417403,-79.98147712135761
ALPHA_SPREAD,1,residual_degree_percentile,RAW,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.00417523006770478,-3.183069608105483e-05,0.03719779343470037,0.4931506849315068,0.5068493150684932,0.004353672416762026,-0.9590133726253205,3,0.0032255276325885798,-1.2944332038954,-0.07671232876712328,-0.0023083659135469522,True,1.8087383994027497,-41.752300677047806
ALPHA_SPREAD,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,0.0021115926784112168,0.00063027826957625,0.021527128863453083,0.5294117647058824,0.47058823529411764,0.001845936071131334,1.1439143052863514,4,0.0017223871024036233,1.2259687009177263,0.021323529411764703,0.0021115926784112168,True,1.0,21.11592678411217
ALPHA_SPREAD,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.0005734903842988956,-0.0016169000320397,0.018320527298723147,0.4666666666666667,0.5333333333333333,0.00273106296157237,-0.20998797624523338,3,0.0020846692632989754,-0.2750989782385676,-0.01333333333333336,0.0021115926784112168,False,0.27159138699533447,-5.734903842988956
ALPHA_SPREAD,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,0.0007083937378109791,0.0003668631370673,0.02103504359048068,0.5068493150684932,0.4931506849315068,0.0024619656331504726,0.28773502289082636,3,0.002136260200401886,0.33160461336952857,-0.021917808219178082,0.0021115926784112168,True,0.3354784021812301,7.08393737810979
ALPHA_SPREAD,2,delta_degree_percentile,RAW,60,future_excess_return,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.012462632493069937,-0.01016585165655325,0.027355109928528066,0.3014705882352941,0.6985294117647058,0.0023456813245801796,-5.313011772944241,4,0.0024623232088860406,-5.061330879754024,-0.30588235294117644,-0.012462632493069937,True,1.0,-124.62632493069937
ALPHA_SPREAD,2,delta_degree_percentile,RAW,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.013908529539686213,-0.008954254090001,0.030690071534044475,0.3111111111111111,0.6888888888888889,0.004575005745630313,-3.0401119283774785,3,0.0055233464443341825,-2.518134554813867,-0.30666666666666664,-0.012462632493069937,True,1.1160185897658694,-139.08529539686214
ALPHA_SPREAD,2,delta_degree_percentile,RAW,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.014574364163070888,-0.0130917869053164,0.02887374074502967,0.2602739726027397,0.7397260273972602,0.0033794157406419304,-4.3126875417531325,3,0.0031318786057315715,-4.6535533453942675,-0.35068493150684926,-0.012462632493069937,True,1.1694450727946295,-145.74364163070888
ALPHA_SPREAD,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.007880755617425605,-0.0077504810445746,0.014528463368931056,0.2867647058823529,0.7132352941176471,0.0012458054560332216,-6.325831677217708,4,0.0011498837256409937,-6.853523918718425,-0.31102941176470583,-0.007880755617425605,True,1.0,-78.80755617425605
ALPHA_SPREAD,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.010811591140866762,-0.0092652120050934,0.015167825054602091,0.2222222222222222,0.7777777777777778,0.002261085859527649,-4.781592479254791,3,0.0022292374791905213,-4.849905513338425,-0.4066666666666666,-0.007880755617425605,True,1.3718977805834522,-108.11591140866761
ALPHA_SPREAD,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.008947318267586523,-0.0082737145494813,0.015496677578950197,0.2465753424657534,0.7534246575342466,0.0018137489215688863,-4.933052288101225,3,0.0017856311610095887,-5.0107314785701575,-0.3438356164383562,-0.007880755617425605,True,1.1353376125257049,-89.47318267586523
ALPHA_SPREAD,3,cross_industry_degree_percentile,RAW,60,future_excess_return,ALL_SAMPLE,ALL,133,True,2015-04-30,2026-06-30,-0.0014100165243722059,-0.0009921528145004,0.03459165503143276,0.48120300751879697,0.518796992481203,0.002999476894009453,-0.4700874766491074,4,0.0026370970309103066,-0.534685113154702,-0.01729323308270676,-0.0014100165243722059,True,1.0,-14.100165243722058
ALPHA_SPREAD,3,cross_industry_degree_percentile,RAW,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.0076389994229594865,-0.0025966078531444,0.0341355030027033,0.4666666666666667,0.5333333333333333,0.005088620344012851,-1.5011926429031694,3,0.004164550202058711,-1.8342915926870589,-0.08222222222222224,-0.0014100165243722059,True,5.4176665953334595,-76.38999422959486
ALPHA_SPREAD,3,cross_industry_degree_percentile,RAW,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.0019692184433020535,0.0004348810750416,0.03495786189442366,0.5068493150684932,0.4931506849315068,0.004091508259647244,-0.4812940163713205,3,0.0031566738362599697,-0.6238270234580794,1.2166827667125003e-17,-0.0014100165243722059,True,1.3965924577932347,-19.692184433020536
ALPHA_SPREAD,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,0.0017198793172880226,0.0005444987637305797,0.01933760600381984,0.5,0.5,0.0016581860348491935,1.0372052840527268,4,0.0015753549168516022,1.0917408508333202,0.011029411764705876,0.0017198793172880226,True,1.0,17.198793172880226
ALPHA_SPREAD,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.0010833490641231937,-0.0016235401135694,0.01853088309661616,0.4444444444444444,0.5555555555555556,0.0027624209524757023,-0.3921737790007306,3,0.002239479489058363,-0.48375038459437325,-0.03555555555555557,0.0017198793172880226,False,0.6298983034643755,-10.833490641231936
ALPHA_SPREAD,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,0.0010149691044218706,-8.292235538174056e-05,0.01883337486896617,0.4931506849315068,0.5068493150684932,0.002204279800238576,0.4604538427072722,3,0.0019330535491451186,0.5250600040907996,-0.005479452054794542,0.0017198793172880226,True,0.5901397233047236,10.149691044218706
ALPHA_SPREAD,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.0006018546735576226,-0.00063519776122695,0.01478343129517669,0.4852941176470588,0.5147058823529411,0.0012676687753371445,-0.47477281547583716,4,0.0009833184583244435,-0.6120648590113643,-0.023529411764705896,-0.0006018546735576226,True,,-6.018546735576226
ALPHA_SPREAD,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,0.00014628578924909556,-0.0007232679642609,0.011673386473797644,0.4666666666666667,0.5333333333333333,0.00174016571220254,0.08406428664999992,3,0.001543486285723742,0.09477621576695905,-0.07333333333333333,-0.0006018546735576226,False,,1.4628578924909557
ALPHA_SPREAD,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,0.0002447373595431752,0.0007241906210305,0.01426747582450998,0.5205479452054794,0.4794520547945205,0.0016698817380937068,0.1465596957917277,3,0.0013788280755969839,0.17749664651788627,0.04794520547945205,-0.0006018546735576226,False,,2.447373595431752
