analysis_date,regime_type,regime_value
2017-03-31,JOINT_MARKET_REGIME,BULL_LOW_VOL
2017-04-28,ALL_SAMPLE,ALL
2017-04-28,TIME_SUBSAMPLE,P1_2015_2018
2017-04-28,MARKET_TREND,BULL
2017-04-28,MARKET_VOL,LOW_VOL
2017-04-28,JOINT_MARKET_REGIME,BULL_LOW_VOL
2017-05-31,ALL_SAMPLE,ALL
2017-05-31,TIME_SUBSAMPLE,P1_2015_2018
2017-05-31,MARKET_TREND,BEAR
2017-05-31,MARKET_VOL,LOW_VOL
2017-05-31,JOINT_MARKET_REGIME,BEAR_LOW_VOL
2017-06-30,ALL_SAMPLE,ALL
2017-06-30,TIME_SUBSAMPLE,P1_2015_2018
2017-06-30,MARKET_TREND,BEAR
2017-06-30,MARKET_VOL,HIGH_VOL
2017-06-30,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2017-07-31,ALL_SAMPLE,ALL
2017-07-31,TIME_SUBSAMPLE,P1_2015_2018
2017-07-31,MARKET_TREND,BEAR
2017-07-31,MARKET_VOL,HIGH_VOL
2017-07-31,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2017-08-31,ALL_SAMPLE,ALL
2017-08-31,TIME_SUBSAMPLE,P1_2015_2018
2017-08-31,MARKET_TREND,BULL
2017-08-31,MARKET_VOL,LOW_VOL
2017-08-31,JOINT_MARKET_REGIME,BULL_LOW_VOL
2017-09-29,ALL_SAMPLE,ALL
2017-09-29,TIME_SUBSAMPLE,P1_2015_2018
2017-09-29,MARKET_TREND,BULL
2017-09-29,MARKET_VOL,LOW_VOL
2017-09-29,JOINT_MARKET_REGIME,BULL_LOW_VOL
2017-10-31,ALL_SAMPLE,ALL
2017-10-31,TIME_SUBSAMPLE,P1_2015_2018
2017-10-31,MARKET_TREND,BULL
2017-10-31,MARKET_VOL,LOW_VOL
2017-10-31,JOINT_MARKET_REGIME,BULL_LOW_VOL
2017-11-30,ALL_SAMPLE,ALL
2017-11-30,TIME_SUBSAMPLE,P1_2015_2018
2017-11-30,MARKET_TREND,BEAR
2017-11-30,MARKET_VOL,LOW_VOL
2017-11-30,JOINT_MARKET_REGIME,BEAR_LOW_VOL
2017-12-29,ALL_SAMPLE,ALL
2017-12-29,TIME_SUBSAMPLE,P1_2015_2018
2017-12-29,MARKET_TREND,BEAR
2017-12-29,MARKET_VOL,HIGH_VOL
2017-12-29,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2018-01-31,ALL_SAMPLE,ALL
2018-01-31,TIME_SUBSAMPLE,P1_2015_2018
2018-01-31,MARKET_TREND,BEAR
2018-01-31,MARKET_VOL,LOW_VOL
2018-01-31,JOINT_MARKET_REGIME,BEAR_LOW_VOL
2018-02-28,ALL_SAMPLE,ALL
2018-02-28,TIME_SUBSAMPLE,P1_2015_2018
2018-02-28,MARKET_TREND,BEAR
2018-02-28,MARKET_VOL,HIGH_VOL
2018-02-28,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2018-03-30,ALL_SAMPLE,ALL
2018-03-30,TIME_SUBSAMPLE,P1_2015_2018
2018-03-30,MARKET_TREND,BEAR
2018-03-30,MARKET_VOL,HIGH_VOL
2018-03-30,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2018-04-27,ALL_SAMPLE,ALL
2018-04-27,TIME_SUBSAMPLE,P1_2015_2018
2018-04-27,MARKET_TREND,BEAR
2018-04-27,MARKET_VOL,HIGH_VOL
2018-04-27,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2018-05-31,ALL_SAMPLE,ALL
2018-05-31,TIME_SUBSAMPLE,P1_2015_2018
2018-05-31,MARKET_TREND,BEAR
2018-05-31,MARKET_VOL,HIGH_VOL
2018-05-31,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2018-06-29,ALL_SAMPLE,ALL
2018-06-29,TIME_SUBSAMPLE,P1_2015_2018
2018-06-29,MARKET_TREND,BEAR
2018-06-29,MARKET_VOL,HIGH_VOL
2018-06-29,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2018-07-31,ALL_SAMPLE,ALL
2018-07-31,TIME_SUBSAMPLE,P1_2015_2018
2018-07-31,MARKET_TREND,BEAR
2018-07-31,MARKET_VOL,HIGH_VOL
2018-07-31,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2018-08-31,ALL_SAMPLE,ALL
2018-08-31,TIME_SUBSAMPLE,P1_2015_2018
2018-08-31,MARKET_TREND,BEAR
2018-08-31,MARKET_VOL,HIGH_VOL
2018-08-31,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2018-09-28,ALL_SAMPLE,ALL
2018-09-28,TIME_SUBSAMPLE,P1_2015_2018
2018-09-28,MARKET_TREND,BEAR
2018-09-28,MARKET_VOL,LOW_VOL
2018-09-28,JOINT_MARKET_REGIME,BEAR_LOW_VOL
2018-10-31,ALL_SAMPLE,ALL
2018-10-31,TIME_SUBSAMPLE,P1_2015_2018
2018-10-31,MARKET_TREND,BEAR
2018-10-31,MARKET_VOL,HIGH_VOL
2018-10-31,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2018-11-30,ALL_SAMPLE,ALL
2018-11-30,TIME_SUBSAMPLE,P1_2015_2018
2018-11-30,MARKET_TREND,BEAR
2018-11-30,MARKET_VOL,HIGH_VOL
2018-11-30,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2018-12-28,ALL_SAMPLE,ALL
2018-12-28,TIME_SUBSAMPLE,P1_2015_2018
2018-12-28,MARKET_TREND,BEAR
2018-12-28,MARKET_VOL,HIGH_VOL
2018-12-28,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2019-01-31,ALL_SAMPLE,ALL
2019-01-31,TIME_SUBSAMPLE,P2_2019_2022
2019-01-31,MARKET_TREND,BEAR
2019-01-31,MARKET_VOL,LOW_VOL
2019-01-31,JOINT_MARKET_REGIME,BEAR_LOW_VOL
