signal_type,factor_order,factor_name,neutralization,window,target_name,regime_type,regime_value,month_count,sufficient_regime_months,first_date,last_date,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_share,negative_share,naive_se,naive_t_stat,calendar_hac_lag,calendar_hac_se,calendar_hac_t_stat,mean_pair_n,full_sample_alpha_ic,same_sign_as_full_sample,abs_retention_vs_full
ALPHA_IC,1,residual_degree_percentile,RAW,60,future_excess_return,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,0.001589046715305569,0.00015027825569360008,0.1027812297557128,0.5,0.5,0.008813417741155937,0.1802985813193912,4,0.007857825356032702,0.20222474327271822,3885.051470588235,0.001589046715305569,True,
ALPHA_IC,1,residual_degree_percentile,RAW,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.021061779751283722,-0.0132904434175682,0.10516494996240275,0.4222222222222222,0.5777777777777777,0.015677065131086434,-1.343477211784992,3,0.013228176428841783,-1.5921907199061922,2586.0,0.001589046715305569,False,
ALPHA_IC,1,residual_degree_percentile,RAW,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.00021731673732875182,0.0018114861004227,0.11061976701938675,0.5068493150684932,0.4931506849315068,0.012947064434517715,-0.016785020143204918,3,0.010341055780285357,-0.021014946824197002,3936.8082191780823,0.001589046715305569,False,
ALPHA_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,0.011060502327838794,0.00989267927941315,0.06923260547880022,0.5808823529411765,0.41911764705882354,0.005936646942671871,1.8630891199436663,4,0.00638653576524598,1.7318469252184316,3885.051470588235,0.011060502327838794,True,1.0
ALPHA_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.00897571040833721,-0.0172858893928699,0.06571312685933756,0.4666666666666667,0.5333333333333333,0.009795934578103068,-0.9162689212319455,3,0.008458132226716455,-1.061192964090334,2586.0,0.011060502327838794,False,0.81151019567581
ALPHA_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,0.010308377534477884,0.0109985545987982,0.07449696253657156,0.5616438356164384,0.4383561643835616,0.008719209957907497,1.182260501151158,3,0.008605216789423142,1.1979218870055817,3936.8082191780823,0.011060502327838794,True,0.9319990384642979
ALPHA_IC,2,delta_degree_percentile,RAW,60,future_excess_return,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.05077493534682359,-0.048310800047408245,0.09558833680809753,0.3088235294117647,0.6911764705882353,0.008196632259357163,-6.194609412769448,4,0.007863647394631353,-6.456919136721276,3885.051470588235,-0.05077493534682359,True,1.0
ALPHA_IC,2,delta_degree_percentile,RAW,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.05269855601411393,-0.0478246823465019,0.09835138882451963,0.28888888888888886,0.7111111111111111,0.014661359406209268,-3.594384023612124,3,0.017135251567798,-3.0754468824460957,2586.0,-0.05077493534682359,True,1.0378852410968296
ALPHA_IC,2,delta_degree_percentile,RAW,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.05727001663596614,-0.0612643254360946,0.09772529414796854,0.2876712328767123,0.7123287671232876,0.011437880537157545,-5.007047979729857,3,0.00965415259100043,-5.9321640191758584,3936.8082191780823,-0.05077493534682359,True,1.1279190459776502
ALPHA_IC,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.03998431936279568,-0.0388253086881854,0.04240198965505581,0.19852941176470587,0.8014705882352942,0.003635940616534684,-10.99696710693357,4,0.003504173341610949,-11.410485573871174,3885.051470588235,-0.03998431936279568,True,1.0
ALPHA_IC,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.049919135905401923,-0.0533581640855815,0.04582691528270879,0.17777777777777778,0.8222222222222222,0.006831473184750723,-7.307228551644157,3,0.00660686189642352,-7.555649972405894,2586.0,-0.03998431936279568,True,1.248467816907503
ALPHA_IC,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_excess_return,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.043486336592514135,-0.0390653243952798,0.043503794033254314,0.1780821917808219,0.821917808219178,0.0050917339610362655,-8.540575160699055,3,0.005221294869068717,-8.328649824036939,3936.8082191780823,-0.03998431936279568,True,1.0875847653662196
ALPHA_IC,3,cross_industry_degree_percentile,RAW,60,future_excess_return,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,0.006189659816330623,0.0058585087302818,0.10125315038922544,0.5147058823529411,0.4852941176470588,0.008682386016486915,0.712898482580379,4,0.00833152030688618,0.742920810168912,3885.051470588235,0.006189659816330623,True,1.0
ALPHA_IC,3,cross_industry_degree_percentile,RAW,60,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.019963522121879483,-0.0224919095616363,0.09813967647396989,0.4222222222222222,0.5777777777777777,0.014629799192375567,-1.3645793670417312,3,0.013296622561587632,-1.5013979700041824,2586.0,0.006189659816330623,False,3.2253019898134454
