scope,portfolio_scope,factor_name,method,window,strategy_nav_cny,liquidity_basis,rebalance_n,mean_total_abs_trade_weight,median_total_abs_trade_weight,mean_total_trade_value_cny,median_total_trade_value_cny,mean_cash_redeployment_weight,median_cash_redeployment_weight,mean_current_closed_trade_value_share,median_current_closed_trade_value_share,mean_unknown_liquidity_trade_value_share,median_unknown_liquidity_trade_value_share,mean_participation_weighted_p50,median_participation_weighted_p50,mean_participation_weighted_p90,median_participation_weighted_p90,mean_participation_weighted_p95,median_participation_weighted_p95,mean_participation_weighted_p99,median_participation_weighted_p99,mean_over_1pct_name_share_evaluable,median_over_1pct_name_share_evaluable,mean_over_1pct_trade_value_share_evaluable,median_over_1pct_trade_value_share_evaluable,mean_over_1pct_trade_value_share_total,median_over_1pct_trade_value_share_total,mean_executable_trade_value_share_at_1pct,median_executable_trade_value_share_at_1pct,mean_unexecuted_trade_value_share_at_1pct,median_unexecuted_trade_value_share_at_1pct,mean_over_5pct_name_share_evaluable,median_over_5pct_name_share_evaluable,mean_over_5pct_trade_value_share_evaluable,median_over_5pct_trade_value_share_evaluable,mean_over_5pct_trade_value_share_total,median_over_5pct_trade_value_share_total,mean_executable_trade_value_share_at_5pct,median_executable_trade_value_share_at_5pct,mean_unexecuted_trade_value_share_at_5pct,median_unexecuted_trade_value_share_at_5pct,mean_over_10pct_name_share_evaluable,median_over_10pct_name_share_evaluable,mean_over_10pct_trade_value_share_evaluable,median_over_10pct_trade_value_share_evaluable,mean_over_10pct_trade_value_share_total,median_over_10pct_trade_value_share_total,mean_executable_trade_value_share_at_10pct,median_executable_trade_value_share_at_10pct,mean_unexecuted_trade_value_share_at_10pct,median_unexecuted_trade_value_share_at_10pct
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100000000.0,ADV20,134,1.0281524602868837,1.0391533805702118,102815246.02868837,103915338.05702117,0.00010252098348795518,0.0,0.012357884193045158,0.005153774967545679,0.0,0.0,0.001743021722837465,0.0015040903093756107,0.006332158016287424,0.005330243840933865,inf,0.00807608294294392,inf,0.023962372728864603,0.03843420907786276,0.027457378867672556,0.05303183431722215,0.03804689897303359,0.05303183431722215,0.03804689897303359,0.9757296904704086,0.9822494744033925,0.024270309529591458,0.017750525596607447,0.010468586019894954,0.004230130554283097,0.01272294217763576,0.0058652848598131704,0.01272294217763576,0.0058652848598131704,0.9875480839155943,0.9948245707367032,0.012451916084405676,0.005175429263296838,0.010249327592277462,0.0036085246639425235,0.012402486491144797,0.005153774967545679,0.012402486491144797,0.005153774967545679,0.9876207939258748,0.9948462250324543,0.012379206074125324,0.0051537749675456546
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,100000000.0,ADV60,134,1.0281524602868837,1.0391533805702118,102815246.02868837,103915338.05702117,0.00010252098348795518,0.0,0.012357884193045158,0.005153774967545679,0.0,0.0,0.0016344514113733946,0.0013951190438643915,0.005547193823233377,0.004796502260871186,inf,0.006958373380183564,inf,0.01990530926175945,0.0309085814509215,0.022506488797831504,0.04238966673185235,0.0300131405293087,0.04238966673185235,0.0300131405293087,0.9794782311238293,0.9868570190946051,0.020521768876170982,0.013142980905394952,0.010346442041282811,0.004169099655210767,0.012555765458204242,0.005641836922737992,0.012555765458204242,0.005641836922737992,0.9875966337733663,0.9948462250324543,0.012403366226633931,0.0051537749675456546,0.010219488662864326,0.0036085246639425235,0.012368392685732744,0.005153774967545679,0.012368392685732744,0.005153774967545679,0.9876406529977457,0.9948462250324543,0.012359347002254406,0.0051537749675456546
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,500000000.0,ADV20,134,1.0281524602868837,1.0391533805702118,514076230.143442,519576690.2851058,0.00010252098348795518,0.0,0.012357884193045158,0.005153774967545679,0.0,0.0,0.008715108614187325,0.007520451546878054,0.031660790081437115,0.026651219204669327,inf,0.04038041471471959,inf,0.119811863644323,0.28292798669042907,0.2732691978272762,0.40372368922811114,0.39897779085479596,0.40372368922811114,0.39897779085479596,0.8032398433894025,0.813383237128971,0.19676015661059743,0.18661676287102902,0.03843420907786276,0.027457378867672556,0.053031834317222144,0.03804689897303359,0.053031834317222144,0.03804689897303359,0.9757296904704086,0.9822494744033924,0.024270309529591458,0.017750525596607614,0.01511329130855925,0.008822513543908797,0.019433564209330557,0.012661281557589684,0.019433564209330557,0.012661281557589684,0.9859187183833725,0.9927686070101831,0.014081281616627616,0.007231392989816843
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,500000000.0,ADV60,134,1.0281524602868837,1.0391533805702118,514076230.143442,519576690.2851058,0.00010252098348795518,0.0,0.012357884193045158,0.005153774967545679,0.0,0.0,0.008172257056866972,0.0069755952193219575,0.027735969116166884,0.02398251130435593,inf,0.03479186690091782,inf,0.09952654630879726,0.2657215162802964,0.24935223521995709,0.3809167339612329,0.36761843504993813,0.3809167339612329,0.36761843504993813,0.8229341813933094,0.8402315114048453,0.17706581860669054,0.15976848859515463,0.0309085814509215,0.022506488797831504,0.042389666731852356,0.030013140529308698,0.042389666731852356,0.030013140529308698,0.9794782311238291,0.9868570190946051,0.02052176887617098,0.013142980905394952,0.012881711066199522,0.007795145099390101,0.016262039901276837,0.0098551795683764,0.016262039901276837,0.0098551795683764,0.986712382798599,0.993793935535743,0.01328761720140117,0.006206064464257033
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,1000000000.0,ADV20,134,1.0281524602868837,1.0391533805702118,1028152460.286884,1039153380.5702116,0.00010252098348795518,0.0,0.012357884193045158,0.005153774967545679,0.0,0.0,0.01743021722837465,0.015040903093756108,0.06332158016287423,0.053302438409338654,inf,0.08076082942943918,inf,0.239623727288646,0.4378465467829311,0.438071755501537,0.6223430965486672,0.6326430483464633,0.6223430965486672,0.6326430483464633,0.6377960714853552,0.6403804896491936,0.36220392851464484,0.35961951035080647,0.10585189201136111,0.07803136528409324,0.15001936233404575,0.11378148605011537,0.15001936233404575,0.11378148605011537,0.9379156974344667,0.9500164636866817,0.06208430256553322,0.049983536313318366,0.03843420907786276,0.027457378867672556,0.053031834317222144,0.03804689897303359,0.053031834317222144,0.03804689897303359,0.9757296904704086,0.9822494744033924,0.024270309529591458,0.017750525596607614
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,1000000000.0,ADV60,134,1.0281524602868837,1.0391533805702118,1028152460.286884,1039153380.5702116,0.00010252098348795518,0.0,0.012357884193045158,0.005153774967545679,0.0,0.0,0.016344514113733943,0.013951190438643915,0.05547193823233377,0.04796502260871186,inf,0.06958373380183563,inf,0.19905309261759452,0.4297713114783457,0.42855776896388154,0.6142686437141645,0.6099605004650344,0.6142686437141645,0.6099605004650344,0.6550392510729602,0.665423151790052,0.3449607489270397,0.33457684820994804,0.08908870245501,0.06216031057319023,0.12640779059015322,0.09293805807500267,0.12640779059015322,0.09293805807500267,0.9484292082147241,0.9608617023424876,0.05157079178527587,0.03913829765751242,0.0309085814509215,0.022506488797831504,0.042389666731852356,0.030013140529308698,0.042389666731852356,0.030013140529308698,0.9794782311238291,0.9868570190946051,0.02052176887617098,0.013142980905394952
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,2000000000.0,ADV20,134,1.0281524602868837,1.0391533805702118,2056304920.573768,2078306761.1404233,0.00010252098348795518,0.0,0.012357884193045158,0.005153774967545679,0.0,0.0,0.0348604344567493,0.030081806187512217,0.12664316032574846,0.10660487681867731,inf,0.16152165885887837,inf,0.479247454577292,0.568547893310992,0.5802592190652381,0.7923078143164376,0.8010562892569124,0.7923078143164376,0.8010562892569124,0.4577344812853209,0.45182479324018676,0.5422655187146792,0.5481752067598133,0.2330109322568281,0.21575582428897616,0.33242549535743143,0.32558352276770053,0.33242549535743143,0.32558352276770053,0.8463631998777359,0.8622279274152314,0.1536368001222642,0.1377720725847687,0.10585189201136111,0.07803136528409324,0.15001936233404575,0.11378148605011537,0.15001936233404575,0.11378148605011537,0.9379156974344667,0.9500164636866817,0.06208430256553322,0.049983536313318366
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,2000000000.0,ADV60,134,1.0281524602868837,1.0391533805702118,2056304920.573768,2078306761.1404233,0.00010252098348795518,0.0,0.012357884193045158,0.005153774967545679,0.0,0.0,0.03268902822746789,0.02790238087728783,0.11094387646466754,0.09593004521742372,inf,0.13916746760367127,inf,0.39810618523518904,0.5673084039775158,0.5820516233514137,0.797192149497624,0.8042298665686777,0.797192149497624,0.8042298665686777,0.4662505722814651,0.4734037680143367,0.533749427718535,0.5265962319856632,0.21433116899585106,0.18950490639539178,0.3070872778426656,0.28841186173494676,0.3070872778426656,0.28841186173494676,0.8649626830719529,0.8850043917080104,0.13503731692804724,0.11499560829198963,0.08908870245501,0.06216031057319023,0.12640779059015322,0.09293805807500267,0.12640779059015322,0.09293805807500267,0.9484292082147241,0.9608617023424876,0.05157079178527587,0.03913829765751242
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5000000000.0,ADV20,134,1.0281524602868837,1.0391533805702118,5140762301.434419,5195766902.851059,0.00010252098348795518,0.0,0.012357884193045158,0.005153774967545679,0.0,0.0,0.08715108614187325,0.07520451546878054,0.3166079008143712,0.2665121920466933,inf,0.4038041471471959,inf,1.1981186364432301,0.7073833925951563,0.7223123481732387,0.9215564388906141,0.9357187264898286,0.9215564388906141,0.9357187264898286,0.25798154570546494,0.2511194434845423,0.7420184542945351,0.7488805565154577,0.4378465467829311,0.438071755501537,0.6223430965486672,0.6326430483464633,0.6223430965486672,0.6326430483464633,0.6377960714853552,0.6403804896491937,0.36220392851464484,0.3596195103508063,0.28292798669042907,0.2732691978272762,0.4037236892281111,0.398977790854796,0.4037236892281111,0.398977790854796,0.8032398433894025,0.8133832371289711,0.19676015661059743,0.18661676287102896
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5000000000.0,ADV60,134,1.0281524602868837,1.0391533805702118,5140762301.434419,5195766902.851059,0.00010252098348795518,0.0,0.012357884193045158,0.005153774967545679,0.0,0.0,0.08172257056866973,0.06975595219321958,0.27735969116166886,0.2398251130435593,inf,0.34791866900917817,inf,0.9952654630879725,0.701131203270132,0.7228586603902292,0.9259197335629573,0.9345411778340036,0.9259197335629573,0.9345411778340036,0.25804626950517495,0.25740084883150915,0.741953730494825,0.7425991511684908,0.4297713114783457,0.42855776896388154,0.6142686437141646,0.6099605004650345,0.6142686437141646,0.6099605004650345,0.6550392510729602,0.665423151790052,0.34496074892703976,0.334576848209948,0.2657215162802964,0.24935223521995709,0.3809167339612329,0.3676184350499382,0.3809167339612329,0.3676184350499382,0.8229341813933093,0.8402315114048453,0.1770658186066906,0.15976848859515475
