analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,security_id,dedicated_drift_status,pretrade_weight,target_weight,delta_weight,abs_delta_weight,buy_weight,sell_weight,trade_side,capacity_delta_weight,capacity_abs_trade_weight,cash_redeployment_weight,capacity_trade_side,adv20_source_native,adv60_source_native,current_is_open,original_liquidity_joined
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,000511.XSHE,PASS,0.0037832599378208836,0.0,-0.0037832599378208836,0.0037832599378208836,0.0,0.0037832599378208836,SELL,-0.0037832599378208836,0.0037832599378208836,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,000601.XSHE,PASS,0.005822544679848436,0.0,-0.005822544679848436,0.005822544679848436,0.0,0.005822544679848436,SELL,-0.005822544679848436,0.005822544679848436,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,000756.XSHE,PASS,0.0038851659294120186,0.0,-0.0038851659294120186,0.0038851659294120186,0.0,0.0038851659294120186,SELL,-0.0038851659294120186,0.0038851659294120186,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,000851.XSHE,PASS,0.0038851659294120186,0.0,-0.0038851659294120186,0.0038851659294120186,0.0,0.0038851659294120186,SELL,-0.0038851659294120186,0.0038851659294120186,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,000939.XSHE,PASS,0.003257950924740301,0.0,-0.003257950924740301,0.003257950924740301,0.0,0.003257950924740301,SELL,-0.003257950924740301,0.003257950924740301,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,000952.XSHE,PASS,0.003812300851966182,0.0,-0.003812300851966182,0.003812300851966182,0.0,0.003812300851966182,SELL,-0.003812300851966182,0.003812300851966182,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,002040.XSHE,PASS,0.0038851659294120186,0.0,-0.0038851659294120186,0.0038851659294120186,0.0,0.0038851659294120186,SELL,-0.0038851659294120186,0.0038851659294120186,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,002099.XSHE,PASS,0.0028274018769640476,0.0,-0.0028274018769640476,0.0028274018769640476,0.0,0.0028274018769640476,SELL,-0.0028274018769640476,0.0028274018769640476,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,002176.XSHE,PASS,0.0046226027537884925,0.0,-0.0046226027537884925,0.0046226027537884925,0.0,0.0046226027537884925,SELL,-0.0046226027537884925,0.0046226027537884925,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,002280.XSHE,PASS,0.002643514962280344,0.0,-0.002643514962280344,0.002643514962280344,0.0,0.002643514962280344,SELL,-0.002643514962280344,0.002643514962280344,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,002286.XSHE,PASS,0.0038851659294120186,0.0,-0.0038851659294120186,0.0038851659294120186,0.0,0.0038851659294120186,SELL,-0.0038851659294120186,0.0038851659294120186,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,002608.XSHE,PASS,0.003764695668034902,0.0,-0.003764695668034902,0.003764695668034902,0.0,0.003764695668034902,SELL,-0.003764695668034902,0.003764695668034902,0.0,SELL,,,,False
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,600073.XSHG,PASS,0.0050814670215765315,0.0,-0.0050814670215765315,0.0050814670215765315,0.0,0.0050814670215765315,SELL,-0.0050814670215765315,0.0050814670215765315,0.0,SELL,,,,False
