stock_1,name_1,stock_2,name_2,same_industry,episode_number,episode_start_window,episode_end_window,episode_start_date,episode_end_date,episode_length
002460,赣锋锂业,002475,立讯精密,False,3,10,31,2024-10-21,2026-07-14,22
002460,赣锋锂业,600030,中信证券,False,1,1,31,2024-01-16,2026-07-14,31
002460,赣锋锂业,600036,招商银行,False,1,1,2,2024-01-16,2024-02-21,2
002460,赣锋锂业,600036,招商银行,False,2,5,5,2024-05-22,2024-05-22,1
002460,赣锋锂业,600519,贵州茅台,False,1,20,21,2025-08-13,2025-09-10,2
002460,赣锋锂业,600519,贵州茅台,False,2,25,25,2026-01-12,2026-01-12,1
002460,赣锋锂业,600887,伊利股份,False,1,9,21,2024-09-12,2025-09-10,13
002460,赣锋锂业,601288,农业银行,False,1,8,18,2024-08-15,2025-06-18,11
002460,赣锋锂业,601318,中国平安,False,1,1,5,2024-01-16,2024-05-22,5
002460,赣锋锂业,601398,工商银行,False,1,8,9,2024-08-15,2024-09-12,2
002460,赣锋锂业,601398,工商银行,False,2,30,31,2026-06-15,2026-07-14,2
002460,赣锋锂业,603501,韦尔股份,False,1,3,23,2024-03-20,2025-11-13,21
002460,赣锋锂业,603501,韦尔股份,False,2,27,28,2026-03-17,2026-04-15,2
002475,立讯精密,600030,中信证券,False,1,5,9,2024-05-22,2024-09-12,5
002475,立讯精密,600030,中信证券,False,2,24,31,2025-12-11,2026-07-14,8
002475,立讯精密,600519,贵州茅台,False,1,5,5,2024-05-22,2024-05-22,1
002475,立讯精密,600519,贵州茅台,False,2,10,12,2024-10-21,2024-12-16,3
002475,立讯精密,600887,伊利股份,False,1,1,1,2024-01-16,2024-01-16,1
002475,立讯精密,601318,中国平安,False,1,13,22,2025-01-14,2025-10-16,10
002475,立讯精密,603501,韦尔股份,True,1,1,31,2024-01-16,2026-07-14,31
600030,中信证券,600036,招商银行,False,1,1,7,2024-01-16,2024-07-18,7
600030,中信证券,600519,贵州茅台,False,1,1,28,2024-01-16,2026-04-15,28
600030,中信证券,600887,伊利股份,False,1,1,20,2024-01-16,2025-08-13,20
600030,中信证券,600887,伊利股份,False,2,26,28,2026-02-09,2026-04-15,3
