window_size,industry_relation,n_possible_pairs,mean_persistence,median_persistence,n_persistence_ge_080,n_persistence_equal_1,mean_abs_partial_when_selected,share_persistence_ge_080,share_persistence_equal_1
126,Cross industry,86,0.3049095607235142,0.16666666666666666,11,7,0.051063369822021726,0.12790697674418605,0.08139534883720931
126,Same industry,19,0.9444444444444443,1.0,17,13,0.19930608477246659,0.8947368421052632,0.6842105263157895
252,Cross industry,86,0.3449612403100775,0.08333333333333333,20,12,0.053340226536247044,0.23255813953488372,0.13953488372093023
252,Same industry,19,0.9912280701754386,1.0,19,17,0.19755488266163057,1.0,0.8947368421052632
504,Cross industry,86,0.41537467700258396,0.19444444444444442,32,26,0.05133263361891498,0.37209302325581395,0.3023255813953488
504,Same industry,19,1.0,1.0,19,19,0.19569169307887438,1.0,1.0
