lifecycle_class,n_edges,mean_persistence,mean_episodes,mean_longest_run,mean_transition_rate,mean_abs_partial,same_industry_edges,same_industry_ratio
Intermittent,3,0.38709677419354843,3.3333333333333335,6.666666666666667,0.19999999999999998,0.02849253527709818,0,0.0
Persistent core,40,0.9516129032258064,1.45,27.9,0.03833333333333333,0.13149940329820226,18,0.45
Rare,31,0.011446409989594173,0.3548387096774194,0.25806451612903225,0.01827956989247312,0.008022273226576188,0,0.0
Regime-dependent,16,0.3346774193548387,1.0,10.375,0.04791666666666666,0.05297127550095431,0,0.0
Two-episode transitional,15,0.3698924731182796,2.0,9.933333333333334,0.12000000000000001,0.03372167075398955,1,0.06666666666666667
