window_size,n_common_windows,first_network_date,last_network_date,mean_edges,sd_edges,min_edges,max_edges,mean_density,mean_abs_partial,mean_same_industry_ratio,mean_turnover,median_turnover,max_turnover,persistent_edges_ge_080,always_persistent_edges,same_mean_persistence,cross_mean_persistence,same_persistence_ge_080_rate,cross_persistence_ge_080_rate,same_edge_change_events,cross_edge_change_events,cross_edge_change_share
126,18,2025-02-19,2026-07-14,44.166666666666664,5.669837636434522,39,60,0.42063492063492064,0.12686096663637275,0.4101710289211317,0.19591112195311716,0.18181818181818177,0.32692307692307687,28,20,0.9444444444444443,0.3049095607235142,0.8947368421052632,0.12790697674418605,17,146,0.8957055214723927
252,18,2025-02-19,2026-07-14,48.5,6.617712417977894,40,57,0.46190476190476193,0.12056326728137773,0.39480423345599497,0.08778564960052103,0.09090909090909094,0.1875,39,29,0.9912280701754387,0.34496124031007747,1.0,0.23255813953488372,5,68,0.9315068493150684
504,18,2025-02-19,2026-07-14,54.72222222222222,2.4687590489616573,50,59,0.521164021164021,0.10978111450849293,0.34788312896634394,0.043523155062437306,0.03389830508474578,0.14754098360655743,51,45,1.0,0.4153746770025839,1.0,0.37209302325581395,0,42,1.0
