industry_relation,n_possible_pairs,n_multi_scale_persistent,n_multi_scale_always,mean_min_persistence,median_min_persistence,mean_persistence_range,multi_scale_persistent_rate,multi_scale_always_rate
Cross industry,86,11,7,0.26098191214470284,0.0,0.19444444444444445,0.12790697674418605,0.08139534883720931
Same industry,19,17,13,0.9444444444444443,1.0,0.055555555555555546,0.8947368421052632,0.6842105263157895
