stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,persistence_W126,persistence_W252,persistence_W504,mean_abs_partial_W126,mean_abs_partial_W252,mean_abs_partial_W504,selected_windows_W126,selected_windows_W252,selected_windows_W504,min_persistence,max_persistence,mean_persistence,sd_persistence,persistence_range,n_scales_persistent,n_scales_always_persistent,multi_scale_persistent,multi_scale_always_persistent,scale_dependent_persistent,persistence_pattern,multi_scale_class,mean_abs_partial_across_scales,industry_relation
600036,招商银行,银行,600519,贵州茅台,食品饮料,False,1.0,1.0,1.0,0.0621266818517349,0.0631460143611716,0.0617744213013663,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.06234903917142428,Cross industry
000725,京东方A,电子,002415,海康威视,电子,True,0.9444444444444444,1.0,1.0,0.1795383883768888,0.1826867103693727,0.1703684081362601,17,18,18,0.9444444444444444,1.0,0.9814814814814815,0.026189140043946214,0.05555555555555558,3,2,True,False,False,Non-decreasing with W,Multi-scale persistent,0.17753116896084054,Same industry
000725,京东方A,电子,600030,中信证券,非银金融,False,0.8888888888888888,0.8888888888888888,1.0,0.1800701585852387,0.144486047768508,0.0790971866749827,16,16,18,0.8888888888888888,1.0,0.9259259259259259,0.05237828008789243,0.11111111111111116,3,1,True,False,False,Non-decreasing with W,Multi-scale persistent,0.13455113100957647,Cross industry
002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,0.8333333333333334,1.0,1.0,0.0728704746862381,0.0759544422591098,0.1011232778722767,15,18,18,0.8333333333333334,1.0,0.9444444444444445,0.0785674201318386,0.16666666666666663,3,2,True,False,False,Non-decreasing with W,Multi-scale persistent,0.08331606493920819,Cross industry
000001,平安银行,银行,601398,工商银行,银行,True,0.8333333333333334,1.0,1.0,0.0911462003776435,0.0639968260494986,0.0501263968116392,15,18,18,0.8333333333333334,1.0,0.9444444444444445,0.0785674201318386,0.16666666666666663,3,2,True,False,False,Non-decreasing with W,Multi-scale persistent,0.06842314107959377,Same industry
002460,赣锋锂业,新能源,002475,立讯精密,电子,False,0.8333333333333334,1.0,1.0,0.0703633816916207,0.0613003811503398,0.0501457012291375,15,18,18,0.8333333333333334,1.0,0.9444444444444445,0.0785674201318386,0.16666666666666663,3,2,True,False,False,Non-decreasing with W,Multi-scale persistent,0.060603154690366,Cross industry
000001,平安银行,银行,600887,伊利股份,食品饮料,False,0.8333333333333334,1.0,1.0,0.0630700575000405,0.0491929537497624,0.0544203346265854,15,18,18,0.8333333333333334,1.0,0.9444444444444445,0.0785674201318386,0.16666666666666663,3,2,True,False,False,Non-decreasing with W,Multi-scale persistent,0.05556111529212943,Cross industry
000001,平安银行,银行,601288,农业银行,银行,True,0.8333333333333334,1.0,1.0,0.087859332054644,0.0502960523037504,0.0156984661842701,15,18,18,0.8333333333333334,1.0,0.9444444444444445,0.0785674201318386,0.16666666666666663,3,2,True,False,False,Non-decreasing with W,Multi-scale persistent,0.05128461684755483,Same industry
000725,京东方A,电子,002475,立讯精密,电子,True,0.8333333333333334,0.9444444444444444,1.0,0.1596225363770048,0.157309524166595,0.147570761446021,15,17,18,0.8333333333333334,1.0,0.9259259259259259,0.06928995160692482,0.16666666666666663,3,1,True,False,False,Non-decreasing with W,Multi-scale persistent,0.15483427399654026,Same industry
600036,招商银行,银行,601288,农业银行,银行,True,0.7777777777777778,1.0,1.0,0.0737346544461942,0.0393604082203907,0.0287591940501397,14,18,18,0.7777777777777778,1.0,0.9259259259259259,0.10475656017578482,0.2222222222222222,2,2,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.04728475223890819,Same industry
000858,五粮液,食品饮料,600030,中信证券,非银金融,False,0.7777777777777778,1.0,1.0,0.0382416696031577,0.0384969319925016,0.0321401498028995,14,18,18,0.7777777777777778,1.0,0.9259259259259259,0.10475656017578482,0.2222222222222222,2,2,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.03629291713285293,Cross industry
600887,伊利股份,食品饮料,601318,中国平安,非银金融,False,0.7777777777777778,0.9444444444444444,1.0,0.0457137264773812,0.0403755561980353,0.0514907599163046,14,17,18,0.7777777777777778,1.0,0.9074074074074074,0.09442628728875527,0.2222222222222222,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.04586001419724037,Cross industry
