window_size,same_mean_persistence,cross_mean_persistence,persistence_difference_same_minus_cross,persistence_ratio_same_over_cross,same_persistent_rate,cross_persistent_rate,persistent_rate_ratio_same_over_cross,same_always_rate,cross_always_rate,always_rate_ratio_same_over_cross,same_state_change_rate,cross_state_change_rate,state_change_rate_ratio_cross_over_same,same_exit_rate,cross_exit_rate,exit_rate_ratio_cross_over_same,same_entry_rate,cross_entry_rate,cross_share_of_all_changes
126,0.9444444444444443,0.3049095607235142,0.63953488372093,3.0974576271186436,0.8947368421052632,0.12790697674418605,6.9952153110047846,0.6842105263157895,0.08139534883720931,8.406015037593985,0.05263157894736842,0.09986320109439124,1.8974008207934336,0.029508196721311476,0.18262806236080179,6.189062113338283,0.4444444444444444,0.0631786771964462,0.8957055214723927
252,0.9912280701754386,0.34496124031007747,0.6462668298653611,2.8734476641040807,1.0,0.23255813953488372,4.3,0.8947368421052632,0.13953488372093023,6.412280701754386,0.015479876160990712,0.046511627906976744,3.0046511627906978,0.009345794392523364,0.08203125,8.77734375,1.0,0.02736842105263158,0.9315068493150684
504,1.0,0.41537467700258396,0.5846253229974161,2.4074650077760498,1.0,0.37209302325581395,2.6875,1.0,0.3023255813953488,3.307692307692308,0.0,0.028727770177838577,,0.0,0.04084967320261438,,,0.02,1.0
