industry_relation,n_possible_pairs,n_multiscale_persistent,n_multiscale_always,mean_min_persistence,median_min_persistence,multiscale_persistent_rate,multiscale_always_rate
Cross industry,86,11,7,0.26098191214470284,0.0,0.12790697674418605,0.08139534883720931
Same industry,19,17,13,0.9444444444444443,1.0,0.8947368421052632,0.6842105263157895
