window,min_valid_ratio,required_valid_days,evaluation_day_count,eligible_stock_count_min,eligible_stock_count_median,eligible_stock_count_mean,eligible_stock_count_max,eligible_ratio_median,p_over_w_min,p_over_w_median,p_over_w_mean,p_over_w_max,share_days_p_ge_w,share_days_p_ge_2w,share_days_p_ge_5w,share_days_p_ge_10w,median_possible_pair_count,median_dense_matrix_memory_mb,median_daily_universe_jaccard,mean_daily_entered_count,mean_daily_exited_count
60,0.8,48,2778,1879,4018.0,3948.6375089992803,5195,0.9807065203144583,31.316666666666666,66.96666666666667,65.81062514998801,86.58333333333333,1.0,1.0,1.0,1.0,8070153.5,123.17142486572266,0.9995904157280361,2.262513503781059,1.1721281958948506
60,0.9,54,2778,1547,3965.0,3881.835133189345,5176,0.9713014446308007,25.783333333333335,66.08333333333334,64.69725221982242,86.26666666666667,1.0,1.0,1.0,1.0,7858634.5,119.94349670410156,0.999340804218853,2.9909974792942022,1.8397551314368024
60,0.95,57,2778,1111,3926.0,3824.076673866091,5144,0.9647279164848919,18.516666666666666,65.43333333333334,63.73461123110151,85.73333333333333,1.0,1.0,1.0,1.0,7704779.5,117.5955581665039,0.9991530208921513,3.5433921498019445,2.377385667987036
120,0.8,96,2718,1833,3963.5,3912.2766740250186,5179,0.9671175823086716,15.275,33.02916666666667,32.60230561687515,43.15833333333333,1.0,1.0,1.0,1.0,7852687.5,119.85274124145508,0.999591419816139,1.9775487670224512,0.8108207581891792
120,0.9,108,2718,1503,3915.0,3851.2582781456954,5170,0.961598614692813,12.525,32.625,32.09381898454746,43.083333333333336,1.0,1.0,1.0,1.0,7661657.0,116.9374771118164,0.9995645547572393,2.2315053367684947,0.951417004048583
120,0.95,114,2718,1208,3835.0,3752.0618101545256,5128,0.9445050453609511,10.066666666666666,31.958333333333332,31.267181751287712,42.733333333333334,1.0,1.0,1.0,1.0,7351695.5,112.20722961425781,0.9993145990404386,2.769230769230769,1.4059624585940376
252,0.8,202,2586,1792,3848.0,3850.3549883990718,5144,0.9347682219310065,7.111111111111111,15.269841269841269,15.279186461901078,20.41269841269841,1.0,1.0,1.0,0.8364269141531323,7401628.5,112.96924591064453,0.9995961227786753,1.7574468085106383,0.46073500967117986
252,0.9,227,2586,1444,3810.0,3761.8855375096673,5125,0.9219442770075681,5.73015873015873,15.11904761904762,14.92811721233995,20.33730158730159,1.0,1.0,1.0,0.8093580819798917,7256145.5,110.74906158447266,0.9995745586045522,1.91605415860735,0.4920696324951644
252,0.95,240,2586,1122,3765.0,3677.518174787316,5111,0.9076124077317984,4.4523809523809526,14.94047619047619,14.59332609042586,20.28174603174603,1.0,1.0,0.9706109822119103,0.7652745552977571,7085730.0,108.14838409423828,0.9994476663904999,2.1887814313346228,0.64642166344294
