trade_date,window,min_valid_ratio,required_valid_days,current_universe_count,eligible_stock_count,eligible_stock_ratio,p_over_w,possible_pair_count,dense_matrix_memory_mb_float64,covariance_dimensionally_singular,covariance_rank_upper_bound,minimum_rank_deficiency,eligible_jaccard_vs_previous_day,entered_count,exited_count
2015-04-03,60,0.8,48,2663,2167,0.8137438978595569,36.11666666666667,2346861,35.82678985595703,True,59,2108,,,
2015-04-03,60,0.9,54,2663,1979,0.7431468268869695,32.983333333333334,1957231,29.88007354736328,True,59,1920,,,
2015-04-03,60,0.95,57,2663,1900,0.7134810364250845,31.666666666666668,1804050,27.5421142578125,True,59,1841,,,
2015-04-07,60,0.8,48,2663,2177,0.8174990612091626,36.28333333333333,2368576,36.15821075439453,True,59,2118,0.9954065227377125,10.0,0.0
2015-04-07,60,0.9,54,2663,2022,0.7592940292902741,33.7,2043231,31.192657470703125,True,59,1963,0.9787339268051434,43.0,0.0
2015-04-07,60,0.95,57,2663,1918,0.7202403304543747,31.966666666666665,1838403,28.066436767578125,True,59,1859,0.9906152241918665,18.0,0.0
2015-04-08,60,0.8,48,2663,2184,0.8201276755538865,36.4,2383836,36.39111328125,True,59,2125,0.994967978042086,9.0,2.0
2015-04-08,60,0.9,54,2663,2012,0.7555388659406684,33.53333333333333,2023066,30.8848876953125,True,59,1953,0.9911154985192497,4.0,14.0
2015-04-08,60,0.95,57,2663,1914,0.7187382651145325,31.9,1830741,27.949493408203125,True,59,1855,0.9927197087883516,5.0,9.0
2015-04-09,60,0.8,48,2663,2180,0.8186256102140443,36.333333333333336,2375110,36.2579345703125,True,59,2121,0.9926940639269406,6.0,10.0
2015-04-09,60,0.9,54,2663,2012,0.7555388659406684,33.53333333333333,2023066,30.8848876953125,True,59,1953,0.9980139026812314,2.0,2.0
2015-04-09,60,0.95,57,2663,1916,0.7194892977844536,31.933333333333334,1834570,28.0079345703125,True,59,1857,0.9937532535137948,7.0,5.0
2015-04-10,60,0.8,48,2663,2180,0.8186256102140443,36.333333333333336,2375110,36.2579345703125,True,59,2121,0.9935985368084134,7.0,7.0
2015-04-10,60,0.9,54,2663,2019,0.7581674802853924,33.65,2037171,31.10016632080078,True,59,1960,0.993570722057369,10.0,3.0
2015-04-10,60,0.95,57,2663,1901,0.7138565527600451,31.683333333333334,1805950,27.57111358642578,True,59,1842,0.9890568004168838,3.0,18.0
2015-04-13,60,0.8,48,2663,2179,0.8182500938790838,36.31666666666667,2372931,36.22467803955078,True,59,2120,0.9949656750572082,5.0,6.0
2015-04-13,60,0.9,54,2663,2016,0.7570409312805108,33.6,2031120,31.0078125,True,59,1957,0.9935770750988142,5.0,8.0
