year,window,analysis_month_count,mean_corr,median_corr,mean_abs_corr,q95_corr,q99_corr,share_negative,share_corr_gt_0_3,share_corr_gt_0_5,eligible_stock_count
2015,60,9,0.5449124601075136,0.5621614146432692,0.5462696473741233,0.7437709540841977,0.801439541085283,0.009145928472311214,0.8624475771369655,0.620400937075406,1868.111111111111
2015,120,6,0.6258301670408702,0.6433903043872277,0.6258770892161306,0.7835385020966493,0.827518598464254,0.0005410836153081408,0.9814368815095778,0.8602959098260804,1629.8333333333333
2016,60,12,0.4615543103035648,0.47132954165592755,0.46393712109893187,0.6972317555998176,0.7727943180439106,0.017859457372837475,0.7555641690654685,0.4638913106307085,2342.0833333333335
2016,120,12,0.5108873476016585,0.5196216933635222,0.5111709932975012,0.6978557843449381,0.7596192211214996,0.0029086236770683176,0.8554763381968763,0.5689256633792918,2186.0833333333335
2016,252,12,0.5937805955154195,0.6057676529583383,0.5937817995587021,0.7392121572439327,0.7854676680364574,2.2576837383825636e-05,0.9856596555893534,0.8181371446562623,1768.3333333333333
2017,60,12,0.289104323520944,0.2939586865106865,0.3002387044286026,0.5821003613607588,0.6831969997248653,0.06463660531096108,0.48084974646221784,0.13568175948049627,2777.75
2017,120,12,0.28580065525056314,0.2876360184350966,0.2900785819372677,0.5311241615081688,0.6250034387552676,0.03125284989003616,0.4670555329133337,0.0769542005006177,2628.4166666666665
2017,252,12,0.3217884717108804,0.32321589535575335,0.32295200965022136,0.5179699551572804,0.5994831650572703,0.010304179877493365,0.5533658772359132,0.1053493405600978,2269.5
2018,60,12,0.3978525841449542,0.4080491405649959,0.40150979568851747,0.6729470335325091,0.7581711053479568,0.02392812333495352,0.7073837452175812,0.3131003867153674,3176.5833333333335
2018,120,12,0.3672996912860717,0.3713518945231938,0.3688866992440263,0.6038062317461029,0.6874590692492376,0.013060386050704554,0.6714699296211085,0.20673835060008863,3052.25
2018,252,12,0.3322562987632182,0.33478614421692393,0.3333387294108963,0.536302550265985,0.6164590558876426,0.009426022765627479,0.6056944594581178,0.10103820002721564,2721.9166666666665
2019,60,12,0.35211163693872716,0.35597435111430703,0.35589557019652895,0.6222972342077427,0.7131871572512695,0.028037598322134056,0.622662596097878,0.21426821436605215,3557.9166666666665
2019,120,12,0.371659199101353,0.3742085383413391,0.37221734941471324,0.5924812548802824,0.6752156353142459,0.006264380459006476,0.6948520812710246,0.19233223282415302,3534.5833333333335
2019,252,12,0.3852629996577546,0.386253690226287,0.3852874969496305,0.5680215362259177,0.6403972169751672,0.00039256361532476045,0.7723620717214542,0.157618579283082,3346.3333333333335
2020,60,12,0.29587557389295877,0.30034245070467874,0.30510914583441073,0.5747758274845938,0.6772316244718412,0.05735529987696392,0.4884212280222356,0.14484178759061603,3790.8333333333335
2020,120,12,0.30306536545390567,0.30624183946650124,0.30620706978486006,0.5358363517292938,0.6297236761147197,0.024613934920733587,0.5067524214195672,0.0985854383211756,3743.1666666666665
