window,analysis_date_count,mean_eligible_stock_count,median_eligible_stock_count,mean_raw_correlation,median_of_monthly_median_corr,mean_absolute_correlation,median_q90_corr,median_q95_corr,median_q99_corr,mean_share_negative,mean_share_corr_gt_0_3,mean_share_corr_gt_0_5,mean_pair_valid_ratio,mean_common_ratio
60,138,3903.8115942028985,4017.0,0.32527388406021884,0.3051510910922939,0.3366896770931101,0.535347807751406,0.5922174139809728,0.7045228932115335,0.06811422594781592,0.5311235627075267,0.22668365704865354,0.997418115942029,0.9947590539208653
120,135,3875.4518518518516,3971.0,0.32497394201104524,0.3086706400673189,0.32944688830765845,0.4909849750344762,0.5458486512490163,0.6476644826951945,0.03737872751398449,0.5267914846952609,0.1965539445111439,0.9923329629629629,0.9911835122265803
252,129,3779.9147286821703,3829.0,0.3206855407548649,0.3046173597465138,0.3220282552529886,0.4577696929246107,0.502576348505269,0.5868489301916874,0.015094085537640684,0.519685147300457,0.15331451139588984,0.9899720930232558,0.9895700356114671
