analysis_date,window,window_start,stock_min_valid_ratio,pair_min_common_ratio,required_stock_valid_days,required_pair_common_days,current_pit_universe_count,eligible_stock_count,eligible_stock_ratio,possible_pair_count,sampled_pair_count,valid_pair_count,valid_pair_ratio,mean_corr,median_corr,std_corr,mean_abs_corr,q01_corr,q05_corr,q10_corr,q25_corr,q50_corr,q75_corr,q90_corr,q95_corr,q99_corr,median_abs_corr,q90_abs_corr,q95_abs_corr,q99_abs_corr,share_corr_negative,share_corr_gt_0_1,share_corr_gt_0_2,share_corr_gt_0_3,share_corr_gt_0_5,share_abs_corr_gt_0_3,share_abs_corr_gt_0_5,mean_common_obs,median_common_obs,mean_common_ratio,min_common_obs
2015-04-30,60,2015-01-29,0.9,0.9,54,54,2695,1993,0.7395176252319109,1985028,20000,19804,0.9902,0.2748075923817783,0.2820052442504999,0.1633558962779662,0.28260001420295894,-0.12631999208899397,-0.005115608793897334,0.061177536399111394,0.16621171649345995,0.2820052442504999,0.3885457306376291,0.47902812123279004,0.5320681686743933,0.6267515572542947,0.2822340870672435,0.47902812123279004,0.5320681686743933,0.6267515572542947,0.05261563320541305,0.8536154312260149,0.6839022419713189,0.4572308624520299,0.07740860432235912,0.45748333669965663,0.07740860432235912,59.12416683498283,60.0,0.9854027805830473,54
2015-05-29,60,2015-03-05,0.9,0.9,54,54,2736,1914,0.6995614035087719,1830741,20000,19730,0.9865,0.34386344446070555,0.35228816972586574,0.15097067413659926,0.34616687336706675,-0.03751685326817067,0.08055759979983274,0.14485675977141252,0.24659192854512818,0.35228816972586574,0.45027724114451273,0.5319176712195905,0.5742771788205437,0.6579641892630286,0.35231217554196026,0.5319176712195905,0.5742771788205437,0.6579641892630286,0.017131272174353777,0.9380131779016726,0.8293461733400912,0.6325392802838318,0.14749113025848962,0.6326406487582362,0.14749113025848962,58.92204764318297,60.0,0.9820341273863828,54
2015-06-30,60,2015-04-03,0.9,0.9,54,54,2779,1802,0.6484346887369558,1622701,20000,19644,0.9822,0.49954022475416,0.5131739309782815,0.13585315894700165,0.499632391549214,0.1266519115448941,0.2539364572529058,0.318060876011087,0.4170377839535038,0.5131739309782815,0.5964893062073747,0.6617352117887054,0.6991983396864447,0.7609086371487762,0.5131739309782815,0.6617352117887054,0.6991983396864447,0.7609086371487762,0.0009163103237629811,0.9931276725717776,0.9737833435145592,0.9155467318265119,0.5388413765017308,0.9155467318265119,0.5388413765017308,58.851659539808594,60.0,0.9808609923301432,54
2015-07-31,60,2015-05-08,0.9,0.9,54,54,2783,1572,0.5648580668343515,1234806,20000,18786,0.9393,0.6368690495795406,0.6572913793087369,0.13437897062135404,0.6369064362025522,0.21558918534712565,0.3895346256498769,0.4623992258777036,0.5637443009244079,0.6572913793087369,0.7320835472954774,0.7891003492439768,0.8172129599161907,0.8619534339877516,0.6572913793087369,0.7891003492439768,0.8172129599161907,0.8619534339877516,0.00031938677738741617,0.9963270520600447,0.9916427126583626,0.9784413925263494,0.8582987330991164,0.9784413925263494,0.8582987330991164,57.21973810284254,57.0,0.9536623017140424,54
2015-08-31,60,2015-06-08,0.9,0.9,54,54,2783,1645,0.5910887531440892,1352190,20000,18832,0.9416,0.686634598869869,0.7096672059191885,0.1312521754664206,0.686634598869869,0.27673781900343264,0.44161001957269275,0.5101993079030437,0.6150888360128102,0.7096672059191885,0.7814392983402132,0.832647440192478,0.8579437825835297,0.896531513333514,0.7096672059191885,0.832647440192478,0.8579437825835297,0.896531513333514,0.0,0.9991503823279524,0.9956988105352591,0.9867778249787595,0.9104184367034834,0.9867778249787595,0.9104184367034834,57.156011045029736,56.0,0.9526001840838288,54
2015-09-30,60,2015-07-07,0.9,0.9,54,54,2783,1769,0.6356449874236435,1563796,20000,19222,0.9611,0.7035710895977383,0.7307437042501443,0.1380436608817359,0.7036971660656753,0.25173317965533354,0.4423282289860884,0.5218091056075737,0.6357423133145617,0.7307437042501443,0.8011311033390422,0.8504186399998287,0.8740553426986115,0.9096502965173943,0.7307437042501443,0.8504186399998287,0.8740553426986115,0.9096502965173943,0.0010404744563520965,0.9972427426906669,0.993028821142441,0.9849651441057122,0.9155654978670273,0.9849651441057122,0.9155654978670273,56.99797107481012,56.0,0.9499661845801686,54
2015-10-30,60,2015-07-30,0.9,0.9,54,54,2783,1962,0.7049946101329501,1923741,20000,19847,0.99235,0.685057409439181,0.7091527262143268,0.13379996860665117,0.6852216951325771,0.26285016341436723,0.4377849401032478,0.5101468624899705,0.6155514547027165,0.7091527262143268,0.780399955294143,0.8298334408359648,0.8541428319575539,0.893537655624693,0.7091527262143268,0.8298334408359648,0.8541428319575539,0.893537655624693,0.001259636217060513,0.996775331284325,0.993651433466015,0.9867486269965234,0.9075930871164408,0.9867486269965234,0.9075930871164408,59.214994709527886,60.0,0.9869165784921315,54
2015-11-30,60,2015-08-28,0.9,0.9,54,54,2783,2037,0.7319439453826806,2073666,20000,19834,0.9917,0.6240398608472493,0.6455807933831358,0.14354663129121573,0.6251787154329369,0.16125028158871918,0.3688794823164656,0.4445599510150102,0.5519810973350586,0.6455807933831358,0.7245574123343539,0.780267958745615,0.8100841148219979,0.8569520438070424,0.6455807933831358,0.780267958745615,0.8100841148219979,0.8569520438070424,0.004083896339618837,0.9932439245739639,0.9867903599878995,0.9726731874558838,0.8373500050418473,0.9730261167691843,0.8373500050418473,59.16481798931128,60.0,0.9860802998218547,54
2015-12-31,60,2015-10-09,0.9,0.9,54,54,2811,2119,0.7538242618285308,2244021,20000,19811,0.99055,0.44982887103740077,0.4595495777592423,0.1468008558564676,0.4503889355442594,0.061110847300774145,0.1949258055241449,0.25662966039878243,0.35791635431865926,0.4595495777592423,0.5524161096264153,0.6298668098314807,0.6749558675985137,0.748706542831052,0.4595495777592423,0.6298668098314807,0.6749558675985137,0.748706542831052,0.004946746756852254,0.9834435414668619,0.9465448488213619,0.847105143607087,0.3906415627681591,0.847105143607087,0.3906415627681591,59.18832971581445,60.0,0.9864721619302408,54
2016-01-29,60,2015-11-06,0.9,0.9,54,54,2812,2199,0.7820056899004267,2416701,20000,19865,0.99325,0.6096573783133915,0.6208906754933768,0.12208572023554279,0.6096573783133915,0.27857824110488005,0.39222451916146517,0.4492192917505115,0.534445246785314,0.6208906754933768,0.6965771286230726,0.7577515826887459,0.7908181930298637,0.8426108537044861,0.6208906754933768,0.7577515826887459,0.7908181930298637,0.8426108537044861,0.0,0.9994462622703247,0.997080291970803,0.9858545179964762,0.8215454316637302,0.9858545179964762,0.8215454316637302,59.295746287440224,60.0,0.9882624381240036,54
2016-02-29,60,2015-11-30,0.9,0.9,54,54,2819,2241,0.7949627527492018,2509920,20000,19885,0.99425,0.6525695974901179,0.6673386971985112,0.12313506228835999,0.6525695974901179,0.31598603248056784,0.42755827747030417,0.4865567626198955,0.5776100870413539,0.6673386971985112,0.742106353416883,0.7990678876481596,0.8283026523683672,0.8743112953200216,0.6673386971985112,0.7990678876481596,0.8283026523683672,0.8743112953200216,0.0,0.9997988433492583,0.9987930600955494,0.9923560472718129,0.8836811667085743,0.9923560472718129,0.8836811667085743,59.321750062861454,60.0,0.9886958343810243,54
2016-03-31,60,2015-12-31,0.9,0.9,54,54,2835,2290,0.8077601410934744,2620905,20000,19869,0.99345,0.7000180750906572,0.7244392348675875,0.13462815646346418,0.7000355610890977,0.25513405205482104,0.44737341466817454,0.5251701331919199,0.6295608779470145,0.7244392348675875,0.7972702218167106,0.8465088949232159,0.8704364323771054,0.9090405505754169,0.7244392348675875,0.8465088949232159,0.8704364323771054,0.9090405505754169,0.00015098897780462027,0.9992953847702452,0.9946147264583018,0.984901102219538,0.918918918918919,0.984901102219538,0.918918918918919,59.28219839951684,60.0,0.9880366399919474,54
