window_id,window_start,network_date,window_size,step,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,partial_correlation,abs_partial_correlation,selected_threshold_020,abs_partial_rank,density_match_rank,selected_density_matched,glasso_edge_count_target
1,2023-01-04,2024-01-16,252,20,600036,招商银行,银行,603501,韦尔股份,电子,False,-0.0999552016230926,0.0999552016230926,False,36,36,True,52
1,2023-01-04,2024-01-16,252,20,000858,五粮液,食品饮料,603501,韦尔股份,电子,False,0.0997021182301238,0.0997021182301238,False,37,37,True,52
1,2023-01-04,2024-01-16,252,20,600030,中信证券,非银金融,603501,韦尔股份,电子,False,0.0993220897810299,0.0993220897810299,False,38,38,True,52
1,2023-01-04,2024-01-16,252,20,600030,中信证券,非银金融,600519,贵州茅台,食品饮料,False,0.0986539060510513,0.0986539060510513,False,39,39,True,52
1,2023-01-04,2024-01-16,252,20,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,0.0957378922017668,0.0957378922017668,False,40,40,True,52
1,2023-01-04,2024-01-16,252,20,000858,五粮液,食品饮料,600030,中信证券,非银金融,False,-0.0924011954854351,0.0924011954854351,False,41,41,True,52
1,2023-01-04,2024-01-16,252,20,000725,京东方A,电子,600030,中信证券,非银金融,False,0.0912828567154687,0.0912828567154687,False,42,42,True,52
1,2023-01-04,2024-01-16,252,20,000001,平安银行,银行,000858,五粮液,食品饮料,False,0.0901984307739471,0.0901984307739471,False,43,43,True,52
1,2023-01-04,2024-01-16,252,20,000725,京东方A,电子,000858,五粮液,食品饮料,False,0.0895124960723422,0.0895124960723422,False,44,44,True,52
1,2023-01-04,2024-01-16,252,20,002460,赣锋锂业,新能源,002475,立讯精密,电子,False,0.085394753947,0.085394753947,False,45,45,True,52
1,2023-01-04,2024-01-16,252,20,600519,贵州茅台,食品饮料,603501,韦尔股份,电子,False,-0.0847415651444453,0.0847415651444453,False,46,46,True,52
1,2023-01-04,2024-01-16,252,20,601288,农业银行,银行,601318,中国平安,非银金融,False,0.0844404026768569,0.0844404026768569,False,47,47,True,52
1,2023-01-04,2024-01-16,252,20,600036,招商银行,银行,601288,农业银行,银行,True,0.0830607992989368,0.0830607992989368,False,48,48,True,52
1,2023-01-04,2024-01-16,252,20,002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,0.082909017014478,0.082909017014478,False,49,49,True,52
1,2023-01-04,2024-01-16,252,20,000568,泸州老窖,食品饮料,601318,中国平安,非银金融,False,0.082185378413939,0.082185378413939,False,50,50,True,52
1,2023-01-04,2024-01-16,252,20,000725,京东方A,电子,601318,中国平安,非银金融,False,0.0788091765115981,0.0788091765115981,False,51,51,True,52
1,2023-01-04,2024-01-16,252,20,000568,泸州老窖,食品饮料,002415,海康威视,电子,False,0.0766980546407759,0.0766980546407759,False,52,52,True,52
1,2023-01-04,2024-01-16,252,20,002475,立讯精密,电子,600030,中信证券,非银金融,False,0.0763704221276197,0.0763704221276197,False,53,53,False,52
1,2023-01-04,2024-01-16,252,20,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,False,0.0747766825185821,0.0747766825185821,False,54,54,False,52
1,2023-01-04,2024-01-16,252,20,002415,海康威视,电子,600887,伊利股份,食品饮料,False,-0.0743947442523458,0.0743947442523458,False,55,55,False,52
1,2023-01-04,2024-01-16,252,20,002415,海康威视,电子,601398,工商银行,银行,False,0.073103648155894,0.073103648155894,False,56,56,False,52
