design,window_size,step,overlap_ratio,window_id,window_start,network_date,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,selected,partial_correlation
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,601288,农业银行,银行,603501,韦尔股份,电子,False,True,-0.0573806574572609
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,601288,农业银行,银行,002475,立讯精密,电子,False,False,-0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,601288,农业银行,银行,601318,中国平安,非银金融,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,601288,农业银行,银行,600030,中信证券,非银金融,False,False,-0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,True,0.3179690378786941
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,True,True,0.1856844828501763
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,True,0.2786776528413613
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600519,贵州茅台,食品饮料,002460,赣锋锂业,新能源,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600519,贵州茅台,食品饮料,002415,海康威视,电子,False,True,0.05136473486458733
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600519,贵州茅台,食品饮料,000725,京东方A,电子,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600519,贵州茅台,食品饮料,603501,韦尔股份,电子,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600519,贵州茅台,食品饮料,002475,立讯精密,电子,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600519,贵州茅台,食品饮料,601318,中国平安,非银金融,False,True,0.040644170053999645
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600519,贵州茅台,食品饮料,600030,中信证券,非银金融,False,True,0.005751297483361211
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,True,0.3453347104156207
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000858,五粮液,食品饮料,600887,伊利股份,食品饮料,True,True,0.1944647447641539
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000858,五粮液,食品饮料,002460,赣锋锂业,新能源,False,True,0.018151508532783404
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000858,五粮液,食品饮料,002415,海康威视,电子,False,True,0.05512444530862737
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000858,五粮液,食品饮料,000725,京东方A,电子,False,True,0.01608380364997654
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000858,五粮液,食品饮料,603501,韦尔股份,电子,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000858,五粮液,食品饮料,002475,立讯精密,电子,False,True,0.024471029554195483
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000858,五粮液,食品饮料,601318,中国平安,非银金融,False,True,0.05679626774451065
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000858,五粮液,食品饮料,600030,中信证券,非银金融,False,True,0.04868723720597857
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,True,True,0.1321053987587444
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,False,True,0.07127026995103145
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000568,泸州老窖,食品饮料,002415,海康威视,电子,False,True,0.04283539663629006
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000568,泸州老窖,食品饮料,000725,京东方A,电子,False,True,0.015029287939740862
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000568,泸州老窖,食品饮料,603501,韦尔股份,电子,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000568,泸州老窖,食品饮料,002475,立讯精密,电子,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000568,泸州老窖,食品饮料,601318,中国平安,非银金融,False,True,0.12750007137438124
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,False,True,0.14291548996498082
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600887,伊利股份,食品饮料,002460,赣锋锂业,新能源,False,True,0.07039903688359372
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600887,伊利股份,食品饮料,002415,海康威视,电子,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600887,伊利股份,食品饮料,000725,京东方A,电子,False,True,0.03243415942488782
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600887,伊利股份,食品饮料,603501,韦尔股份,电子,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600887,伊利股份,食品饮料,002475,立讯精密,电子,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600887,伊利股份,食品饮料,601318,中国平安,非银金融,False,True,0.027917196302325323
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,600887,伊利股份,食品饮料,600030,中信证券,非银金融,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,002460,赣锋锂业,新能源,002415,海康威视,电子,False,True,0.11971370076710515
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,002460,赣锋锂业,新能源,000725,京东方A,电子,False,True,0.08188902909358574
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,True,0.14384838874411696
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,002460,赣锋锂业,新能源,002475,立讯精密,电子,False,True,0.022120333976005768
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,002460,赣锋锂业,新能源,601318,中国平安,非银金融,False,False,0.0
same_step,126,20,0.8412698412698413,1,2024-07-29,2025-02-07,002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,True,0.06309476073650502
