design,window_size,step,replacement_ratio,overlap_ratio,window_id,window_start,network_date,edge_count,density,same_edges,cross_edges,same_industry_ratio,mean_abs_partial
same_step,126,20,0.15873015873015872,0.8412698412698413,1,2024-07-29,2025-02-07,59,0.5619047619047619,19,40,0.3220338983050847,0.1129809967086328
same_step,126,20,0.15873015873015872,0.8412698412698413,2,2024-08-26,2025-03-07,59,0.5619047619047619,19,40,0.3220338983050847,0.11068172271583944
same_step,126,20,0.15873015873015872,0.8412698412698413,3,2024-09-25,2025-04-07,54,0.5142857142857142,19,35,0.35185185185185186,0.12192974387713341
same_step,126,20,0.15873015873015872,0.8412698412698413,4,2024-10-30,2025-05-08,46,0.4380952380952381,19,27,0.41304347826086957,0.13276204022318014
same_step,126,20,0.15873015873015872,0.8412698412698413,5,2024-11-27,2025-06-06,45,0.42857142857142855,18,27,0.4,0.13671843466467873
same_step,126,20,0.15873015873015872,0.8412698412698413,6,2024-12-25,2025-07-04,45,0.42857142857142855,17,28,0.37777777777777777,0.13292441346130157
same_step,126,20,0.15873015873015872,0.8412698412698413,7,2025-01-23,2025-08-01,39,0.37142857142857144,18,21,0.46153846153846156,0.14847323695624468
same_step,126,20,0.15873015873015872,0.8412698412698413,8,2025-02-28,2025-08-29,49,0.4666666666666667,19,30,0.3877551020408163,0.12016954287776078
same_step,126,20,0.15873015873015872,0.8412698412698413,9,2025-03-28,2025-09-26,45,0.42857142857142855,19,26,0.4222222222222222,0.13111466900146024
same_step,126,20,0.15873015873015872,0.8412698412698413,10,2025-04-28,2025-11-03,40,0.38095238095238093,18,22,0.45,0.13015303080601912
same_step,126,20,0.15873015873015872,0.8412698412698413,11,2025-05-29,2025-12-01,40,0.38095238095238093,18,22,0.45,0.129832143347301
same_step,126,20,0.15873015873015872,0.8412698412698413,12,2025-06-27,2025-12-29,41,0.3904761904761905,18,23,0.43902439024390244,0.12513318690312178
same_step,126,20,0.15873015873015872,0.8412698412698413,13,2025-07-25,2026-01-28,39,0.37142857142857144,16,23,0.41025641025641024,0.13044694041474672
same_step,126,20,0.15873015873015872,0.8412698412698413,14,2025-08-22,2026-03-05,38,0.3619047619047619,16,22,0.42105263157894735,0.1355670755952621
