design,window_size,step,replacement_ratio,overlap_ratio,n_networks,n_transitions,mean_edge_count,sd_edge_count,mean_density,mean_abs_partial,mean_same_edges,mean_cross_edges,mean_same_industry_ratio,mean_turnover,mean_gross_edge_changes,mean_cross_change_share,same_state_change_rate,cross_state_change_rate,same_mean_persistence,cross_mean_persistence,same_persistent_rate_08,cross_persistent_rate_08,n_persistent_edges_08,n_always_edges
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,37,36,44.21621621621622,6.106167806839678,0.4211068211068211,0.1271772865994927,18.0,26.216216216216218,0.41184639612422275,0.13436599292265228,6.25,0.9174482924482924,0.029239766081871343,0.06621447028423773,0.9473684210526315,0.3048397234443746,0.8947368421052632,0.1511627906976744,30,16
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,19,18,47.94736842105263,6.932000546663811,0.4566416040100251,0.12131273894598606,18.789473684210527,29.157894736842106,0.39910161286858975,0.09742096441469947,4.777777777777778,0.9379629629629629,0.017543859649122806,0.05167958656330749,0.9889196675900278,0.3390452876376989,1.0,0.19767441860465115,36,29
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,10,9,54.4,2.6331223544175333,0.5180952380952382,0.11017430660180635,18.9,35.5,0.34825609223131737,0.06835225232755757,3.888888888888889,0.9722222222222222,0.005847953216374269,0.04392764857881137,0.994736842105263,0.4127906976744186,1.0,0.36046511627906974,50,43
same_step,126,20,0.15873015873015872,0.8412698412698413,19,18,44.421052631578945,6.602321052088713,0.4230576441102758,0.1272395486124953,17.94736842105263,26.473684210526315,0.4093058861600025,0.1870642438293721,9.055555555555555,0.8929753888087222,0.05263157894736842,0.09366925064599484,0.9445983379501385,0.3078335373317013,0.8947368421052632,0.12790697674418605,28,18
same_step,252,20,0.07936507936507936,0.9206349206349207,19,18,47.94736842105263,6.932000546663811,0.4566416040100251,0.12131273894598606,18.789473684210527,29.157894736842106,0.39910161286858975,0.09742096441469947,4.777777777777778,0.9379629629629629,0.017543859649122806,0.05167958656330749,0.9889196675900278,0.3390452876376989,1.0,0.19767441860465115,36,29
same_step,504,20,0.03968253968253968,0.9603174603174603,19,18,54.26315789473684,2.468515191661171,0.5167919799498746,0.11051227767364094,18.94736842105263,35.31578947368421,0.34991398657765843,0.05454492870347491,3.0555555555555554,0.9888888888888889,0.0029239766081871343,0.03488372093023256,0.9972299168975068,0.4106487148102815,1.0,0.3488372093023256,49,42
