network_date,regime,market_window_start,market_window_end,market_lookback,ew_cumulative_return_20,ew_annualized_volatility_20,ew_mean_abs_return_20,negative_day_share_20,mean_positive_stock_share_20,cross_sectional_dispersion_20,max_drawdown_20,mean_stock_cumulative_return_20,dispersion_stock_cumulative_return_20,z_ew_cumulative_return_20,z_ew_annualized_volatility_20,z_ew_mean_abs_return_20,z_negative_day_share_20,z_mean_positive_stock_share_20,z_cross_sectional_dispersion_20,z_max_drawdown_20,z_dispersion_stock_cumulative_return_20
2024-01-16,1,2023-12-19,2024-01-16,20,-0.01054719142255045,0.16110210747401296,0.007325199984258608,0.5,0.4833333333333333,0.012424391493274881,-0.053400853701622064,-0.008221225292610957,0.06948042033905019,-0.33406555446348174,-0.059149357854391876,-0.15064912425010435,0.1139251344875874,0.20162614135447962,-0.7726246306894443,-0.492491391837113,-0.22805138219766385
2024-02-21,1,2024-01-17,2024-02-21,20,0.06561181283070483,0.2527163400550373,0.011665775471074693,0.5,0.5499999999999999,0.0170012458019144,-0.04932481940435862,0.07034010322908983,0.1006299481026389,0.9221304668810588,1.0038488426206449,0.9182863583461917,0.1139251344875874,1.3699271473337156,0.4322891714069715,-0.3208223897850937,0.9773266512170493
2024-03-20,1,2024-02-22,2024-03-20,20,0.02445150826935305,0.16764998716731166,0.008804865164153132,0.45,0.5033333333333333,0.014210856302002833,-0.020407761716023987,0.02740021272115311,0.08198735384116436,0.24321651134454592,0.01682556585353461,0.21374186905379935,-0.32753476165181633,0.5521164431482508,-0.3023155581606119,0.8970678617689489,0.25592330349401177
2024-04-19,1,2024-03-21,2024-04-19,20,-0.029214530360226143,0.18981500096287904,0.009751163233704422,0.6,0.4666666666666666,0.015368361310192641,-0.056228303146256375,-0.026069757774939688,0.08203121551830773,-0.6419718504100429,0.2740057999111045,0.446782761149362,0.9968449267663949,-0.09044911014032937,0.002412026838308478,-0.6115741544229885,0.2576205973515178
2024-05-22,1,2024-04-22,2024-05-22,20,0.06593909084233829,0.14382589895164774,0.00698680997750707,0.35,0.5433333333333332,0.014545196550490918,-0.022835162043231882,0.06834520775932289,0.07545029927384508,0.92752871676784,-0.25960487718719805,-0.23398302462146892,-1.2104545539306244,1.2530970467357914,-0.21429633079757457,0.7948338368903325,0.002962101690797866
2024-06-20,1,2024-05-23,2024-06-20,20,-0.06678906955849995,0.1230108356117115,0.006413465176106807,0.7,0.38,0.011823459623038619,-0.0527634023771405,-0.06301155196060364,0.08821092349177119,-1.2617408075745338,-0.5011216617496556,-0.37517826563049494,1.8797647190452023,-1.6092404179133355,-0.9308274170880606,-0.46564406309801054,0.4967537328733266
2024-07-18,1,2024-06-21,2024-07-18,20,0.032653456884826015,0.12240331070385263,0.006267758488442315,0.55,0.5466666666666666,0.015204353189861066,-0.02757186674916212,0.03442302483144642,0.06280411836646241,0.37850261860203555,-0.5081707617159364,-0.41106084594023135,0.5553850306269916,1.3115120970347545,-0.04076514999914823,0.5953395955322371,-0.486400972704377
2024-08-15,2,2024-07-19,2024-08-15,20,-0.056138905736204614,0.15925767675572433,0.008059486090866241,0.65,0.39333333333333337,0.013700370662639077,-0.07552809885898637,-0.0548284117148381,0.051355176689436025,-1.0860728934334016,-0.08055025244473515,0.030180463004956047,1.438304822905799,-1.3755802167174878,-0.43670724973801767,-1.42441733192927,-0.9294350664496202
2024-09-12,2,2024-08-16,2024-09-12,20,-0.057012212314501376,0.1274207450183308,0.006209081847619357,0.55,0.4133333333333334,0.016635062726684406,-0.06326009734409843,-0.055497578421199796,0.05530781815938533,-1.1004775493217895,-0.44995356666848574,-0.4255108983735382,0.5553850306269916,-1.0250899149237167,0.33588692399309555,-0.9077299285265511,-0.7764816336399526
2024-10-21,2,2024-09-13,2024-10-21,20,0.2523964475709439,0.5629897039614364,0.027384114360661543,0.35,0.5800000000000001,0.02333484619990702,-0.11003343098246454,0.2568695012685068,0.1105892355854823,4.003028350324072,4.6039447905525686,4.789176340005566,-1.2104545539306244,1.8956626000243744,2.0996882236553973,-2.8776671083327425,1.3627163255450847
2024-11-18,2,2024-10-22,2024-11-18,20,0.018523781702868503,0.22035259730201248,0.011052753563828777,0.45,0.4499999999999999,0.018047090677409193,-0.04632583636089804,0.021830619170417034,0.08493734132813921,0.14544230064617086,0.6283329501890136,0.7673200014070387,-0.32753476165181633,-0.38252436163513936,0.7076208381713578,-0.19451520277554077,0.3700775257549432
2024-12-16,2,2024-11-19,2024-12-16,20,-0.012293449280787239,0.21338410629787935,0.009888087363085099,0.5,0.4800000000000001,0.012250834869931157,-0.04186402113727061,-0.011471961158797303,0.04197829757173854,-0.3628690058119798,0.5474776814307586,0.4805024973371484,0.1139251344875874,0.14321109105552035,-0.8183155696641358,-0.006598391748000222,-1.2922875692625073
2025-01-14,3,2024-12-17,2025-01-14,20,-0.023777088582396577,0.19465948929266272,0.008477008779491306,0.5,0.44333333333333336,0.01232061920395137,-0.07430240092392981,-0.022356313047767314,0.05481892128011699,-0.5522845863159863,0.33021630598315993,0.1330020400091869,0.1139251344875874,-0.4993544622330608,-0.7999439760846027,-1.3727950132776217,-0.7954002369442349
2025-02-19,3,2025-01-15,2025-02-19,20,0.06475559696415245,0.12179513771852725,0.005872081909081935,0.25,0.5700000000000001,0.014746765644039317,-0.015116209868435426,0.07069961920588377,0.12852589948520277,0.9080077117909515,-0.5152273813127513,-0.5085024724239319,-2.0933743462094316,1.7204174491274888,-0.1612307607543971,1.1199304185418208,2.056802631493463
2025-03-19,3,2025-02-20,2025-03-19,20,0.01910913437049344,0.1657889162123812,0.00713146643208259,0.55,0.44333333333333336,0.014105125573296337,-0.020807414041052352,0.021471310937913754,0.07229015436093224,0.15509733355217728,-0.004768405086491553,-0.19835908084903248,0.5553850306269916,-0.4993544622330608,-0.3301504870731815,0.8802358356372134,-0.11932447964495546
2025-04-17,3,2025-03-20,2025-04-17,20,-0.08466837164515428,0.2667559833568246,0.008947998184554157,0.6,0.4333333333333333,0.014391016986826738,-0.09951398074019113,-0.08071671060151422,0.08645015330776981,-1.556648919437253,1.166750557175884,0.248990643024567,0.9968449267663949,-0.6745996131299473,-0.2548860178910655,-2.43462286642355,0.4286180706637777
2025-05-20,3,2025-04-18,2025-05-20,20,0.028573367676684613,0.11296093613053262,0.005313185991494703,0.5,0.4866666666666667,0.012070512424346118,-0.02701881280685281,0.029444170483769527,0.043404232480534134,0.31120405186980377,-0.617730454537392,-0.6461394468762371,0.1139251344875874,0.2600411916534428,-0.865787695465269,0.618632387357104,-1.2371088638520662
2025-06-18,3,2025-05-21,2025-06-18,20,-0.015387847614881989,0.0924193824814072,0.00472365646591304,0.45,0.43666666666666665,0.009359639842552253,-0.025613110714924114,-0.013942584928894589,0.05473201132043054,-0.41390920668985365,-0.8560737113525396,-0.791320432634106,-0.32753476165181633,-0.6161845628309852,-1.579458607681635,0.677835882152486,-0.798763349126419
2025-07-16,3,2025-06-19,2025-07-16,20,0.05562961368220232,0.0930133420534671,0.004909502279069574,0.3,0.5700000000000001,0.011236472220030755,-0.007781174323694295,0.05673450179320283,0.049798705457593816,0.7574802199723785,-0.849182009719868,-0.7455529567364109,-1.651914450070028,1.7204174491274888,-1.0853591491132262,1.4288577091750714,-0.989665072077429
2025-08-13,3,2025-07-17,2025-08-13,20,0.03141714410740337,0.11769109028592165,0.005562453480575993,0.3,0.4933333333333333,0.012424413541845791,-0.02645145665483495,0.03263480564907269,0.052505778105515176,0.3581103983076196,-0.5628465657191222,-0.5847533784744815,-1.651914450070028,0.37687129225136523,-0.772618826129016,0.64252754066589,-0.8849108064774077
2025-09-10,3,2025-08-14,2025-09-10,20,0.05138126152492539,0.16161052756604663,0.008389730879846026,0.4,0.5266666666666666,0.016194797160856915,-0.029783355424467306,0.05434592878029434,0.0841490265367086,0.6874062591903393,-0.05325016918368873,0.11150847445303237,-0.7689946577912201,0.9610217952409832,0.21998153984049856,0.5021990510098646,0.3395724940184078
2025-10-16,3,2025-09-11,2025-10-16,20,0.039604945400816716,0.1479577400286403,0.007887614560283885,0.35,0.4466666666666666,0.02018986153644721,-0.027545582563478943,0.04495986707111158,0.11663438772987848,0.4931631541727397,-0.21166320365293062,-0.012145624410327634,-1.2104545539306244,-0.4409394119341006,1.2717319085000005,0.5964465979755215,1.5966426199919166
2025-11-13,4,2025-10-17,2025-11-13,20,0.02048167726680883,0.12209617813149709,0.0057453220096751,0.4,0.4966666666666667,0.01551829606889217,-0.015428507975242645,0.02212734757919684,0.06059551398807909,0.17773658602641645,-0.5117344151191613,-0.5397191059458832,-0.7689946577912201,0.4352863425503284,0.041884216247973075,1.1067774614201589,-0.5718662555944346
