stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,p_GLasso_W126,p_GLasso_W252,p_GLasso_W504,p_Partial_W252,mean_persistence_all_settings,min_persistence_all_settings,max_persistence_all_settings,persistence_range_all_settings,p_GLasso_W126_persistent08,p_GLasso_W252_persistent08,p_GLasso_W504_persistent08,p_Partial_W252_persistent08,n_settings_persistent08,glasso_multiscale_persistent,cross_method_W252_persistent,full_structural_consensus_core,always_in_all_settings,structural_robustness_class
000858,601318,五粮液,中国平安,食品饮料,非银金融,False,0.8108108108108109,1.0,1.0,0.4516129032258064,0.8156059285091544,0.4516129032258064,1.0,0.5483870967741936,True,True,True,False,3,True,False,False,False,Broadly robust edge
000568,600887,泸州老窖,伊利股份,食品饮料,食品饮料,True,1.0,1.0,1.0,0.2258064516129032,0.8064516129032258,0.2258064516129032,1.0,0.7741935483870968,True,True,True,False,3,True,False,False,False,Broadly robust edge
000001,000858,平安银行,五粮液,银行,食品饮料,False,0.5675675675675675,0.8947368421052632,1.0,0.7096774193548387,0.7929954572569173,0.5675675675675675,1.0,0.43243243243243246,False,True,True,False,2,False,False,False,False,Setting-sensitive edge
002415,002475,海康威视,立讯精密,电子,电子,True,0.7297297297297297,0.8947368421052632,1.0,0.4838709677419355,0.777084384894232,0.4838709677419355,1.0,0.5161290322580645,False,True,True,False,2,False,False,False,False,Setting-sensitive edge
600887,601318,伊利股份,中国平安,食品饮料,非银金融,False,0.8648648648648649,0.9473684210526316,1.0,0.1935483870967742,0.7514454182535677,0.1935483870967742,1.0,0.8064516129032258,True,True,True,False,3,True,False,False,False,Broadly robust edge
600036,601288,招商银行,农业银行,银行,银行,True,0.7567567567567568,1.0,1.0,0.2258064516129032,0.745640802092415,0.2258064516129032,1.0,0.7741935483870968,False,True,True,False,2,False,False,False,False,Setting-sensitive edge
002415,601318,海康威视,中国平安,电子,非银金融,False,0.4324324324324324,0.5789473684210527,1.0,0.9032258064516128,0.7286514018262744,0.4324324324324324,1.0,0.5675675675675675,False,False,True,True,2,False,False,False,False,Setting-sensitive edge
000858,600030,五粮液,中信证券,食品饮料,非银金融,False,0.6486486486486487,1.0,1.0,0.2258064516129032,0.7186137750653879,0.2258064516129032,1.0,0.7741935483870968,False,True,True,False,2,False,False,False,False,Setting-sensitive edge
000568,601318,泸州老窖,中国平安,食品饮料,非银金融,False,0.4864864864864865,0.6842105263157895,1.0,0.5806451612903226,0.6878355435231497,0.4864864864864865,1.0,0.5135135135135135,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
000001,000568,平安银行,泸州老窖,银行,食品饮料,False,0.5135135135135135,0.7894736842105263,1.0,0.3870967741935484,0.672520992979397,0.3870967741935484,1.0,0.6129032258064516,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
600030,600519,中信证券,贵州茅台,非银金融,食品饮料,False,0.7027027027027027,0.7894736842105263,0.9,0.2903225806451613,0.6706247418895976,0.2903225806451613,0.9,0.6096774193548387,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
000568,600030,泸州老窖,中信证券,食品饮料,非银金融,False,0.5135135135135135,0.8947368421052632,1.0,0.2580645161290322,0.6665787179369522,0.2580645161290322,1.0,0.7419354838709677,False,True,True,False,2,False,False,False,False,Setting-sensitive edge
000001,000725,平安银行,京东方A,银行,电子,False,0.5675675675675675,0.5789473684210527,0.9,0.6129032258064516,0.6648545404487679,0.5675675675675675,0.9,0.3324324324324325,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
002460,603501,赣锋锂业,韦尔股份,新能源,电子,False,0.4594594594594595,0.5789473684210527,1.0,0.4838709677419355,0.6305694489056118,0.4594594594594595,1.0,0.5405405405405406,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
000858,002460,五粮液,赣锋锂业,食品饮料,新能源,False,0.4324324324324324,0.6842105263157895,1.0,0.3548387096774194,0.6178704171064103,0.3548387096774194,1.0,0.6451612903225806,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
000858,002415,五粮液,海康威视,食品饮料,电子,False,0.3783783783783784,0.7368421052631579,1.0,0.3548387096774194,0.617514798329739,0.3548387096774194,1.0,0.6451612903225806,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
000725,601318,京东方A,中国平安,电子,非银金融,False,0.5675675675675675,0.6842105263157895,0.9,0.2580645161290322,0.6024606525030972,0.2580645161290322,0.9,0.6419354838709679,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
000568,002460,泸州老窖,赣锋锂业,食品饮料,新能源,False,0.3783783783783784,0.5263157894736842,1.0,0.4838709677419355,0.5971412838984995,0.3783783783783784,1.0,0.6216216216216216,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
600030,600887,中信证券,伊利股份,非银金融,食品饮料,False,0.4324324324324324,0.631578947368421,1.0,0.1935483870967742,0.5643899417244069,0.1935483870967742,1.0,0.8064516129032258,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
002475,600030,立讯精密,中信证券,电子,非银金融,False,0.5945945945945946,0.4736842105263157,0.7,0.4193548387096774,0.5469084109576469,0.4193548387096774,0.7,0.2806451612903226,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002415,600887,海康威视,伊利股份,电子,食品饮料,False,0.2702702702702703,0.3684210526315789,0.9,0.4193548387096774,0.4895115404028817,0.2702702702702703,0.9,0.6297297297297297,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
601288,603501,农业银行,韦尔股份,银行,电子,False,0.6216216216216216,0.2631578947368421,0.3,0.7096774193548387,0.47361423392832563,0.2631578947368421,0.7096774193548387,0.44651952461799665,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000725,000858,京东方A,五粮液,电子,食品饮料,False,0.2702702702702703,0.5263157894736842,0.7,0.2580645161290322,0.43866264396824667,0.2580645161290322,0.7,0.44193548387096776,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000725,600887,京东方A,伊利股份,电子,食品饮料,False,0.2972972972972973,0.4210526315789473,0.8,0.1935483870967742,0.4279745789932547,0.1935483870967742,0.8,0.6064516129032258,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
000568,002415,泸州老窖,海康威视,食品饮料,电子,False,0.1891891891891892,0.3684210526315789,0.9,0.2258064516129032,0.42085417335841785,0.1891891891891892,0.9,0.7108108108108109,False,False,True,False,1,False,False,False,False,Setting-sensitive edge
002460,600887,赣锋锂业,伊利股份,新能源,食品饮料,False,0.1351351351351351,0.4210526315789473,0.7,0.3870967741935484,0.41082113522690766,0.1351351351351351,0.7,0.5648648648648649,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002475,601318,立讯精密,中国平安,电子,非银金融,False,0.1891891891891892,0.4736842105263157,0.3,0.3548387096774194,0.32942802734823107,0.1891891891891892,0.4736842105263157,0.2844950213371265,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000001,600030,平安银行,中信证券,银行,非银金融,False,0.3243243243243243,0.0526315789473684,0.3,0.5806451612903226,0.31440026614050387,0.0526315789473684,0.5806451612903226,0.5280135823429543,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000568,600036,泸州老窖,招商银行,食品饮料,银行,False,0.1621621621621621,0.1052631578947368,0.4,0.5483870967741935,0.3039531042077731,0.1052631578947368,0.5483870967741935,0.4431239388794567,False,False,False,False,0,False,False,False,False,Nonpersistent edge
601398,603501,工商银行,韦尔股份,银行,电子,False,0.5945945945945946,0.3157894736842105,0.0,0.2903225806451613,0.3001766622309916,0.0,0.5945945945945946,0.5945945945945946,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000001,600519,平安银行,贵州茅台,银行,食品饮料,False,0.1621621621621621,0.0,0.0,0.967741935483871,0.28247602441150826,0.0,0.967741935483871,0.967741935483871,False,False,False,True,1,False,False,False,False,Setting-sensitive edge
002415,600519,海康威视,贵州茅台,电子,食品饮料,False,0.2432432432432432,0.4210526315789473,0.3,0.1612903225806451,0.2813965493507089,0.1612903225806451,0.4210526315789473,0.2597623089983022,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002460,601398,赣锋锂业,工商银行,新能源,银行,False,0.3513513513513513,0.1578947368421052,0.0,0.5161290322580645,0.2563437801128803,0.0,0.5161290322580645,0.5161290322580645,False,False,False,False,0,False,False,False,False,Nonpersistent edge
