window_id,window_start,network_date,window_size,step,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,partial_correlation,abs_partial_correlation,selected_threshold_020,abs_partial_rank
4,2023-04-06,2024-04-19,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.2509497806654396,0.2509497806654396,True,8
5,2023-05-09,2024-05-22,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.4426268360496607,0.4426268360496607,True,3
5,2023-05-09,2024-05-22,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.40297411910816,0.40297411910816,True,4
5,2023-05-09,2024-05-22,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8437721477538798,0.8437721477538798,True,1
5,2023-05-09,2024-05-22,252,20,601398,工商银行,银行,000568,泸州老窖,食品饮料,False,-0.23993304420585668,0.23993304420585668,True,9
5,2023-05-09,2024-05-22,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.2635012916839767,0.2635012916839767,True,8
5,2023-05-09,2024-05-22,252,20,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,True,0.2985775463183511,0.2985775463183511,True,5
5,2023-05-09,2024-05-22,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.6448237537696271,0.6448237537696271,True,2
5,2023-05-09,2024-05-22,252,20,002460,赣锋锂业,新能源,000725,京东方A,电子,False,0.23402920264697555,0.23402920264697555,True,10
5,2023-05-09,2024-05-22,252,20,002415,海康威视,电子,002475,立讯精密,电子,True,0.21568765657283248,0.21568765657283248,True,12
5,2023-05-09,2024-05-22,252,20,000725,京东方A,电子,603501,韦尔股份,电子,True,0.21926919889663501,0.21926919889663501,True,11
5,2023-05-09,2024-05-22,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.26920407184356404,0.26920407184356404,True,7
5,2023-05-09,2024-05-22,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.2719060153874002,0.2719060153874002,True,6
6,2023-06-06,2024-06-20,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.4103403509395001,0.4103403509395001,True,3
6,2023-06-06,2024-06-20,252,20,000001,平安银行,银行,601398,工商银行,银行,True,0.21958768354812522,0.21958768354812522,True,11
6,2023-06-06,2024-06-20,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.40186445739797494,0.40186445739797494,True,4
6,2023-06-06,2024-06-20,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8322863338038541,0.8322863338038541,True,1
6,2023-06-06,2024-06-20,252,20,601398,工商银行,银行,000568,泸州老窖,食品饮料,False,-0.23758404104483047,0.23758404104483047,True,9
6,2023-06-06,2024-06-20,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.26520683473832374,0.26520683473832374,True,8
6,2023-06-06,2024-06-20,252,20,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,True,0.29226666554506797,0.29226666554506797,True,5
