design,window_size,step,overlap_ratio,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,n_windows,windows_selected,persistence,persistent_08,always_selected,mean_abs_partial_when_selected
fixed_overlap,126,10,0.9206349206349207,002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,37,32,0.8648648648648649,True,False,0.07321930252246775
fixed_overlap,126,10,0.9206349206349207,002460,赣锋锂业,新能源,601318,中国平安,非银金融,False,37,4,0.10810810810810811,False,False,0.01369124540804323
fixed_overlap,126,10,0.9206349206349207,002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,37,17,0.4594594594594595,False,False,0.09102128772406698
fixed_overlap,126,10,0.9206349206349207,002475,立讯精密,电子,600030,中信证券,非银金融,False,37,22,0.5945945945945946,False,False,0.07891308947499182
fixed_overlap,126,10,0.9206349206349207,002475,立讯精密,电子,601318,中国平安,非银金融,False,37,7,0.1891891891891892,False,False,0.07874821026361582
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,000568,泸州老窖,食品饮料,False,37,6,0.16216216216216217,False,False,0.019281957953784904
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,000725,京东方A,电子,False,37,1,0.02702702702702703,False,False,0.021657679947890484
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,000858,五粮液,食品饮料,False,37,2,0.05405405405405406,False,False,0.014960647212633939
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,002415,海康威视,电子,False,37,2,0.05405405405405406,False,False,0.010311381217217122
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,002460,赣锋锂业,新能源,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,002475,立讯精密,电子,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,600030,中信证券,非银金融,False,37,3,0.08108108108108109,False,False,0.00655621930740526
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,600519,贵州茅台,食品饮料,False,37,37,1.0,True,True,0.06009424749715696
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,600887,伊利股份,食品饮料,False,37,7,0.1891891891891892,False,False,0.020715872436614397
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,601288,农业银行,银行,True,37,28,0.7567567567567568,False,False,0.07854775543626448
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,601318,中国平安,非银金融,False,37,35,0.9459459459459459,True,False,0.12106916440115884
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,601398,工商银行,银行,True,37,37,1.0,True,True,0.23534480724067425
fixed_overlap,126,10,0.9206349206349207,600036,招商银行,银行,603501,韦尔股份,电子,False,37,7,0.1891891891891892,False,False,0.04488661478309535
fixed_overlap,126,10,0.9206349206349207,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,True,37,37,1.0,True,True,0.22695811407565292
fixed_overlap,126,10,0.9206349206349207,600519,贵州茅台,食品饮料,000725,京东方A,电子,False,37,5,0.13513513513513514,False,False,0.010591730627083119
fixed_overlap,126,10,0.9206349206349207,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,37,37,1.0,True,True,0.3140750089399543
fixed_overlap,126,10,0.9206349206349207,600519,贵州茅台,食品饮料,002415,海康威视,电子,False,37,9,0.24324324324324326,False,False,0.04400756240203715
