window_id,window_start,network_date,window_size,step,min_cov_eigenvalue,max_cov_eigenvalue,cov_condition_number,condition_warning,inverse_identity_max_error
1,2023-01-04,2024-01-16,252,20,0.10384914905641245,5.793099463384895,55.783793281136994,False,2.220446049250313e-15
2,2023-02-08,2024-02-21,252,20,0.09496672006276324,6.022117108340751,63.41292090914323,False,1.1722875909750254e-15
3,2023-03-08,2024-03-20,252,20,0.08825321206522016,5.952558450995195,67.44863231262545,False,1.1102230246251565e-15
4,2023-04-06,2024-04-19,252,20,0.0823632937202873,6.063724652649411,73.62168726814558,False,1.588810404871208e-15
5,2023-05-09,2024-05-22,252,20,0.08555040641120729,6.315039626096995,73.81659411111472,False,1.1105776082756948e-15
6,2023-06-06,2024-06-20,252,20,0.08858252551393232,6.328074116205633,71.4370478770144,False,1.5543122344752192e-15
7,2023-07-06,2024-07-18,252,20,0.09262184403151204,6.221375712237879,67.16963775976245,False,1.127622878150188e-15
8,2023-08-03,2024-08-15,252,20,0.09342499056097077,6.038268631909935,64.63226376211679,False,1.9984014443252818e-15
9,2023-08-31,2024-09-12,252,20,0.11050081080284224,5.960324262453753,53.93919030230722,False,1.2815896483972502e-15
10,2023-09-28,2024-10-21,252,20,0.07041761061500633,7.299528436331203,103.66055270236106,False,1.7763568394002505e-15
11,2023-11-03,2024-11-18,252,20,0.06516069775501991,7.356784079540825,112.90216853109229,False,2.3629752913818367e-15
12,2023-12-01,2024-12-16,252,20,0.06189954731914869,7.490651534027965,121.0130260792832,False,2.6667386575339797e-15
13,2023-12-29,2025-01-14,252,20,0.0611070147830048,7.511454694206908,122.92295280469187,False,2.5666220367859707e-15
14,2024-01-29,2025-02-19,252,20,0.060608921244188485,7.38954143384748,121.9216788907298,False,1.5543122344752192e-15
15,2024-03-05,2025-03-19,252,20,0.0630218348256729,7.278693920998235,115.49479543291793,False,2.220446049250313e-15
16,2024-04-02,2025-04-17,252,20,0.06433790062386756,7.4960807119310395,116.51111769646714,False,3.1086244689504383e-15
17,2024-05-07,2025-05-20,252,20,0.06722951157548022,7.493324271838732,111.45885335528271,False,1.8588817186581922e-15
18,2024-06-04,2025-06-18,252,20,0.06728961678777608,7.513229785140622,111.65511328198684,False,2.124625508325364e-15
19,2024-07-03,2025-07-16,252,20,0.06591787629802909,7.553537364292543,114.59012013890366,False,1.9322083759900226e-15
20,2024-07-31,2025-08-13,252,20,0.06663030210796327,7.58149196580238,113.78444530414765,False,2.593910886028025e-15
21,2024-08-28,2025-09-10,252,20,0.06394016116183716,7.554175786335538,118.14445958644636,False,1.887379141862766e-15
22,2024-09-27,2025-10-16,252,20,0.06954629902025741,7.238914435849493,104.0877018307034,False,1.7763568394002505e-15
23,2024-11-01,2025-11-13,252,20,0.10267271789791818,6.110678444643291,59.516087328269634,False,1.3356419850444844e-15
24,2024-11-29,2025-12-11,252,20,0.11585621170513162,5.690147147279198,49.113871958469744,False,8.881784197001252e-16
25,2024-12-27,2026-01-12,252,20,0.12089088422146084,5.455625928652561,45.12851373192343,False,1.1102230246251565e-15
26,2025-01-27,2026-02-09,252,20,0.12098718011999614,5.142514566253814,42.504623722558236,False,1.3346452835946103e-15
27,2025-03-04,2026-03-17,252,20,0.13447319812737651,5.172440204114742,38.464469322840614,False,5.551115123125783e-16
28,2025-04-01,2026-04-15,252,20,0.13240084348195955,5.259993288091703,39.72779288833164,False,1.2212453270876722e-15
29,2025-04-30,2026-05-18,252,20,0.16072164250492085,4.558033396405882,28.359798502347484,False,8.881784197001252e-16
30,2025-06-03,2026-06-15,252,20,0.15686399828352393,4.50425448631174,28.714392949301995,False,8.607581123068606e-16
31,2025-07-01,2026-07-14,252,20,0.145937884797463,4.657036469000566,31.911086524679604,False,1.0062192564061135e-15
