window_id,window_start,network_date,window_size,step,mean_abs_partial_all_pairs,median_abs_partial_all_pairs,max_abs_partial,mean_abs_partial_same_pairs,mean_abs_partial_cross_pairs,threshold,threshold_edge_count,threshold_density,threshold_same_edges,threshold_cross_edges,threshold_same_ratio
14,2024-01-29,2025-02-19,252,20,0.10707078054016222,0.0673176870904756,0.8263814665784219,0.24779693033183467,0.07598011953967646,0.2,14,0.13333333333333333,10,4,0.7142857142857143
15,2024-03-05,2025-03-19,252,20,0.10320609005461964,0.061898536100556914,0.8162711715781991,0.24541466167449985,0.07178791725487867,0.2,14,0.13333333333333333,10,4,0.7142857142857143
16,2024-04-02,2025-04-17,252,20,0.10481030263601192,0.06846593329599031,0.7957611420871136,0.24011509778340265,0.07491738277786744,0.2,15,0.14285714285714285,10,5,0.6666666666666666
17,2024-05-07,2025-05-20,252,20,0.10135743582752164,0.05747632628222768,0.8017554762000897,0.24251549253653282,0.07017135353134475,0.2,15,0.14285714285714285,11,4,0.7333333333333333
18,2024-06-04,2025-06-18,252,20,0.10180505884251873,0.05981274602916274,0.7997826730063572,0.24315566554853107,0.07057643643072534,0.2,15,0.14285714285714285,11,4,0.7333333333333333
19,2024-07-03,2025-07-16,252,20,0.10352852638077288,0.06841078738504108,0.8018410935153995,0.24724356221473995,0.07177753009187318,0.2,14,0.13333333333333333,10,4,0.7142857142857143
20,2024-07-31,2025-08-13,252,20,0.10894444760848893,0.08046480631949166,0.7934337397832225,0.24875906872330117,0.07805517085056528,0.2,15,0.14285714285714285,11,4,0.7333333333333333
21,2024-08-28,2025-09-10,252,20,0.10533394490077838,0.06780452637387437,0.757818260854294,0.2477245966854663,0.07387554508788226,0.2,14,0.13333333333333333,11,3,0.7857142857142857
22,2024-09-27,2025-10-16,252,20,0.10864943406497819,0.07254226139078045,0.7149611774324384,0.25229416213001005,0.07691397088781998,0.2,15,0.14285714285714285,11,4,0.7333333333333333
23,2024-11-01,2025-11-13,252,20,0.09963223444872525,0.055789272389763056,0.633842315837358,0.2577780547030681,0.06469304160183556,0.2,13,0.12380952380952381,11,2,0.8461538461538461
24,2024-11-29,2025-12-11,252,20,0.09896517759593572,0.06476519451872315,0.6423307470282689,0.2559907080974641,0.06427349062466783,0.2,13,0.12380952380952381,10,3,0.7692307692307693
25,2024-12-27,2026-01-12,252,20,0.10312065898702853,0.0593070533478304,0.657921194627528,0.25331604563450866,0.06993795728584108,0.2,14,0.13333333333333333,10,4,0.7142857142857143
26,2025-01-27,2026-02-09,252,20,0.10154967553337012,0.06403729631273966,0.6536401353343548,0.24884670054615898,0.06900730954217262,0.2,11,0.10476190476190476,8,3,0.7272727272727273
27,2025-03-04,2026-03-17,252,20,0.09942403126610187,0.0610087731519592,0.6517098327165407,0.24838321990499965,0.06651444307843841,0.2,11,0.10476190476190476,9,2,0.8181818181818182
28,2025-04-01,2026-04-15,252,20,0.11170107256673009,0.0844081739921924,0.6228924813020946,0.2574441344334905,0.07950202401477138,0.2,12,0.11428571428571428,9,3,0.75
29,2025-04-30,2026-05-18,252,20,0.11410432212382775,0.09137947163374956,0.6058201192938305,0.2520955165381647,0.08361789545089283,0.2,14,0.13333333333333333,9,5,0.6428571428571429
30,2025-06-03,2026-06-15,252,20,0.11458876937787082,0.08438916591882734,0.625129245192441,0.25026360745252435,0.0846140958497497,0.2,12,0.11428571428571428,8,4,0.6666666666666666
31,2025-07-01,2026-07-14,252,20,0.1136661686743125,0.0792185050196875,0.6294028214833748,0.25555830101576066,0.08231790687794607,0.2,11,0.10476190476190476,9,2,0.8181818181818182
