window_id,window_start,network_date,window_size,step,mean_abs_partial_all_pairs,median_abs_partial_all_pairs,max_abs_partial,mean_abs_partial_same_pairs,mean_abs_partial_cross_pairs,threshold,threshold_edge_count,threshold_density,threshold_same_edges,threshold_cross_edges,threshold_same_ratio
1,2023-01-04,2024-01-16,252,20,0.10407019041231376,0.07637042212761971,0.8383835226327634,0.2443223453041176,0.07308424921528735,0.2,11,0.10476190476190476,8,3,0.7272727272727273
2,2023-02-08,2024-02-21,252,20,0.10180704209335878,0.06885065947677288,0.847760450494019,0.2395696678558244,0.07137111314583731,0.2,10,0.09523809523809523,9,1,0.9
3,2023-03-08,2024-03-20,252,20,0.10549364874955652,0.08020934732059025,0.8496058202968376,0.23942900792671631,0.07590327869878867,0.2,11,0.10476190476190476,10,1,0.9090909090909091
4,2023-04-06,2024-04-19,252,20,0.10177936008897116,0.07189598831922968,0.8588151250829542,0.23403330857421042,0.07256046449339505,0.2,13,0.12380952380952381,10,3,0.7692307692307693
5,2023-05-09,2024-05-22,252,20,0.10796704294555488,0.08481822585151587,0.8437721477538798,0.24090697611607306,0.07859659259392877,0.2,12,0.11428571428571428,9,3,0.75
6,2023-06-06,2024-06-20,252,20,0.10501818131641334,0.07879101337124791,0.8322863338038541,0.23569452104846206,0.07614782718956538,0.2,12,0.11428571428571428,9,3,0.75
7,2023-07-06,2024-07-18,252,20,0.10661162572579647,0.07701329445262241,0.8309442644870133,0.23061586142244847,0.07921534109514078,0.2,12,0.11428571428571428,8,4,0.6666666666666666
8,2023-08-03,2024-08-15,252,20,0.1063623164029247,0.08022495416435264,0.8353658711074501,0.23560377068846283,0.0778089718514686,0.2,13,0.12380952380952381,7,6,0.5384615384615384
9,2023-08-31,2024-09-12,252,20,0.100437420853325,0.0646190914537788,0.8034586208613937,0.23617924713265745,0.0704479476055655,0.2,10,0.09523809523809523,7,3,0.7
10,2023-09-28,2024-10-21,252,20,0.10529983055598667,0.0659151011923099,0.8303453917255151,0.24762122302636816,0.07385673221950702,0.2,16,0.1523809523809524,11,5,0.6875
11,2023-11-03,2024-11-18,252,20,0.10733765386749097,0.07488072184081461,0.8366216421008756,0.24560798103413456,0.07678955833067437,0.2,13,0.12380952380952381,9,4,0.6923076923076923
12,2023-12-01,2024-12-16,252,20,0.10560583121631319,0.06985417938439802,0.8348284809563492,0.24512466474233832,0.07478190287916811,0.2,14,0.13333333333333333,10,4,0.7142857142857143
13,2023-12-29,2025-01-14,252,20,0.10750002226991441,0.06404507462582831,0.8281139097023137,0.2483829401896129,0.07637472645044616,0.2,13,0.12380952380952381,9,4,0.6923076923076923
