factor_order,factor_name,neutralization,window,month_count,mean_q1_return,mean_q5_return,mean_q5_minus_q1,mean_q5_minus_q1_bps,positive_spread_share,negative_spread_share,mean_portfolio_spearman,hac_lag,hac_spread_se,hac_spread_t_stat
1,residual_degree_percentile,INDUSTRY_NEUTRAL,60,136,-0.0016892617305047251,-0.0021014710053939263,-0.0004122092748892021,-4.122092748892021,0.5073529411764706,0.49264705882352944,-0.025000000000000015,4,0.0018468520011325868,-0.22319561861828324
1,residual_degree_percentile,INDUSTRY_NEUTRAL,120,133,-0.00040981468282837624,-0.0013251014126585367,-0.00091528672983016,-9.1528672983016,0.47368421052631576,0.5263157894736842,-0.01729323308270677,4,0.0017909171025592095,-0.5110715222509299
1,residual_degree_percentile,INDUSTRY_NEUTRAL,252,127,-0.0010167529341964228,-0.000666697212696458,0.00035005572149996513,3.500557214999651,0.5354330708661418,0.4645669291338583,0.04173228346456692,4,0.001786594586071465,0.19593461450574587
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,136,-0.002674722276574532,-0.0005631295981633114,0.0021115926784112202,21.1159267841122,0.5294117647058824,0.47058823529411764,0.021323529411764703,4,0.0017223871024036265,1.225968700917726
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,133,-0.0022138789616369748,0.000647100400333789,0.002860979361970765,28.60979361970765,0.556390977443609,0.44360902255639095,0.041353383458646614,4,0.0015834788875247374,1.8067682395456441
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,127,-0.002500608797324114,0.0006614868203951507,0.0031620956177192635,31.620956177192635,0.5984251968503937,0.4015748031496063,0.09448818897637794,4,0.0015956781894133974,1.9816624922859363
1,residual_degree_percentile,RAW,60,133,-0.0013405621357920814,-0.003648928049339035,-0.002308365913546955,-23.08365913546955,0.48120300751879697,0.518796992481203,-0.05187969924812029,4,0.002685757569882823,-0.8594840947046708
1,residual_degree_percentile,RAW,120,128,-0.0003157732987975396,-0.0011001660622561315,-0.0007843927634585916,-7.843927634585915,0.4921875,0.5078125,-0.038281249999999975,4,0.002182132384825414,-0.3594615839594666
1,residual_degree_percentile,RAW,252,119,-0.0001865959425933807,-0.0007449226714767504,-0.0005583267288833699,-5.583267288833699,0.5210084033613446,0.4789915966386555,0.006722689075630255,4,0.0024207106478651838,-0.23064579377785457
2,delta_degree_percentile,INDUSTRY_NEUTRAL,60,136,0.004137128215429593,-0.006366418034536468,-0.01050354624996606,-105.03546249966061,0.33088235294117646,0.6691176470588235,-0.29999999999999993,4,0.002096526708850821,-5.009974929307444
2,delta_degree_percentile,INDUSTRY_NEUTRAL,120,133,0.005185966869791988,-0.0050005824504908095,-0.010186549320282798,-101.86549320282798,0.3233082706766917,0.6766917293233082,-0.2781954887218045,4,0.002177380984016672,-4.678349537843121
2,delta_degree_percentile,INDUSTRY_NEUTRAL,252,127,0.004737502838185851,-0.004473668419848294,-0.009211171258034143,-92.11171258034143,0.36220472440944884,0.6377952755905512,-0.24881889763779527,4,0.002245879502957806,-4.101364853235937
