analysis_date,window,factor_order,factor_name,raw_nonmissing_n,industry_neutral_n,industry_size_neutral_n,industry_count,size_beta,industry_residual_max_abs_mean,industry_size_residual_max_abs_mean,industry_size_residual_logsize_corr
2015-04-30,60,1,residual_degree_percentile,1993,1993,1993,28,0.061131928644171565,5.4220194225879736e-17,1.8008850225024341e-16,8.914657490349468e-17
2015-04-30,60,2,delta_degree_percentile,1993,1993,1993,28,0.08678277558656619,2.2726041779239783e-17,2.2680270360199625e-16,1.398264230733585e-16
2015-04-30,60,3,cross_industry_degree_percentile,1993,1993,1993,28,0.04965423721443624,9.251858538542972e-17,1.4056856037592708e-16,5.862290557937661e-17
2015-04-30,60,4,cross_industry_degree_ratio,1986,1986,1986,28,-0.02801665095555853,1.299197156476247e-16,1.372807879550413e-16,-5.824237961553926e-17
2015-04-30,60,5,delta_residual_degree_percentile_1m,0,0,0,0,,,,
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,0,0,0,0,,,,
2015-04-30,60,7,neighbor_jaccard_1m,0,0,0,0,,,,
2015-04-30,60,8,neighbor_retention_1m,0,0,0,0,,,,
2015-04-30,60,9,outside_community_degree_percentile,1993,1993,1993,28,0.04461704949517612,7.930164461608261e-17,1.5860328923216522e-16,2.2950784834592393e-17
2015-05-29,60,1,residual_degree_percentile,1914,1914,1914,28,0.06633890941122877,4.839433697084016e-17,2.2898349882893854e-16,1.4217952419016518e-17
2015-05-29,60,2,delta_degree_percentile,1914,1914,1914,28,0.07465798881232094,2.901719268906659e-17,2.763992738389713e-16,3.061526724766747e-17
2015-05-29,60,3,cross_industry_degree_percentile,1914,1914,1914,28,0.060348969463679354,5.415722071342227e-17,2.139492287038062e-16,-1.709142938460486e-17
2015-05-29,60,4,cross_industry_degree_ratio,1898,1898,1898,28,-0.022745619657350464,1.27675647831893e-16,1.0566596330862235e-16,-1.695301987113415e-17
2015-05-29,60,5,delta_residual_degree_percentile_1m,1819,1819,1819,28,0.009005505932408956,1.206764157201257e-17,3.23815048849004e-17,-1.9060201127137896e-17
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,1819,1819,1819,28,0.014027144265623265,1.2195631709897553e-17,5.146346312064528e-17,-4.965490444927796e-17
2015-05-29,60,7,neighbor_jaccard_1m,1816,1816,1816,28,0.04401561967069353,2.850572630794321e-17,1.6768993601109136e-16,2.977308674946815e-18
2015-05-29,60,8,neighbor_retention_1m,1812,1812,1812,28,0.06494129343757006,3.8517941670668696e-17,2.1973164029039557e-16,7.342107139965137e-17
2015-05-29,60,9,outside_community_degree_percentile,1914,1914,1914,28,0.039423729594056926,1.1956247957501685e-16,2.156394720906554e-16,-7.834286533274906e-18
2015-06-30,60,1,residual_degree_percentile,1802,1802,1802,28,0.07761074030659994,5.3097622916855314e-17,1.9282820954015878e-16,1.398499779574514e-17
2015-06-30,60,2,delta_degree_percentile,1802,1802,1802,28,0.0886173913467817,2.1488187573390126e-17,2.3156080227896124e-16,-2.466146714313718e-17
