factor_order,factor_name,neutralization,target_name,window,month_count,mean_risk_ic,median_risk_ic,positive_ic_share,negative_ic_share,hac_lag,hac_risk_ic_se,hac_risk_ic_t_stat
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,60,136,-0.0808710985519232,-0.09435943686295073,0.16911764705882354,0.8308823529411765,4,0.014867375315755256,-5.439500707715536
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,120,133,-0.0835232705779041,-0.09473702977565979,0.16541353383458646,0.8345864661654135,4,0.0159324241579728,-5.242345405178529
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,252,127,-0.08296888851772412,-0.07116558732420925,0.2047244094488189,0.7952755905511811,4,0.016183018243627483,-5.126910646003593
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,60,136,-0.10520000088916016,-0.10678493142287765,0.07352941176470588,0.9264705882352942,4,0.009696502682364608,-10.849272602223
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,120,133,-0.08930705089462644,-0.08786790679544272,0.11278195488721804,0.8872180451127819,4,0.010393405965101367,-8.592664540815464
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,252,127,-0.0677569882255801,-0.06847289637178093,0.15748031496062992,0.84251968503937,4,0.010960533979590402,-6.18190576770715
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,60,136,-0.07269352496388425,-0.08850408368317425,0.21323529411764705,0.7867647058823529,4,0.01208834565215639,-6.013521374690072
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,120,133,-0.07285582099408724,-0.0778914872087054,0.17293233082706766,0.8270676691729323,4,0.012058311100890475,-6.0419589762207275
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,252,127,-0.07268341379313513,-0.07002248150366992,0.16535433070866143,0.8346456692913385,4,0.012334364603932982,-5.892757035085457
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_realized_vol_annualized,60,136,-0.08846505034013484,-0.09656371974006919,0.13970588235294118,0.8602941176470589,4,0.013865601821660974,-6.3801810752948285
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_realized_vol_annualized,120,133,-0.08883197038175826,-0.09358283189743483,0.18045112781954886,0.8195488721804511,4,0.01558189858258583,-5.7009721832637235
1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_realized_vol_annualized,252,127,-0.08434318460049266,-0.07844162806130965,0.1968503937007874,0.8031496062992126,4,0.015985517438587376,-5.276224865696057
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,60,136,-0.06685438344549191,-0.07241435473103645,0.22794117647058823,0.7720588235294118,4,0.014936551411551608,-4.4758914961982565
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,120,133,-0.062035986152022334,-0.07967065651247555,0.24812030075187969,0.7518796992481203,4,0.015230070360953009,-4.073256700840382
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,252,127,-0.05635727848488111,-0.06472940600116539,0.25196850393700787,0.7480314960629921,4,0.014716635549708687,-3.8294947438578575
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,60,136,-0.10753000315029644,-0.10816325337479418,0.07352941176470588,0.9264705882352942,4,0.009918076253506498,-10.841820571028542
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,120,133,-0.09657348779679481,-0.10242147492312528,0.09022556390977443,0.9097744360902256,4,0.009828449879376859,-9.825912425868497
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,252,127,-0.08419848457129848,-0.09188335341239415,0.10236220472440945,0.8976377952755905,4,0.0098260102449344,-8.56893922074886
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,60,136,-0.06471217024914204,-0.06422434347318581,0.22058823529411764,0.7794117647058824,4,0.012309367117664144,-5.257148448865337
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,120,133,-0.061107789910611644,-0.06696014212007297,0.23308270676691728,0.7669172932330827,4,0.012128381422701708,-5.038412610954919
