analysis_date,window,factor_order,factor_name,neutralization,target_name,pair_n,alpha_rank_ic,ic_status
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1819,0.007461823221248214,PASS
2015-05-29,60,7,neighbor_jaccard_1m,RAW,future_excess_return,1816,0.19344100830124963,PASS
2015-05-29,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,1816,0.1584520467710396,PASS
2015-05-29,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1816,0.1629374018597507,PASS
2015-05-29,60,8,neighbor_retention_1m,RAW,future_excess_return,1812,0.17473994086371383,PASS
2015-05-29,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,1812,0.15480338747248898,PASS
2015-05-29,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1812,0.1601868636929559,PASS
2015-05-29,60,9,outside_community_degree_percentile,RAW,future_excess_return,1914,0.2922582589193648,PASS
2015-05-29,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1914,0.2040148165735211,PASS
2015-05-29,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1914,0.20459275197265703,PASS
2015-06-30,60,1,residual_degree_percentile,RAW,future_excess_return,1802,-0.0031062658063164515,PASS
2015-06-30,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1802,0.009429845496335642,PASS
2015-06-30,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1802,-0.031148115556738968,PASS
2015-06-30,60,2,delta_degree_percentile,RAW,future_excess_return,1802,-0.04782468234650194,PASS
2015-06-30,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1802,-0.04712957569279614,PASS
2015-06-30,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1802,-0.08840402302741081,PASS
2015-06-30,60,3,cross_industry_degree_percentile,RAW,future_excess_return,1802,-0.0012691510200077839,PASS
2015-06-30,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1802,0.012520267038594761,PASS
2015-06-30,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1802,-0.02336440713917039,PASS
2015-06-30,60,4,cross_industry_degree_ratio,RAW,future_excess_return,1780,0.02177405845466789,PASS
2015-06-30,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_excess_return,1780,0.01693905517365737,PASS
2015-06-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1780,0.04750938035767507,PASS
2015-06-30,60,5,delta_residual_degree_percentile_1m,RAW,future_excess_return,1663,0.010137221477397143,PASS
2015-06-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1663,0.01471537298164827,PASS
2015-06-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1663,0.012234858326051342,PASS
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_excess_return,1663,0.015543689132536448,PASS
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1663,0.02543644938593655,PASS
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1663,0.024716023536570347,PASS
2015-06-30,60,7,neighbor_jaccard_1m,RAW,future_excess_return,1662,0.06438702646415072,PASS
2015-06-30,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,1662,0.07767277417717489,PASS
2015-06-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1662,0.02520723252773179,PASS
2015-06-30,60,8,neighbor_retention_1m,RAW,future_excess_return,1646,0.06701100925955777,PASS
2015-06-30,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,1646,0.07252784706818943,PASS
2015-06-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1646,0.034847281132105265,PASS
2015-06-30,60,9,outside_community_degree_percentile,RAW,future_excess_return,1802,-0.045829862608625684,PASS
2015-06-30,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1802,-0.02116344765625464,PASS
2015-06-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1802,-0.054979048829806226,PASS
2015-07-31,60,1,residual_degree_percentile,RAW,future_excess_return,1572,-0.016578795008965346,PASS
2015-07-31,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1572,-0.018049770928627955,PASS
2015-07-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1572,0.0010055196902799598,PASS
2015-07-31,60,2,delta_degree_percentile,RAW,future_excess_return,1572,-0.17630746633626354,PASS
2015-07-31,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1572,-0.16385328981848216,PASS
2015-07-31,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1572,-0.15512749805280368,PASS
2015-07-31,60,3,cross_industry_degree_percentile,RAW,future_excess_return,1572,-0.011291731093373362,PASS
2015-07-31,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1572,-0.017035929955826683,PASS
2015-07-31,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1572,0.00169696072432438,PASS
2015-07-31,60,4,cross_industry_degree_ratio,RAW,future_excess_return,1374,0.014880508351385208,PASS
2015-07-31,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_excess_return,1374,0.007283367542647955,PASS
2015-07-31,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1374,0.00518175417529185,PASS
2015-07-31,60,5,delta_residual_degree_percentile_1m,RAW,future_excess_return,1423,0.009721755340829464,PASS
2015-07-31,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1423,0.007892091034346512,PASS
2015-07-31,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1423,0.008749202040007618,PASS
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_excess_return,1423,0.013938355006780177,PASS
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1423,0.01908519977005891,PASS
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1423,0.020253277463492314,PASS
2015-07-31,60,7,neighbor_jaccard_1m,RAW,future_excess_return,1412,0.025439658432622823,PASS
2015-07-31,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,1412,0.0367519635792557,PASS
2015-07-31,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1412,0.050993340168504785,PASS
2015-07-31,60,8,neighbor_retention_1m,RAW,future_excess_return,1393,0.030836498990444917,PASS
2015-07-31,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,1393,0.03068012530532197,PASS
2015-07-31,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1393,0.056074504739148885,PASS
2015-07-31,60,9,outside_community_degree_percentile,RAW,future_excess_return,1572,0.03840482515788846,PASS
2015-07-31,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1572,0.00032328367947992486,PASS
2015-07-31,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1572,0.05052768762790714,PASS
2015-07-31,120,1,residual_degree_percentile,RAW,future_excess_return,1534,0.07301782219206353,PASS
2015-07-31,120,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1534,0.06583513044371958,PASS
2015-07-31,120,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1534,0.0826648975923207,PASS
2015-07-31,120,2,delta_degree_percentile,RAW,future_excess_return,1534,-0.12031261490689339,PASS
2015-07-31,120,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1534,-0.11660251790871615,PASS
2015-07-31,120,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1534,-0.11704191722567564,PASS
2015-07-31,120,3,cross_industry_degree_percentile,RAW,future_excess_return,1534,0.07195775840364206,PASS
2015-07-31,120,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1534,0.05906726010664757,PASS
2015-07-31,120,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1534,0.07484208166193389,PASS
2015-07-31,120,4,cross_industry_degree_ratio,RAW,future_excess_return,1277,-0.016312424581664067,PASS
2015-07-31,120,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_excess_return,1277,-0.05581316711310548,PASS
2015-07-31,120,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1277,-0.056686799546526764,PASS
2015-07-31,120,5,delta_residual_degree_percentile_1m,RAW,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,6,delta_cross_industry_degree_percentile_1m,RAW,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,7,neighbor_jaccard_1m,RAW,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,8,neighbor_retention_1m,RAW,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-07-31,120,9,outside_community_degree_percentile,RAW,future_excess_return,1534,0.1135392397676397,PASS
2015-07-31,120,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1534,0.06641791167008468,PASS
2015-07-31,120,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1534,0.11254804666742058,PASS
2015-08-31,60,1,residual_degree_percentile,RAW,future_excess_return,1645,-0.03321992185818025,PASS
2015-08-31,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1645,-0.02378449040957673,PASS
2015-08-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1645,0.028555459083092823,PASS
2015-08-31,60,2,delta_degree_percentile,RAW,future_excess_return,1645,-0.04016244087709791,PASS
2015-08-31,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1645,-0.054687002870981674,PASS
2015-08-31,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1645,0.013785854878377293,PASS
2015-08-31,60,3,cross_industry_degree_percentile,RAW,future_excess_return,1645,-0.02287373259339289,PASS
2015-08-31,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1645,-0.016276310784994044,PASS
2015-08-31,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1645,0.03191164362242721,PASS
2015-08-31,60,4,cross_industry_degree_ratio,RAW,future_excess_return,1463,0.03627775853520284,PASS
2015-08-31,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_excess_return,1463,0.034274611126115205,PASS
2015-08-31,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1463,0.002088363258416801,PASS
2015-08-31,60,5,delta_residual_degree_percentile_1m,RAW,future_excess_return,1455,0.04170711861556936,PASS
2015-08-31,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1455,0.03057880660589377,PASS
2015-08-31,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1455,0.03375413118366593,PASS
2015-08-31,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_excess_return,1455,0.039360581138914004,PASS
2015-08-31,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1455,0.03342646355246868,PASS
2015-08-31,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1455,0.035943745267105684,PASS
2015-08-31,60,7,neighbor_jaccard_1m,RAW,future_excess_return,1394,-0.03479529873367498,PASS
2015-08-31,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,1394,-0.008649227259443873,PASS
2015-08-31,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1394,0.0638000661123984,PASS
2015-08-31,60,8,neighbor_retention_1m,RAW,future_excess_return,1269,-0.0032902685995256182,PASS
2015-08-31,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,1269,0.005727426378535173,PASS
2015-08-31,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1269,0.062200752382058626,PASS
2015-08-31,60,9,outside_community_degree_percentile,RAW,future_excess_return,1645,-0.07073750326404157,PASS
2015-08-31,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1645,-0.041170805802415535,PASS
2015-08-31,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1645,0.027099225136586434,PASS
2015-08-31,120,1,residual_degree_percentile,RAW,future_excess_return,1506,-0.11380855849326943,PASS
2015-08-31,120,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1506,-0.09946131138665082,PASS
2015-08-31,120,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1506,-0.0364516534536323,PASS
2015-08-31,120,2,delta_degree_percentile,RAW,future_excess_return,1506,-0.044429501044250835,PASS
2015-08-31,120,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1506,-0.05301730132525553,PASS
2015-08-31,120,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1506,0.029156166037652663,PASS
2015-08-31,120,3,cross_industry_degree_percentile,RAW,future_excess_return,1506,-0.10686808302522643,PASS
2015-08-31,120,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1506,-0.09227454410001243,PASS
2015-08-31,120,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1506,-0.03062015534823824,PASS
