analysis_date,window,factor_order,factor_name,neutralization,target_name,pair_n,risk_rank_ic,ic_status
2015-04-30,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_idio_vol_annualized,1986,0.10661972017964455,PASS
2015-04-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,1986,0.07718874653630418,PASS
2015-04-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,1986,-0.0007863479591901729,PASS
2015-04-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,1986,-0.007801478288705286,PASS
2015-04-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,1986,0.08392864683718651,PASS
2015-04-30,60,5,delta_residual_degree_percentile_1m,RAW,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,RAW,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,RAW,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,RAW,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
