factor_order,factor_name,window,raw_alpha_ic,industry_neutral_alpha_ic,industry_size_neutral_alpha_ic,raw_alpha_to_final_same_sign,alpha_abs_retention_ratio,raw_risk_ic_average,industry_neutral_risk_ic_average,industry_size_neutral_risk_ic_average,raw_risk_to_final_same_sign,raw_alpha_spread,industry_neutral_alpha_spread,industry_size_neutral_alpha_spread
1,residual_degree_percentile,60,0.001589046715305569,0.004721645820672584,0.0110605023278388,True,,-0.10431216518863898,-0.08680741868627562,-0.07840117278725882,True,-0.002308365913546955,-0.0004122092748892021,0.0021115926784112202
1,residual_degree_percentile,120,-0.0009701395968103561,0.002969072934806205,0.01253447248684206,False,,-0.09995922046897368,-0.083629528212094,-0.07208016454600467,True,-0.0007843927634585916,-0.00091528672983016,0.002860979361970765
1,residual_degree_percentile,252,0.0023324799223116,0.00580585627707907,0.014605529179785788,True,,-0.09431448715316898,-0.07693811878423301,-0.06485948441696025,True,-0.0005583267288833699,0.00035005572149996513,0.0031620956177192635
2,delta_degree_percentile,60,-0.050774935346823605,-0.04716388217417128,-0.03998431936279571,True,0.7874814431506127,0.059245158487195825,0.09082997794297039,0.11231874149063074,True,-0.012462632493069958,-0.01050354624996606,-0.007880755617425626
2,delta_degree_percentile,120,-0.04611501590539222,-0.04506325973096158,-0.03486298478356559,True,0.7560007103779197,0.06158371040995434,0.09572522247496579,0.12239295978502207,True,-0.011493570029101011,-0.010186549320282798,-0.007049387596580701
2,delta_degree_percentile,252,-0.03893824295874862,-0.03994930127152607,-0.03233989826791831,True,0.8305433376174516,0.062482039043077434,0.09976227961790521,0.1301448351578677,True,-0.00960487904215973,-0.009211171258034143,-0.006818090510010464
3,cross_industry_degree_percentile,60,0.0061896598163306265,0.0055346790874906135,0.010895633136833872,True,1.7602959548903054,-0.1134211330119345,-0.08443781058338135,-0.07789139775594076,True,-0.0014100165243722063,-0.000597963365569993,0.0017198793172880245
3,cross_industry_degree_percentile,120,0.002819980567671584,0.003337684630832363,0.012252619080596295,True,,-0.10701866384844125,-0.08075233379391886,-0.07061165567092931,True,-0.000648150583814872,-0.0013305631051328418,0.0020926856413408155
3,cross_industry_degree_percentile,252,0.003833424221134586,0.004486283243460468,0.013558925727669254,True,,-0.09691812436303532,-0.0702800075050289,-0.058785201616531,True,0.0007322952398276538,-0.000672430202863064,0.0023797495837894716
4,cross_industry_degree_ratio,60,0.009637533096226194,0.0029083281075593824,-0.0006697582336243508,False,0.069494779103442,-0.016493912588758267,0.012482743239814739,0.0005820072686971176,False,0.0011862544551528818,0.0006633219062500852,-0.0006018546735576245
4,cross_industry_degree_ratio,120,0.008566537115641338,0.00285896483888606,0.002341775778968676,True,0.2733631743324745,-0.020817562849662075,0.0028139580672001843,-0.0043922161128808635,True,0.0015435086863436094,-0.0006631170085008158,-0.000940939439775411
4,cross_industry_degree_ratio,252,0.0016210473300158736,-0.0029429613497181915,0.0004447403411718924,True,,-0.03199786125140137,-0.01047509981566946,-0.010609647112432728,True,-0.0014395273941908116,-0.0027832404513480056,-0.002224324121992853
5,delta_residual_degree_percentile_1m,60,0.008511481167577977,0.008229985130498276,0.007306474945740261,True,0.858425790046057,-0.01265057455363732,-0.014068622833963259,-0.012881879439703783,True,0.0021327142980837625,0.0019616465694441603,0.001681356571621626
5,delta_residual_degree_percentile_1m,120,0.006457960470612786,0.006134829607586556,0.006257083985748034,True,0.968894748461399,-0.014528164832859205,-0.017253164938358597,-0.015652579177258007,True,0.000992400595117354,0.0006879442924987456,0.000595087848922998
5,delta_residual_degree_percentile_1m,252,0.0017470135578395779,0.005762570935980549,0.0076000573694643475,True,,-0.00921768921695866,-0.014491841161072333,-0.012362779076578378,True,-0.0003191857248828601,0.0004240937069485826,0.0008943641168809889
6,delta_cross_industry_degree_percentile_1m,60,0.010319540785240475,0.008873034656838518,0.008119385314345246,True,0.7867971534119035,-0.0167386921814065,-0.01419793582831902,-0.013298257179425411,True,0.0019739158416049395,0.0022202519113155017,0.0021402266003796937
6,delta_cross_industry_degree_percentile_1m,120,0.00880883224934801,0.006187327385370825,0.006811870490322528,True,0.7733000581123237,-0.02036420977437291,-0.018708186309366215,-0.017437676717928396,True,0.0013375657631178063,0.0013343412196683837,0.00134928825370511
6,delta_cross_industry_degree_percentile_1m,252,0.002500401661542386,0.0049557582270713905,0.007331037480516453,True,,-0.016272658744917103,-0.01655895733901421,-0.014347155487810643,True,-0.0002537915886078901,0.00018898132601135519,0.0006348288156346573
7,neighbor_jaccard_1m,60,0.0009102697031392186,0.0053822989791729925,0.01011719944717236,True,,-0.06437859944638862,-0.050096624790960026,-0.0397716390749753,True,0.00015529996592301572,0.0003593806112703879,0.0024030154932916984
7,neighbor_jaccard_1m,120,0.005229172999009267,0.006831254081052582,0.01210119588646786,True,2.3141701161465846,-0.07525770315509023,-0.055077667121856744,-0.04478475528320404,True,0.0005639728283654218,0.00047878480305163,0.0020973431244598714
7,neighbor_jaccard_1m,252,0.01490626047167526,0.012210873098035641,0.01589285664048503,True,1.0661866985810755,-0.07571698682253733,-0.05046465318650242,-0.041572344681050755,True,0.0024321012373961968,0.0023975500555673806,0.003500752334002036
8,neighbor_retention_1m,60,0.005112226131812953,0.009302777333060532,0.01298881957898474,True,2.540736509708835,-0.06364893278129438,-0.05065133803031476,-0.04111960890516849,True,0.0012477590233718663,0.0013501488612891425,0.0031628960322214864
8,neighbor_retention_1m,120,0.008270288950840591,0.009691273499536718,0.013881284135949178,True,1.6784521337115175,-0.06720624099374753,-0.05064761638204628,-0.041365100898125486,True,0.00034766517167401245,0.0014376548648745077,0.0030144308909793066
8,neighbor_retention_1m,252,0.009201149692294677,0.010961102900729082,0.015543120678449589,True,1.6892585381439746,-0.051876710875544685,-0.036318244189518116,-0.028737604551622394,True,0.0010707535702158765,0.0015680183734460649,0.0028605923710012986
9,outside_community_degree_percentile,60,0.012553241272110235,0.012224702329756417,0.01624861323509099,True,1.2943759211567796,-0.16886651214347123,-0.1301632601052663,-0.12290535247794196,True,-0.002055717559588926,-0.0010409544756696696,0.0012037130769163285
9,outside_community_degree_percentile,120,0.007086863271454523,0.00819872043615398,0.017261604972296524,True,2.4357186404068605,-0.1730776221715789,-0.13542344210886836,-0.12463004284591454,True,-0.004077447636012987,-0.0009673130502825811,0.0021132239359428024
9,outside_community_degree_percentile,252,0.012519981552235186,0.013582402841364843,0.02367503883229099,True,1.8909803288060194,-0.15249978088222993,-0.11399961332891016,-0.1040039504319377,True,-0.0006427100096467287,3.876792908233368e-05,0.003530012208800206
